,0
1033,30
1034,30
1035,30
1036,30
1037,30
1038,30
1043,30
1044,30
1045,30
1046,30
1047,30
1048,30
1052,30
1053,30
1054,30
1058,30
1059,30
1060,30
1062,30
1063,30
1064,30
1065,30
1066,30
6187,30
1067,30
1068,30
1069,30
979,30
8662,30
8663,30
8664,30
2632,30
2633,30
2637,30
2638,30
2639,30
2641,30
2642,30
2643,30
2644,30
646,30
647,30
5775,30
901,30
659,30
664,30
5788,30
5795,30
5796,30
5801,30
5806,30
5807,30
5808,30
5813,30
5816,30
5820,30
5828,30
5843,30
5844,30
5845,30
5846,30
5847,30
5848,30
5849,30
2532,30
5852,30
5859,30
5860,30
5862,30
5868,30
963,30
2533,30
5874,30
5877,30
5878,30
5879,30
5880,30
965,30
5885,30
966,30
5887,30
5888,30
5890,30
967,30
5892,30
5893,30
5895,30
5896,30
5897,30
5898,30
968,30
969,30
5902,30
970,30
5907,30
5908,30
971,30
972,30
973,30
5922,30
5923,30
5924,30
974,30
975,30
976,30
977,30
978,30
5948,30
8508,30
908,30
8509,30
8512,30
8510,30
5954,30
5955,30
8511,30
8513,30
8514,30
5959,30
5960,30
980,30
981,30
5965,30
5966,30
5967,30
982,30
983,30
5971,30
5973,30
5974,30
5975,30
5976,30
5977,30
909,30
984,30
985,30
5982,30
986,30
5988,30
987,30
5991,30
5993,30
5996,30
5997,30
5998,30
5999,30
6000,30
6001,30
879,30
6003,30
2516,30
6005,30
880,30
6011,30
6012,30
6013,30
6014,30
6015,30
6018,30
6019,30
6020,30
6021,30
6022,30
6023,30
6024,30
6025,30
6026,30
6027,30
2520,30
2519,30
910,30
2521,30
400,30
913,30
402,30
6035,30
2522,30
917,30
2523,30
914,30
916,30
919,30
6042,30
2524,30
921,30
927,30
931,30
8617,30
8618,30
6058,30
6057,30
6059,30
8622,30
8623,30
8624,30
8625,30
949,30
2486,30
2487,30
2488,30
2489,30
2490,30
2491,30
2492,30
2493,30
2530,30
2495,30
2496,30
961,30
962,30
2497,30
2498,30
2501,30
2502,30
2503,30
2504,30
2499,30
964,30
2500,30
2508,30
2509,30
6094,30
6095,30
6096,30
6097,30
2510,30
6099,30
6100,30
6093,30
2512,30
2513,30
2514,30
2515,30
8660,30
8661,30
988,30
989,30
990,30
991,30
992,30
6113,30
993,30
2527,30
2528,30
2529,30
2525,30
2531,30
6112,30
6118,30
6119,30
6120,30
6121,30
6122,30
2534,30
2537,30
2538,30
2539,30
2540,30
2541,30
2542,30
6125,30
6658,9
7174,9
11,9
12,9
311,9
6688,9
313,9
6742,9
6745,9
6746,9
6748,9
6754,9
6755,9
6758,9
6759,9
6761,9
6765,9
6766,9
6767,9
6783,9
7661,9
7662,9
6809,9
6810,9
7663,9
7664,9
7665,9
7666,9
7668,9
6839,9
6840,9
8890,9
8891,9
6849,9
6337,9
8899,9
6338,9
6339,9
6340,9
6341,9
6342,9
7672,9
6860,9
7673,9
7674,9
6867,9
6871,9
6872,9
7675,9
6875,9
7676,9
6370,9
6371,9
6884,9
6883,9
6393,9
8497,9
6916,9
6917,9
8498,9
6408,9
6921,9
6410,9
6411,9
8499,9
6414,9
6927,9
6418,9
6931,9
6932,9
8501,9
6975,9
6423,9
6424,9
6937,9
6941,9
6943,9
6431,9
8480,9
8481,9
8482,9
8483,9
8484,9
8485,9
8486,9
6440,9
8487,9
8488,9
8489,9
5418,9
8490,9
8494,9
6447,9
8495,9
8491,9
8492,9
8493,9
5423,9
5424,9
8496,9
5426,9
8504,9
8505,9
5427,9
6962,9
8502,9
8500,9
6974,9
310,9
8503,9
314,9
6457,9
317,9
318,9
319,9
322,9
323,9
324,9
6469,9
6983,9
6472,9
6473,9
328,9
331,9
333,9
7000,9
6490,9
7003,9
6492,9
7002,9
6494,9
6495,9
7009,9
7012,9
7013,9
6503,9
7015,9
7026,9
7027,9
7028,9
7029,9
7031,9
8568,9
7033,9
7034,9
6528,9
6529,9
6531,9
7557,9
7047,9
7559,9
7048,9
7050,9
7051,9
7052,9
7053,9
7054,9
1932,9
7056,9
7057,9
7058,9
1937,9
6551,9
6552,9
6557,9
6558,9
6559,9
6560,9
492,9
6575,9
6576,9
6577,9
6580,9
494,9
6584,9
6585,9
6586,9
495,9
7105,9
497,9
7112,9
6602,9
7114,9
7123,9
7128,9
7130,9
8669,9
6621,9
8670,9
6622,9
6625,9
7138,9
6623,9
7654,9
7143,9
7655,9
7656,9
7657,9
7658,9
7660,9
493,9
7149,9
6639,9
6640,9
7152,9
7153,9
7154,9
7155,9
6645,9
6646,9
6644,9
7156,9
496,9
7162,9
499,9
7667,9
6653,9
7669,9
7670,9
2048,28
7176,28
5182,28
2145,28
2146,28
7298,28
7367,28
7368,28
7386,28
7397,28
7400,28
7423,28
7424,28
2334,28
2335,28
2336,28
2337,28
2338,28
2339,28
2340,28
2341,28
2342,28
2343,28
2344,28
2345,28
2346,28
2347,28
2348,28
2349,28
2350,28
2351,28
2352,28
2353,28
7495,28
7496,28
7501,28
8526,28
8527,28
3431,28
3432,28
3433,28
3434,28
3435,28
3436,28
3437,28
3438,28
3439,28
3440,28
3441,28
3442,28
3443,28
3444,28
3445,28
3446,28
3447,28
3448,28
3449,28
3450,28
3451,28
3452,28
3453,28
3454,28
3455,28
3456,28
3457,28
3458,28
3459,28
3460,28
3461,28
3464,28
7561,28
3465,28
3466,28
3467,28
3468,28
3469,28
3470,28
3471,28
3472,28
3473,28
3474,28
3475,28
3476,28
3477,28
3478,28
3479,28
3480,28
3481,28
3482,28
3483,28
3484,28
3485,28
3486,28
3487,28
3488,28
3489,28
3490,28
3491,28
3492,28
3493,28
3494,28
3495,28
3496,28
3497,28
3498,28
3499,28
3500,28
3501,28
3503,28
3504,28
3505,28
3506,28
3507,28
3508,28
3509,28
3510,28
3511,28
3512,28
3513,28
3514,28
3515,28
3516,28
3517,28
7612,28
7613,28
7614,28
7619,28
7626,28
7627,28
1721,28
1722,28
8685,28
8686,28
8725,28
1599,28
1600,28
1601,28
1602,28
1603,28
1604,28
1608,28
1610,28
1611,28
1612,28
1613,28
1614,28
1615,28
1616,28
1620,28
1624,28
1625,28
1626,28
1627,28
1628,28
1629,28
1630,28
1631,28
1632,28
1633,28
1634,28
1637,28
1638,28
1639,28
1640,28
1643,28
1647,28
1648,28
1649,28
1650,28
1651,28
1652,28
1653,28
7798,28
1654,28
1655,28
1656,28
1657,28
1658,28
1659,28
1660,28
1661,28
1662,28
7808,28
1663,28
7810,28
7811,28
1666,28
1667,28
1668,28
1670,28
1671,28
1672,28
1673,28
1675,28
1676,28
1677,28
1678,28
1685,28
1686,28
1706,28
1707,28
1708,28
1709,28
1710,28
1711,28
1712,28
1713,28
7858,28
7857,28
1715,28
1717,28
7862,28
1716,28
7861,28
7863,28
7864,28
1714,28
1724,28
7868,28
7870,28
7869,28
1728,28
1725,28
1727,28
1729,28
1732,28
1733,28
7882,28
7885,28
7889,28
7912,28
7916,28
7917,28
7918,28
1785,28
1786,28
1787,28
1788,28
1789,28
1790,28
1791,28
1795,28
1796,28
1797,28
1801,28
1811,28
1848,28
1849,28
1850,28
1851,28
1852,28
1855,28
1856,28
1857,28
1861,28
1862,28
1863,28
1962,28
1977,28
1978,28
1979,28
1980,28
1981,28
1982,28
1983,28
1984,28
1985,28
1986,28
1988,28
1989,28
1990,28
1991,28
1992,28
1993,28
1994,28
1997,28
1998,28
1999,28
2001,28
2003,28
2004,28
2005,28
2006,28
2007,28
2008,28
2009,28
2010,28
2011,28
2012,28
2013,28
2014,28
2015,28
2016,28
2017,28
2018,28
2019,28
2020,28
2021,28
2022,28
2023,28
2024,28
2025,28
2026,28
2027,28
2028,28
2029,28
2030,28
2033,28
2034,28
2035,28
2036,28
2039,28
2041,28
2042,28
2043,28
2044,28
2045,28
2046,28
2047,28
8707,29
3,29
8709,29
4,29
8708,29
8710,29
6664,29
6660,29
6661,29
6662,29
6685,29
6687,29
6692,29
6694,29
6697,29
6698,29
6699,29
6702,29
6705,29
6710,29
6715,29
6717,29
6718,29
6719,29
6722,29
6726,29
6727,29
590,29
8785,29
8786,29
8787,29
8788,29
8789,29
8790,29
8791,29
8792,29
8793,29
595,29
8795,29
8794,29
6749,29
8797,29
8798,29
8799,29
4192,29
4193,29
611,29
8803,29
6756,29
4194,29
4195,29
4196,29
4197,29
4198,29
4199,29
4200,29
4201,29
4202,29
8806,29
8807,29
8809,29
8813,29
8814,29
6739,29
6773,29
6738,29
6793,29
