,0
512,30
515,30
518,30
8,30
9,30
522,30
521,30
531,30
534,30
538,30
539,30
555,30
556,30
8458,30
8461,30
8464,30
147,30
151,30
154,30
155,30
158,30
159,30
160,30
2719,30
2720,30
163,30
2721,30
2724,30
2725,30
167,30
2726,30
2728,30
2730,30
2729,30
2732,30
2733,30
2734,30
175,30
176,30
2735,30
2737,30
179,30
2740,30
2741,30
2743,30
2744,30
2745,30
2746,30
2747,30
2748,30
2749,30
2751,30
2753,30
2754,30
2756,30
2758,30
2759,30
2760,30
2761,30
2762,30
2763,30
2764,30
2768,30
2769,30
2770,30
2771,30
2772,30
2773,30
2774,30
2775,30
2776,30
2778,30
2779,30
2780,30
2781,30
2782,30
2783,30
2784,30
2785,30
2786,30
2787,30
2788,30
2789,30
2790,30
2791,30
2792,30
2793,30
2796,30
2800,30
2804,30
8443,30
8444,30
2813,30
2814,30
2817,30
2818,30
2819,30
8450,30
2822,30
2823,30
2824,30
8457,30
2825,30
8459,30
8460,30
2826,30
8462,30
2827,30
2828,30
8465,30
8466,30
8467,30
8468,30
8469,30
8470,30
8471,30
2833,30
2834,30
2840,30
2841,30
2844,30
2847,30
2848,30
2849,30
2850,30
2851,30
2852,30
2854,30
3879,30
2855,30
2856,30
2857,30
2862,30
2863,30
2864,30
2865,30
2866,30
2867,30
2868,30
2869,30
2870,30
2871,30
3895,30
2873,30
2874,30
2875,30
2876,30
2872,30
3898,30
3899,30
2881,30
2882,30
2883,30
2884,30
2885,30
2886,30
2895,30
2896,30
2897,30
2898,30
2899,30
2900,30
2901,30
2902,30
2903,30
2904,30
2905,30
2906,30
2907,30
2908,30
2909,30
2910,30
2911,30
2912,30
2913,30
2914,30
2915,30
2916,30
2917,30
2918,30
2919,30
2920,30
2921,30
2922,30
2923,30
2718,30
2925,30
2926,30
2928,30
2929,30
2930,30
2419,30
2931,30
2933,30
371,30
2423,30
372,30
2420,30
2421,30
2427,30
2940,30
2941,30
2428,30
2422,30
2944,30
2433,30
2434,30
2435,30
2436,30
2437,30
2438,30
2951,30
2952,30
2953,30
2954,30
2955,30
2956,30
2957,30
2958,30
2959,30
2960,30
2961,30
393,30
397,30
2964,30
2965,30
2966,30
2967,30
2968,30
2969,30
2829,30
2971,30
2972,30
2973,30
2974,30
2976,30
2978,30
2979,30
2831,30
2980,30
2981,30
2982,30
2984,30
2985,30
389,30
390,30
2424,30
2425,30
2990,30
2426,30
2993,30
2994,30
2996,30
2997,30
2998,30
2999,30
392,30
3001,30
3002,30
3003,30
3004,30
3007,30
3008,30
3009,30
3010,30
3013,30
3014,30
3015,30
3016,30
3020,30
3021,30
3022,30
3023,30
3026,30
3028,30
3029,30
2439,30
511,30
4099,9
4104,9
4111,9
4118,9
4126,9
5164,9
5165,9
5166,9
4143,9
4144,9
5167,9
5168,9
4147,9
4146,9
5170,9
5171,9
5172,9
4150,9
5173,9
5174,9
5175,9
4156,9
4158,9
4163,9
4164,9
4165,9
4169,9
4170,9
4184,9
4212,9
4215,9
4218,9
4219,9
4220,9
4221,9
4225,9
4230,9
4234,9
4237,9
4265,9
4266,9
4277,9
4293,9
8399,9
2258,9
2259,9
2260,9
2261,9
4310,9
2262,9
2263,9
2264,9
2265,9
2266,9
2267,9
2268,9
2269,9
2270,9
2271,9
2272,9
2273,9
2274,9
2275,9
2276,9
2277,9
2278,9
2279,9
2280,9
2281,9
2282,9
2283,9
2284,9
2285,9
2286,9
2287,9
2288,9
2289,9
2290,9
2291,9
2292,9
2293,9
2294,9
2295,9
2296,9
4346,9
4347,9
2297,9
2298,9
2299,9
2300,9
2301,9
2302,9
4351,9
2303,9
2304,9
4354,9
2306,9
2307,9
2308,9
2309,9
2310,9
2311,9
2312,9
2313,9
2315,9
2316,9
2317,9
2318,9
2319,9
2314,9
2321,9
2322,9
2323,9
2324,9
2325,9
2326,9
2327,9
2328,9
2329,9
2330,9
2332,9
2333,9
4331,9
4395,9
4405,9
2305,9
4350,9
8424,9
4500,9
2320,9
4507,9
4508,9
4513,9
4514,9
4541,9
4542,9
8641,9
8642,9
8645,9
8646,9
7631,9
7632,9
4562,9
4564,9
7643,9
7644,9
7649,9
7650,9
7651,9
7652,9
7653,9
3565,9
3566,9
4603,9
4605,9
4606,9
