,0
0,30
7218,30
88,30
180,30
181,30
182,30
183,30
184,30
185,30
186,30
187,30
188,30
189,30
190,30
191,30
192,30
193,30
194,30
2545,30
6357,30
6358,30
6359,30
6360,30
6361,30
6362,30
6363,30
6364,30
6365,30
6366,30
8411,30
8412,30
8413,30
8414,30
6367,30
6369,30
6368,30
5626,30
261,30
262,30
263,30
264,30
265,30
4391,30
4392,30
4393,30
7489,30
7492,30
7494,30
7498,30
7502,30
335,30
336,30
337,30
338,30
339,30
340,30
341,30
342,30
343,30
2402,30
2403,30
2404,30
2405,30
2406,30
2407,30
2408,30
2409,30
2410,30
2411,30
2412,30
2413,30
2414,30
4754,30
2415,30
2416,30
2417,30
2418,30
480,30
481,30
482,30
483,30
484,30
5592,30
485,30
4494,30
4495,30
4496,30
4497,30
486,30
487,30
2543,30
488,30
8608,30
8609,30
8610,30
8611,30
7585,30
7586,30
7587,30
7588,30
490,30
5593,30
5596,30
7609,30
5594,30
450,30
7620,30
5578,30
5579,30
5580,30
5581,30
5582,30
5583,30
5584,30
5585,30
5586,30
5587,30
5588,30
5589,30
5590,30
5591,30
472,30
473,30
474,30
5595,30
475,30
5597,30
5598,30
5599,30
478,30
5601,30
476,30
5603,30
5604,30
477,30
5606,30
5607,30
5608,30
489,30
8681,30
5609,30
5610,30
5611,30
5612,30
5613,30
5614,30
5615,30
5616,30
5617,30
5618,30
5619,30
5620,30
5621,30
5622,30
5623,30
5624,30
5627,30
5628,30
5629,30
5630,30
5631,30
5632,30
5633,30
2560,30
5635,30
2561,30
5637,30
5638,30
5639,30
2562,30
2563,30
2564,30
2565,30
2566,30
2567,30
2568,30
2569,30
2570,30
2571,30
2572,30
2573,30
2574,30
2575,30
2576,30
2577,30
2578,30
2579,30
2580,30
2581,30
2582,30
2583,30
2584,30
2585,30
2586,30
2587,30
2588,30
2589,30
4644,30
4645,30
4646,30
4647,30
4648,30
4649,30
4650,30
4651,30
4652,30
4653,30
4654,30
4655,30
4656,30
4657,30
4658,30
4659,30
4660,30
4661,30
4662,30
4663,30
4664,30
4665,30
4666,30
4667,30
4668,30
4669,30
4670,30
4671,30
4672,30
4673,30
4674,30
4675,30
4676,30
4677,30
4678,30
4679,30
4680,30
576,30
580,30
581,30
582,30
584,30
586,30
2547,30
2559,30
2544,30
5600,30
612,30
613,30
620,30
621,30
622,30
623,30
627,30
630,30
631,30
632,30
633,30
638,30
639,30
640,30
2549,30
5602,30
4749,30
4750,30
4751,30
4752,30
4753,30
5625,30
4755,30
4756,30
4757,30
4758,30
4759,30
4760,30
4761,30
4762,30
4763,30
4764,30
4765,30
2550,30
7854,30
7855,30
7856,30
2551,30
7863,30
7864,30
7865,30
7866,30
7867,30
5636,30
1737,30
1738,30
2552,30
1741,30
1742,30
1743,30
1744,30
1745,30
1746,30
5605,30
1748,30
1749,30
1750,30
1752,30
1753,30
1754,30
1755,30
1757,30
7902,30
7903,30
7904,30
7905,30
7906,30
7907,30
7908,30
7909,30
7910,30
2590,30
2553,30
7913,30
7914,30
7915,30
2591,30
7919,30
2592,30
2593,30
2594,30
2554,30
2595,30
2596,30
2546,30
2597,30
2598,30
479,30
2599,30
2555,30
2600,30
2601,30
2602,30
2603,30
2604,30
2556,30
2605,30
570,30
2606,30
571,30
2607,30
572,30
2608,30
2609,30
2557,30
2610,30
575,30
2611,30
2612,30
2613,30
2558,30
8738,30
8739,30
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
2087,9
2095,9
2096,9
2100,9
2101,9
95,9
96,9
97,9
98,9
99,9
100,9
101,9
102,9
103,9
104,9
4196,9
106,9
4197,9
4202,9
109,9
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,9
119,9
120,9
121,9
122,9
123,9
124,9
125,9
2368,9
2370,9
2372,9
7462,9
7463,9
7464,9
7465,9
7466,9
7470,9
7471,9
7472,9
7473,9
7476,9
2356,9
2358,9
7477,9
7478,9
2359,9
2360,9
2361,9
7479,9
7480,9
7481,9
7482,9
7483,9
7484,9
7485,9
7486,9
7487,9
2364,9
2365,9
2366,9
2376,9
2377,9
2369,9
4427,9
2371,9
2381,9
2382,9
2374,9
2375,9
2385,9
7506,9
7507,9
2386,9
2387,9
2390,9
4437,9
344,9
4438,9
346,9
347,9
348,9
4439,9
7518,9
351,9
2392,9
2393,9
2394,9
2395,9
2396,9
2397,9
2399,9
2401,9
360,9
361,9
362,9
354,9
4454,9
357,9
358,9
4457,9
359,9
363,9
364,9
365,9
366,9
367,9
368,9
369,9
375,9
376,9
377,9
2452,9
2453,9
2454,9
2455,9
2456,9
2457,9
2458,9
2459,9
2460,9
2461,9
2462,9
2463,9
8606,9
8607,9
2468,9
2469,9
2470,9
2471,9
2472,9
2473,9
2474,9
2475,9
2476,9
2477,9
2478,9
2479,9
2480,9
2481,9
2482,9
2483,9
2484,9
2485,9
8648,9
8649,9
8650,9
8651,9
8652,9
8653,9
8654,9
8655,9
8667,9
2548,9
8697,9
8698,9
8699,9
8700,9
8701,9
8702,9
8703,9
8704,9
2373,9
591,9
592,9
8785,9
8786,9
8787,9
596,9
8788,9
593,9
8790,9
8791,9
8792,9
8794,9
8795,9
8796,9
8797,9
2362,9
8813,9
8814,9
2363,9
6771,9
6772,9
2367,9
7818,9
7819,9
7820,9
7821,9
7822,9
7823,9
7824,9
7825,9
7826,9
7827,9
7828,9
7829,9
7830,9
7831,9
7832,9
7833,9
7834,9
7835,9
7836,9
7837,9
7838,9
6815,9
6816,9
7839,9
7840,9
7841,9
7842,9
7843,9
7844,9
7845,9
7846,9
7847,9
7848,9
7849,9
7850,9
7851,9
7852,9
7853,9
2378,9
2379,9
345,9
349,9
350,9
352,9
353,9
4424,9
2389,9
4425,9
2391,9
7999,9
8002,9
8003,9
8010,9
8013,9
4442,9
8014,9
8015,9
8017,9
4443,9
8016,9
4444,9
8040,9
4450,9
4451,9
1917,9
1918,9
1921,9
1928,9
8078,9
8079,9
4456,9
1943,9
8089,9
8101,9
8102,9
8104,9
8106,9
8107,9
8108,9
595,9
3585,28
3587,28
3588,28
4613,28
4614,28
3589,28
8716,28
8717,28
8718,28
8719,28
4622,28
3604,28
3612,28
4125,28
4637,28
4638,28
4640,28
4641,28
3615,28
3620,28
4138,28
3628,28
4141,28
4142,28
3630,28
3638,28
3668,28
3678,28
3679,28
4203,28
4204,28
4206,28
4207,28
4208,28
4209,28
4210,28
4211,28
3700,28
3701,28
4214,28
4216,28
4217,28
3707,28
3708,28
3709,28
3710,28
3711,28
3712,28
3713,28
3714,28
3715,28
644,28
4301,28
4302,28
3731,28
3732,28
666,28
667,28
3739,28
3738,28
3742,28
671,28
672,28
673,28
3740,28
3747,28
3741,28
670,28
3750,28
3743,28
3744,28
3745,28
682,28
683,28
4268,28
4269,28
4270,28
3751,28
4272,28
4273,28
3754,28
4267,28
4271,28
689,28
4274,28
4275,28
4276,28
3766,28
4279,28
4280,28
4281,28
3771,28
3772,28
3780,28
3781,28
4294,28
3782,28
3783,28
3784,28
3785,28
3786,28
3787,28
8397,28
3789,28
3788,28
3792,28
3790,28
3791,28
3795,28
3793,28
3794,28
3796,28
3797,28
3798,28
3799,28
4829,28
4830,28
4831,28
4832,28
4833,28
4834,28
4835,28
4836,28
4837,28
4322,28
4838,28
4328,28
3809,28
4330,28
4325,28
4326,28
4327,28
4329,28
4335,28
4336,28
4846,28
3819,28
4853,28
4344,28
4352,28
4356,28
4357,28
3846,28
4870,28
4358,28
4871,28
4872,28
4363,28
4875,28
4360,28
4366,28
4361,28
4364,28
4881,28
4882,28
4883,28
4884,28
4880,28
4371,28
4367,28
4369,28
4370,28
4379,28
4896,28
4386,28
803,28
4900,28
4901,28
4400,28
4409,28
3902,28
3903,28
8515,28
8516,28
8517,28
3915,28
844,28
845,28
3918,28
3919,28
846,28
3921,28
847,28
848,28
849,28
3916,28
3917,28
3920,28
3922,28
863,28
3941,28
3942,28
3944,28
3947,28
3948,28
3958,28
3971,28
3975,28
3980,28
3985,28
3845,28
4000,28
4001,28
4002,28
3746,28
3848,28
933,28
934,28
3849,28
936,28
4003,28
3748,28
4011,28
935,28
4013,28
4012,28
3749,28
944,28
4362,28
3752,28
3753,28
4549,28
4550,28
4873,28
4553,28
4365,28
3755,28
4047,28
4565,28
4566,28
4567,28
4568,28
4569,28
4570,28
4571,28
996,28
997,28
4070,28
4071,28
4072,28
3562,28
1003,28
1004,28
4076,28
4078,28
4079,28
4080,28
4081,28
4082,28
4077,28
4084,28
1006,28
1011,28
3575,28
3574,28
3577,28
3579,28
3580,28
3583,28
8203,29
5656,29
5657,29
5658,29
5659,29
5660,29
8221,29
8222,29
5661,29
5662,29
5663,29
5664,29
5665,29
5666,29
5667,29
5668,29
5669,29
5670,29
5671,29
8234,29
5673,29
5674,29
5675,29
5676,29
8748,29
8749,29
5679,29
5680,29
8753,29
5681,29
8755,29
5682,29
8750,29
8751,29
8752,29
8754,29
8756,29
8252,29
8253,29
8766,29
8767,29
8759,29
8760,29
8761,29
8259,29
8763,29
8764,29
8262,29
8765,29
5699,29
5705,29
5706,29
5700,29
5701,29
5709,29
5710,29
5702,29
5703,29
5713,29
8778,29
8768,29
8779,29
3157,29
3158,29
3159,29
3160,29
8769,29
5714,29
5715,29
5721,29
8770,29
5722,29
8287,29
8288,29
3167,29
8771,29
5723,29
5725,29
5727,29
5726,29
8772,29
8296,29
8297,29
8298,29
5226,29
8773,29
8301,29
8302,29
5229,29
8304,29
8305,29
8774,29
5738,29
5739,29
5742,29
8310,29
8311,29
8312,29
8313,29
8775,29
8315,29
8776,29
5748,29
5749,29
5750,29
5751,29
5752,29
5753,29
5757,29
5758,29
8832,29
5761,29
5762,29
5763,29
5768,29
5769,29
5770,29
5772,29
8333,29
5704,29
8780,29
8757,29
145,29
8338,29
5773,29
8781,29
5728,29
3213,29
3214,29
3215,29
8782,29
5729,29
3222,29
3223,29
8344,29
8783,29
5730,29
8345,29
8353,29
3233,29
8784,29
5731,29
8348,29
3229,29
3230,29
5732,29
8361,29
8362,29
8363,29
8758,29
8365,29
8366,29
5733,29
5734,29
8371,29
8373,29
5735,29
7262,29
3259,29
3260,29
3261,29
5736,29
3263,29
3264,29
5737,29
5227,29
3267,29
3268,29
3274,29
8908,29
8285,29
3291,29
5743,29
5744,29
5745,29
5746,29
5747,29
8291,29
8762,29
3211,29
3212,29
3374,29
3375,29
3376,29
3377,29
3378,29
3217,29
3397,29
3401,29
3402,29
3403,29
3168,29
3224,29
3225,29
3226,29
3227,29
3228,29
1408,29
8577,29
8578,29
8579,29
8580,29
8581,29
8582,29
8583,29
8584,29
8585,29
8586,29
8587,29
8588,29
8589,29
8590,29
8591,29
8592,29
8593,29
3234,29
5677,29
3132,29
3231,29
3235,29
3133,29
3130,29
3134,29
3236,29
3232,29
5683,29
3131,29
3170,29
5684,29
5685,29
5686,29
8332,29
5687,29
5688,29
5689,29
5690,29
5691,29
5692,29
3040,29
3042,29
5693,29
3043,29
8166,29
8167,29
5694,29
5695,29
8175,29
8176,29
8177,29
5696,29
8179,29
8180,29
8181,29
8241,29
5697,29
8185,29
8186,29
8187,29
8188,29
5698,29
4104,31
4110,31
4111,31
4118,31
4126,31
4143,31
4144,31
4145,31
4146,31
4155,31
4163,31
4164,31
4168,31
4170,31
5198,31
4181,31
4184,31
4212,31
4213,31
4220,31
4221,31
4225,31
4228,31
4229,31
4230,31
4231,31
4232,31
4233,31
4234,31
4235,31
4236,31
4237,31
4238,31
4239,31
4240,31
4277,31
4306,31
2259,31
2260,31
2261,31
2267,31
2271,31
2272,31
2273,31
2274,31
2275,31
2276,31
2277,31
2278,31
2279,31
2280,31
2281,31
2282,31
2283,31
2284,31
2285,31
2286,31
4331,31
2287,31
2288,31
2289,31
2290,31
2291,31
2293,31
2292,31
2295,31
2296,31
2297,31
2298,31
4346,31
2300,31
2301,31
2299,31
2303,31
2302,31
4351,31
2306,31
2307,31
2308,31
2309,31
2310,31
2311,31
2312,31
2313,31
2314,31
2315,31
2316,31
2317,31
2318,31
2319,31
2321,31
2322,31
2323,31
2324,31
2325,31
2326,31
2327,31
2328,31
2329,31
2330,31
2294,31
2332,31
2333,31
4394,31
4395,31
4405,31
4410,31
2304,31
8424,31
4500,31
4507,31
4508,31
4514,31
4521,31
4540,31
4541,31
4542,31
4543,31
8641,31
8642,31
7653,31
3565,31
3573,31
4603,31
4604,31
4605,31
4606,31
4608,31
3586,31
4612,31
3596,31
8720,31
4625,31
4626,31
4631,31
4632,31
3618,31
4683,31
4688,31
4691,31
4692,31
4693,31
4694,31
4704,31
4705,31
4716,31
4717,31
4725,31
4726,31
4727,31
4739,31
4743,31
4744,31
4745,31
4746,31
3737,31
4778,31
3756,31
4781,31
3757,31
3758,31
3759,31
3761,31
3760,31
4790,31
4792,31
3768,31
3769,31
4795,31
3770,31
3774,31
4803,31
3779,31
1734,31
1735,31
1736,31
4814,31
4815,31
4820,31
4821,31
4824,31
3800,31
3801,31
3802,31
3803,31
3804,31
1758,31
1759,31
1760,31
3811,31
3812,31
1764,31
3814,31
3815,31
3813,31
3816,31
1771,31
3820,31
1773,31
1774,31
3821,31
4848,31
3829,31
3830,31
1784,31
4857,31
4858,31
4860,31
4861,31
4862,31
4863,31
4877,31
4878,31
1809,31
1813,31
1814,31
1815,31
1816,31
1817,31
4889,31
1821,31
1822,31
1824,31
1825,31
1826,31
1827,31
1828,31
1829,31
1830,31
4902,31
1832,31
4903,31
1831,31
4907,31
1841,31
1846,31
4922,31
4924,31
3900,31
1878,31
3928,31
1886,31
1890,31
1891,31
1892,31
1893,31
1894,31
1895,31
1896,31
1897,31
1898,31
1899,31
3949,31
4974,31
3950,31
3951,31
1912,31
3981,31
3982,31
3983,31
3986,31
1960,31
1961,31
4044,31
4045,31
4048,31
4050,31
4051,31
4052,31
4093,31
4096,2
4609,2
4098,2
4099,2
4610,2
4101,2
4102,2
4103,2
3590,2
4105,2
3591,2
3592,2
3593,2
3594,2
3595,2
3597,2
4112,2
3598,2
8721,2
4115,2
4116,2
4117,2
4120,2
4123,2
1023,2
4128,2
4129,2
4131,2
4133,2
4134,2
4135,2
4136,2
4137,2
4148,2
4150,2
4151,2
4152,2
4153,2
4154,2
4156,2
4158,2
4166,2
4167,2
4169,2
4175,2
4177,2
4178,2
4179,2
4182,2
3686,2
3687,2
3688,2
3693,2
3694,2
3695,2
3696,2
3699,2
4215,2
4218,2
4219,2
4222,2
4223,2
4224,2
4226,2
3720,2
3721,2
3722,2
3727,2
3728,2
3729,2
3730,2
4766,2
4767,2
4769,2
4770,2
4773,2
4776,2
4265,2
4266,2
4779,2
4785,2
4786,2
4788,2
4789,2
4278,2
3764,2
3767,2
3765,2
4282,2
4283,2
4284,2
4285,2
4286,2
4287,2
4288,2
4289,2
4290,2
4291,2
4292,2
4293,2
3773,2
4295,2
5828,2
4300,2
4303,2
4304,2
8399,2
4309,2
4312,2
4314,2
3807,2
3810,2
4323,2
4840,2
4841,2
3817,2
3818,2
4332,2
4333,2
4334,2
3822,2
3823,2
3824,2
4339,2
4340,2
4341,2
4342,2
3828,2
3831,2
4345,2
3832,2
4347,2
3833,2
4349,2
4350,2
3834,2
3835,2
4353,2
4354,2
4355,2
3836,2
3837,2
3838,2
4359,2
3841,2
3842,2
3844,2
4869,2
4876,2
4874,2
4368,2
4372,2
4373,2
4374,2
4375,2
4376,2
4377,2
4378,2
4380,2
4381,2
4384,2
4898,2
4387,2
4388,2
4389,2
4390,2
4904,2
4905,2
4396,2
4397,2
4398,2
4401,2
4406,2
4413,2
3901,2
3905,2
3906,2
3907,2
3908,2
3909,2
3910,2
3911,2
3912,2
3913,2
3929,2
3930,2
3932,2
3933,2
3935,2
864,2
3936,2
3938,2
3939,2
3953,2
3964,2
3965,2
3966,2
3970,2
915,2
4009,2
4010,2
4018,2
4019,2
4021,2
4022,2
4023,2
4024,2
4025,2
4026,2
4027,2
4028,2
4029,2
4544,2
4545,2
4546,2
4033,2
4548,2
4034,2
4035,2
4038,2
4039,2
4040,2
4041,2
4042,2
4046,2
4049,2
6099,2
6100,2
4053,2
4054,2
4055,2
4058,2
4059,2
4060,2
4576,2
4577,2
4064,2
4065,2
4068,2
3558,2
3559,2
3560,2
4073,2
4074,2
4075,2
3566,2
6126,2
3569,2
3571,2
3572,2
4083,2
3576,2
4092,2
3581,2
4094,2
4095,2
7168,25
5126,25
5127,25
6665,25
6666,25
6667,25
6668,25
6675,25
6676,25
6677,25
6679,25
6680,25
6681,25
6682,25
6683,25
6684,25
7716,25
6693,25
7718,25
6706,25
6707,25
6709,25
6711,25
6712,25
6713,25
6716,25
6720,25
6724,25
6725,25
6728,25
6729,25
6730,25
6731,25
6734,25
6736,25
6737,25
6741,25
6750,25
6762,25
6763,25
6764,25
6768,25
6769,25
6777,25
6778,25
6786,25
6787,25
6792,25
6797,25
6800,25
6801,25
6802,25
6803,25
6812,25
6813,25
6814,25
6818,25
6820,25
6821,25
6827,25
6831,25
6832,25
6834,25
6835,25
6837,25
8889,25
6842,25
6845,25
6848,25
8898,25
6851,25
6852,25
6853,25
6855,25
6856,25
6859,25
7164,25
6868,25
6873,25
6879,25
6372,25
6374,25
6887,25
6376,25
6888,25
6889,25
6890,25
6891,25
6381,25
6382,25
6892,25
6383,25
6900,25
6389,25
6390,25
6905,25
6394,25
6907,25
6908,25
6909,25
6910,25
6399,25
6912,25
6402,25
6403,25
6404,25
6405,25
6920,25
6420,25
6428,25
6945,25
6948,25
6437,25
6949,25
6441,25
6442,25
6443,25
6444,25
6445,25
6446,25
6449,25
6963,25
6964,25
6453,25
6965,25
6966,25
6456,25
6971,25
6972,25
6464,25
6465,25
6976,25
6977,25
6978,25
6979,25
6980,25
