,0
7175,30
2059,30
2060,30
2061,30
2062,30
2063,30
2064,30
5131,30
2066,30
5132,30
5133,30
2069,30
2070,30
2071,30
5135,30
5136,30
2073,30
2074,30
2075,30
5142,30
5144,30
2078,30
2079,30
32,30
31,30
5155,30
5147,30
35,30
5158,30
36,30
37,30
5152,30
5153,30
5156,30
5157,30
5159,30
5160,30
64,30
71,30
72,30
75,30
79,30
86,30
89,30
94,30
6757,30
6768,30
6770,30
5518,30
6776,30
5519,30
6779,30
6780,30
2684,30
2685,30
2687,30
2688,30
2689,30
6781,30
6784,30
2690,30
2691,30
2692,30
2695,30
2693,30
2697,30
2698,30
2699,30
2700,30
2701,30
2702,30
2703,30
2704,30
2696,30
6794,30
2707,30
2705,30
2706,30
2708,30
2711,30
2709,30
2713,30
2714,30
2710,30
6806,30
2712,30
2715,30
6812,30
2716,30
6818,30
5528,30
6822,30
6824,30
5522,30
5529,30
6834,30
6838,30
5532,30
6843,30
5523,30
6853,30
8395,30
5521,30
8415,30
8418,30
8419,30
6895,30
240,30
2694,30
5137,30
6904,30
6905,30
6906,30
5138,30
6396,30
6918,30
6422,30
6433,30
5148,30
5149,30
5430,30
5150,30
6461,30
6463,30
5455,30
5457,30
5458,30
5459,30
5460,30
5461,30
5462,30
5463,30
5464,30
6489,30
4953,30
5465,30
5466,30
6493,30
5470,30
5471,30
6496,30
5472,30
5473,30
5474,30
5475,30
5476,30
5477,30
5478,30
5479,30
5480,30
5481,30
5482,30
5483,30
5484,30
7022,30
5485,30
5486,30
5487,30
5488,30
6790,30
4468,30
5489,30
5490,30
5491,30
6791,30
8566,30
5492,30
5493,30
5494,30
5495,30
5496,30
5497,30
5498,30
5499,30
4994,30
4993,30
5505,30
4995,30
4996,30
4997,30
4998,30
5507,30
5509,30
5510,30
5511,30
4493,30
5512,30
5513,30
5514,30
5515,30
5516,30
5517,30
5012,30
5524,30
5525,30
5526,30
5527,30
5520,30
5530,30
8597,30
8598,30
5533,30
7063,30
5023,30
7065,30
7067,30
8604,30
8605,30
7068,30
7070,30
7071,30
5027,30
5029,30
5030,30
5031,30
5033,30
5035,30
5036,30
5039,30
5040,30
8118,30
5049,30
5050,30
5052,30
5054,30
5055,30
5056,30
6593,30
5058,30
5059,30
6595,30
5060,30
6597,30
6598,30
7110,30
5063,30
5064,30
5065,30
5071,30
5072,30
5074,30
5076,30
5077,30
6615,30
5084,30
5085,30
5087,30
5088,30
5089,30
5091,30
5092,30
3555,30
5094,30
3556,30
7150,30
5640,9
5641,9
2524,9
5643,9
5644,9
5645,9
5647,9
5648,9
5650,9
5652,9
5653,9
5655,9
2525,9
2614,9
2615,9
2616,9
2617,9
2618,9
2619,9
2620,9
2621,9
2622,9
2623,9
2624,9
2625,9
2626,9
2627,9
2628,9
2629,9
2630,9
2631,9
2632,9
2633,9
2634,9
2635,9
2636,9
2637,9
2638,9
2639,9
2640,9
2641,9
2642,9
2643,9
2644,9
2645,9
2646,9
87,9
2647,9
2648,9
5216,9
1642,9
646,9
648,9
652,9
656,9
657,9
658,9
659,9
664,9
1690,9
1691,9
983,9
1693,9
1695,9
1696,9
1697,9
1698,9
1699,9
681,9
446,9
6343,9
6346,9
6348,9
6349,9
6350,9
6351,9
6352,9
6353,9
6354,9
6355,9
6356,9
448,9
449,9
747,9
748,9
749,9
750,9
751,9
752,9
754,9
755,9
756,9
757,9
2497,9
2499,9
800,9
801,9
2526,9
3521,9
3522,9
3405,9
3406,9
3407,9
5456,9
3409,9
850,9
851,9
852,9
3410,9
3408,9
3411,9
3412,9
3417,9
3413,9
3415,9
860,9
3421,9
861,9
3414,9
3416,9
3418,9
3419,9
3420,9
3428,9
5468,9
5469,9
3423,9
872,9
3424,9
3425,9
3426,9
3427,9
877,9
3430,9
879,9
880,9
5467,9
885,9
3535,9
5500,9
5501,9
5502,9
5503,9
5504,9
3536,9
5506,9
3537,9
399,9
400,9
401,9
402,9
403,9
404,9
916,9
405,9
2523,9
409,9
410,9
5531,9
411,9
923,9
413,9
414,9
415,9
924,9
925,9
926,9
927,9
931,9
932,9
3544,9
8616,9
8617,9
8618,9
8619,9
8620,9
8621,9
8622,9
3545,9
2527,9
8625,9
3546,9
2528,9
949,9
3547,9
951,9
5562,9
2491,9
2492,9
2493,9
5566,9
447,9
3518,9
2494,9
3519,9
3523,9
3524,9
3525,9
3526,9
3527,9
3520,9
3529,9
3530,9
3531,9
3532,9
3528,9
2504,9
2505,9
2506,9
2513,9
2507,9
3533,9
3534,9
2517,9
2518,9
2519,9
2520,9
2521,9
2522,9
3538,9
3539,9
3540,9
3541,9
3542,9
3543,9
984,9
3554,9
995,9
3548,9
3549,9
3550,9
3551,9
3552,9
3553,9
2529,9
2530,9
2531,9
2532,9
2533,9
2534,9
2535,9
2536,9
1002,9
2540,9
2542,9
1008,9
1021,9
8210,28
8211,28
5705,28
5665,28
5670,28
5671,28
5672,28
5673,28
5707,28
5675,28
8748,28
8749,28
8750,28
8751,28
8752,28
8753,28
8754,28
8755,28
8756,28
8757,28
8758,28
8759,28
8760,28
8761,28
5681,28
5682,28
8252,28
8253,28
5692,28
5693,28
5694,28
5695,28
5696,28
5699,28
5700,28
5701,28
5702,28
5703,28
5704,28
5697,28
8772,28
8773,28
7244,28
8262,28
8774,28
8775,28
8265,28
8776,28
8777,28
8778,28
8779,28
8780,28
8781,28
1105,28
5711,28
5712,28
5713,28
5714,28
5715,28
5721,28
5722,28
5723,28
8287,28
8288,28
1120,28
5724,28
5726,28
5727,28
5728,28
5729,28
5730,28
5731,28
8297,28
8298,28
8299,28
3181,28
3182,28
3183,28
3184,28
3180,28
8301,28
3187,28
3188,28
8302,28
8304,28
3191,28
3192,28
3193,28
3194,28
8309,28
8310,28
8311,28
8312,28
3190,28
8315,28
8827,28
8829,28
8832,28
8833,28
5251,28
5757,28
5758,28
5759,28
5257,28
5761,28
5762,28
5763,28
141,28
5769,28
143,28
5770,28
145,28
146,28
5771,28
8852,28
8853,28
8854,28
5270,28
3185,28
5282,28
8869,28
8870,28
5286,28
8361,28
8362,28
5291,28
8364,28
3189,28
5733,28
8366,28
1200,28
5297,28
8371,28
8373,28
5311,28
5312,28
5318,28
8908,28
5740,28
8400,28
8401,28
8402,28
5741,28
1237,28
5334,28
5742,28
5743,28
5345,28
5744,28
229,28
232,28
5352,28
5745,28
5746,28
5708,28
5747,28
5239,28
5748,28
5749,28
5375,28
5241,28
5750,28
5382,28
1286,28
5751,28
3850,28
5709,28
5752,28
3854,28
3855,28
273,28
3858,28
5753,28
3859,28
5754,28
5755,28
3869,28
3870,28
5756,28
3873,28
5710,28
307,28
5760,28
8305,28
1350,28
5764,28
1868,28
1869,28
1871,28
1875,28
7509,28
7512,28
7514,28
7515,28
7522,28
7523,28
7524,28
7525,28
7526,28
5772,28
5773,28
1407,28
8578,28
8579,28
8580,28
8581,28
8582,28
8583,28
8584,28
1410,28
8586,28
8587,28
8588,28
5676,28
8593,28
5677,28
5678,28
5679,28
1100,28
5680,28
8633,28
8634,28
8635,28
8636,28
8637,28
452,28
454,28
455,28
456,28
459,28
461,28
462,28
464,28
465,28
467,28
468,28
470,28
471,28
1506,28
8166,28
8167,28
1518,28
8176,28
8179,28
8180,28
8693,28
8694,28
8695,28
8181,28
8185,28
8187,28
5698,28
6146,29
6147,29
6148,29
6172,29
6177,29
7286,29
7287,29
7288,29
7289,29
7290,29
7291,29
7292,29
7297,29
7302,29
7303,29
7304,29
7305,29
7306,29
7308,29
7309,29
7310,29
7311,29
7313,29
7314,29
7315,29
7316,29
7317,29
7318,29
7319,29
7320,29
7324,29
7327,29
7328,29
7329,29
7331,29
7332,29
7334,29
7335,29
7336,29
7337,29
7338,29
7339,29
7340,29
7341,29
7343,29
7344,29
7345,29
7346,29
7349,29
7351,29
7352,29
7353,29
7354,29
7356,29
7358,29
7362,29
7363,29
7364,29
7365,29
7366,29
7369,29
7370,29
7371,29
7372,29
7373,29
7374,29
7375,29
7376,29
7377,29
7378,29
7379,29
7380,29
7381,29
7382,29
7383,29
7384,29
7390,29
7391,29
7392,29
7393,29
7394,29
7395,29
7401,29
7402,29
7406,29
7407,29
7408,29
7409,29
7410,29
7411,29
7412,29
7413,29
7414,29
7415,29
7418,29
7419,29
7420,29
7421,29
7425,29
7427,29
7429,29
7431,29
7432,29
7433,29
7434,29
7436,29
7437,29
7438,29
7440,29
7441,29
7443,29
7444,29
7445,29
7446,29
7447,29
7448,29
7449,29
7450,29
7451,29
7452,29
7453,29
7454,29
7457,29
7458,29
7460,29
8520,29
8521,29
8522,29
8523,29
8524,29
8525,29
8528,29
8529,29
8530,29
8531,29
8532,29
8533,29
8541,29
8544,29
8548,29
8549,29
8550,29
8551,29
8552,29
8553,29
8554,29
8555,29
8556,29
2486,29
2487,29
2488,29
2495,29
7621,29
2502,29
2508,29
2509,29
2511,29
2512,29
2537,29
2538,29
2539,29
8711,29
8712,29
8713,29
529,29
5649,29
8723,29
8724,29
8725,29
8728,29
8729,29
8730,29
7759,29
7760,29
7764,29
7765,29
7766,29
7771,29
7772,29
7773,29
7785,29
7786,29
7788,29
7789,29
7793,29
7800,29
7801,29
7802,29
7803,29
7804,29
7805,29
7807,29
7809,29
7812,29
7813,29
7814,29
7815,29
7816,29
5777,29
5778,29
5780,29
5792,29
5793,29
5809,29
5814,29
5815,29
5824,29
5831,29
8909,29
8910,29
8911,29
5842,29
5857,29
5858,29
5861,29
5864,29
5867,29
5876,29
5882,29
5925,29
5926,29
5927,29
5928,29
5929,29
5930,29
5931,29
5932,29
5943,29
5956,29
5961,29
5968,29
5981,29
5983,29
5984,29
4959,29
5990,29
5995,29
4973,29
4983,29
4984,29
6018,29
6030,29
6031,29
6032,29
6033,29
6060,29
6061,29
6062,29
6063,29
6064,29
6065,29
6066,29
6067,29
6076,29
6084,29
6085,29
6086,29
6087,29
6088,29
6089,29
6106,29
6109,29
6110,29
6111,29
6113,29
6114,29
6132,29
6133,29
6134,29
6135,29
6139,29
6140,29
1536,31
1537,31
1538,31
7171,31
7172,31
8197,31
8202,31
1564,31
1570,31
1572,31
8228,31
1574,31
8229,31
1576,31
1580,31
1582,31
1074,31
1588,31
1077,31
1590,31
1591,31
1080,31
1081,31
1082,31
1593,31
1594,31
1085,31
8254,31
8255,31
8256,31
1088,31
1596,31
1091,31
1597,31
8260,31
1094,31
8263,31
1098,31
8270,31
8272,31
1106,31
1107,31
1108,31
1113,31
1114,31
1116,31
1117,31
1118,31
1119,31
1122,31
1124,31
1126,31
1127,31
1129,31
1132,31
1136,31
1137,31
8307,31
1140,31
8308,31
1139,31
1141,31
1147,31
8317,31
1153,31
8834,31
8835,31
8836,31
8837,31
1154,31
8839,31
8325,31
1161,31
1155,31
8840,31
8841,31
8842,31
8843,31
8844,31
1168,31
8845,31
8846,31
8847,31
8848,31
8849,31
8850,31
8851,31
1169,31
8855,31
1180,31
8862,31
8863,31
8864,31
8865,31
1183,31
8866,31
1188,31
8867,31
1190,31
8868,31
1704,31
1193,31
8358,31
8359,31
1194,31
1198,31
8369,31
8370,31
1203,31
1209,31
1216,31
1218,31
1219,31
1223,31
1225,31
1229,31
1233,31
1235,31
1162,31
1241,31
1163,31
1248,31
1256,31
1266,31
1271,31
1274,31
1276,31
1280,31
1282,31
1293,31
1297,31
1298,31
1299,31
1300,31
1304,31
1307,31
1313,31
1315,31
1320,31
1323,31
1324,31
1326,31
1327,31
1332,31
1334,31
1336,31
1341,31
1346,31
1348,31
1349,31
1351,31
1353,31
1354,31
1357,31
1358,31
1359,31
1360,31
1362,31
1368,31
1371,31
1374,31
1378,31
1379,31
1382,31
1384,31
1385,31
1386,31
1388,31
1390,31
1391,31
1392,31
1394,31
1396,31
1397,31
1400,31
1403,31
1406,31
1409,31
1413,31
1416,31
1419,31
1420,31
1421,31
1422,31
1423,31
1425,31
1426,31
1430,31
1436,31
1437,31
1438,31
1442,31
1444,31
1445,31
1446,31
1447,31
1448,31
1451,31
1462,31
1463,31
1464,31
1465,31
1467,31
1468,31
1469,31
1470,31
8124,31
1474,31
1475,31
8130,31
8132,31
8133,31
1479,31
8134,31
1480,31
8135,31
8136,31
8139,31
8140,31
1485,31
8141,31
1487,31
8142,31
8143,31
8144,31
8145,31
8146,31
1493,31
8150,31
1496,31
1500,31
1501,31
8161,31
1514,31
1523,31
1525,31
1526,31
8184,31
1529,31
1532,31
8191,31
7531,2
6660,2
8709,2
8710,2
6661,2
6664,2
6662,2
528,2
6685,2
6687,2
6692,2
6694,2
6695,2
6696,2
6697,2
6698,2
7538,2
6701,2
6702,2
6705,2
6708,2
6710,2
6715,2
6717,2
6718,2
6721,2
6722,2
2117,2
2118,2
6726,2
6727,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
6738,2
6739,2
594,2
595,2
596,2
597,2
600,2
598,2
599,2
6747,2
601,2
6749,2
606,2
602,2
6752,2
603,2
610,2
611,2
6756,2
604,2
605,2
607,2
608,2
609,2
5718,2
5719,2
5720,2
8814,2
6771,2
6772,2
6773,2
6774,2
6788,2
5766,2
5767,2
6793,2
6795,2
6796,2
6815,2
6816,2
8871,2
6823,2
8879,2
8880,2
8881,2
8882,2
8883,2
8884,2
8885,2
8886,2
7159,2
8892,2
7161,2
8894,2
6847,2
8895,2
8896,2
8899,2
8900,2
6854,2
8904,2
8905,2
6869,2
7166,2
6878,2
6373,2
6378,2
6380,2
6384,2
6385,2
6388,2
6391,2
6392,2
6397,2
6919,2
6922,2
6412,2
6926,2
6419,2
6947,2
6950,2
6968,2
6969,2
6458,2
6970,2
6460,2
6466,2
6982,2
8010,2
6477,2
6989,2
6990,2
6991,2
7504,2
7505,2
7506,2
7507,2
7508,2
8013,2
8016,2
7513,2
7516,2
7517,2
7006,2
7007,2
7518,2
7519,2
7520,2
7521,2
358,2
359,2
8040,2
7527,2
6505,2
6506,2
7532,2
7533,2
7534,2
7535,2
7536,2
7537,2
365,2
366,2
367,2
364,2
7023,2
