,0
6665,30
6666,30
6669,30
6670,30
6671,30
6672,30
6673,30
6674,30
7127,30
7027,30
6686,30
6689,30
7716,30
7718,30
6728,30
6737,30
6744,30
6745,30
6764,30
6767,30
6769,30
6778,30
6791,30
6792,30
6794,30
6797,30
6800,30
6801,30
6802,30
6803,30
6821,30
8873,30
6827,30
8877,30
6834,30
6835,30
6836,30
6837,30
6841,30
6848,30
6849,30
6852,30
6654,30
6856,30
6857,30
6859,30
6862,30
6865,30
6870,30
6872,30
6879,30
6374,30
6887,30
6888,30
6889,30
6890,30
6891,30
6892,30
6383,30
6394,30
6395,30
6396,30
6907,30
6908,30
6399,30
6400,30
6909,30
6910,30
6911,30
6915,30
6407,30
6408,30
6923,30
6924,30
6925,30
6411,30
6928,30
6929,30
6930,30
6931,30
6421,30
6933,30
6934,30
6935,30
6937,30
6936,30
6939,30
6428,30
6429,30
6941,30
6942,30
6943,30
6944,30
6938,30
6940,30
6433,30
6946,30
6437,30
6438,30
6951,30
6441,30
6442,30
6443,30
6445,30
6446,30
6449,30
6961,30
6963,30
6452,30
6964,30
6454,30
6455,30
6965,30
6966,30
6967,30
6972,30
6973,30
6463,30
6975,30
6977,30
6978,30
6467,30
6979,30
6469,30
6470,30
6983,30
6472,30
6980,30
6474,30
6981,30
6984,30
6992,30
6993,30
6483,30
6484,30
6485,30
6486,30
6487,30
6488,30
6489,30
6999,30
7001,30
7000,30
7005,30
6497,30
6499,30
6500,30
7013,30
6504,30
7017,30
7018,30
7025,30
8563,30
8564,30
8565,30
7030,30
6518,30
6520,30
6521,30
7033,30
6523,30
6524,30
7028,30
7029,30
8575,30
6530,30
7046,30
7558,30
7055,30
6544,30
6545,30
6546,30
6550,30
7062,30
7067,30
7068,30
7070,30
7071,30
7074,30
6563,30
6564,30
7079,30
7080,30
6571,30
6580,30
6582,30
6583,30
6588,30
6589,30
7103,30
7104,30
7106,30
7107,30
6597,30
6598,30
6599,30
7112,30
7111,30
6600,30
6601,30
6602,30
6603,30
6604,30
6605,30
6606,30
6607,30
6608,30
7113,30
6611,30
7124,30
7125,30
6612,30
7114,30
6615,30
7128,30
7130,30
7129,30
6620,30
7116,30
6622,30
6623,30
7117,30
6625,30
7137,30
6626,30
6628,30
7118,30
6627,30
7145,30
6637,30
6638,30
7149,30
6639,30
6640,30
6642,30
6643,30
7121,30
6644,30
6648,30
6649,30
7164,30
7123,30
7167,30
30,9
4691,9
4692,9
4695,9
7243,9
4227,9
4233,9
4234,9
4239,9
4241,9
4242,9
4243,9
4244,9
4245,9
4246,9
4247,9
4248,9
4249,9
4250,9
4251,9
4252,9
4253,9
4254,9
4255,9
4256,9
4257,9
4258,9
4259,9
4260,9
4261,9
4262,9
4263,9
4264,9
4310,9
4321,9
2300,9
4350,9
2304,9
2305,9
2320,9
2331,9
4416,9
4498,9
8594,9
4500,9
