,0
5120,30
5121,30
5122,30
5123,30
5124,30
6,30
7,30
7178,30
7180,30
7181,30
7183,30
7184,30
7185,30
7186,30
7187,30
7188,30
7191,30
7192,30
7193,30
7196,30
7197,30
7198,30
7199,30
7200,30
7201,30
7202,30
7203,30
7204,30
7205,30
7207,30
7208,30
7209,30
6225,30
5214,30
147,30
148,30
150,30
152,30
154,30
155,30
156,30
157,30
158,30
159,30
160,30
161,30
162,30
164,30
166,30
167,30
168,30
169,30
170,30
171,30
173,30
174,30
176,30
177,30
178,30
8443,30
8445,30
8446,30
8447,30
8448,30
8449,30
8450,30
5543,30
5545,30
8627,30
8628,30
8629,30
5569,30
8656,30
8657,30
507,30
509,30
510,30
511,30
513,30
514,30
516,30
519,30
520,30
523,30
524,30
527,30
532,30
533,30
534,30
535,30
537,30
538,30
542,30
543,30
545,30
548,30
549,30
550,30
552,30
553,30
555,30
556,30
2717,30
2731,30
2736,30
2740,30
2741,30
2742,30
2746,30
2747,30
2749,30
2751,30
2752,30
2753,30
2754,30
2756,30
2757,30
2758,30
2759,30
2760,30
2765,30
2766,30
2767,30
2777,30
2788,30
2789,30
2790,30
2792,30
2793,30
2794,30
2795,30
2796,30
2797,30
2798,30
2801,30
2802,30
2803,30
2804,30
2805,30
2806,30
2811,30
2812,30
2813,30
2814,30
2820,30
2821,30
2831,30
2832,30
2834,30
2836,30
2837,30
2838,30
2839,30
2840,30
2841,30
7956,30
2843,30
2846,30
2847,30
2848,30
3877,30
3878,30
3879,30
2860,30
2861,30
818,30
819,30
820,30
822,30
823,30
2875,30
2877,30
2878,30
2879,30
2880,30
833,30
834,30
835,30
2887,30
2888,30
2889,30
2890,30
2891,30
2892,30
2893,30
2894,30
2903,30
2910,30
2924,30
2926,30
2927,30
2928,30
2929,30
2930,30
2931,30
2932,30
2934,30
2935,30
887,30
2937,30
2936,30
2939,30
2940,30
2941,30
2945,30
2946,30
2947,30
2948,30
2949,30
2950,30
2951,30
2952,30
2953,30
2954,30
2955,30
2956,30
2962,30
2963,30
2964,30
2965,30
2966,30
2967,30
2971,30
2973,30
2974,30
2976,30
2977,30
2978,30
2979,30
2980,30
2981,30
2982,30
2983,30
2984,30
2985,30
2988,30
2989,30
2991,30
2992,30
2993,30
2994,30
3000,30
3005,30
3006,30
3012,30
3015,30
3017,30
3019,30
3020,30
3021,30
3024,30
3027,30
3028,30
5100,30
5101,30
5102,30
5103,30
5104,30
5105,30
5106,30
5107,30
5108,30
5109,30
5110,30
5111,30
5114,30
5115,30
5116,30
5117,30
5118,30
5119,30
1024,9
1025,9
1026,9
1027,9
1028,9
1029,9
1030,9
1031,9
1032,9
2627,9
2631,9
2632,9
2633,9
3577,9
2639,9
2640,9
2641,9
2642,9
2647,9
4204,9
4205,9
4207,9
4208,9
4209,9
4210,9
4214,9
4216,9
4217,9
3708,9
3709,9
641,9
642,9
643,9
644,9
645,9
646,9
647,9
648,9
652,9
659,9
660,9
661,9
664,9
665,9
667,9
668,9
669,9
670,9
671,9
672,9
673,9
674,9
675,9
676,9
677,9
681,9
682,9
4267,9
4268,9
4269,9
683,9
4271,9
684,9
4273,9
4274,9
4275,9
4276,9
688,9
689,9
4270,9
4294,9
8396,9
6356,9
4830,9
4831,9
4832,9
4833,9
4834,9
4837,9
4838,9
747,9
748,9
749,9
750,9
4335,9
751,9
752,9
753,9
754,9
755,9
756,9
757,9
4352,9
4357,9
4358,9
4870,9
4360,9
4361,9
4362,9
4363,9
4364,9
4872,9
4881,9
4882,9
4883,9
4379,9
801,9
802,9
803,9
1691,9
8515,9
8516,9
8517,9
844,9
845,9
846,9
847,9
848,9
849,9
850,9
851,9
5456,9
853,9
854,9
855,9
856,9
857,9
3416,9
859,9
860,9
861,9
862,9
3417,9
3424,9
5467,9
865,9
866,9
867,9
868,9
869,9
870,9
871,9
872,9
873,9
874,9
875,9
876,9
877,9
878,9
879,9
880,9
5483,9
3947,9
885,9
3941,9
5468,9
3942,9
5469,9
5502,9
3975,9
400,9
5473,9
402,9
403,9
916,9
5531,9
928,9
930,9
931,9
933,9
934,9
935,9
936,9
937,9
938,9
939,9
940,9
8623,9
8624,9
944,9
945,9
946,9
949,9
950,9
952,9
956,9
957,9
8638,9
8639,9
8640,9
959,9
4565,9
4566,9
4567,9
4568,9
983,9
984,9
4571,9
994,9
995,9
996,9
997,9
998,9
999,9
1000,9
1003,9
1004,9
1006,9
1007,9
1009,9
1010,9
1011,9
1012,9
1013,9
1014,9
1015,9
1017,9
1018,9
1020,9
1021,9
3583,9
4096,28
4097,28
4098,28
4099,28
4100,28
4101,28
4102,28
4103,28
4105,28
4111,28
4112,28
4113,28
4123,28
4124,28
4137,28
4139,28
4143,28
4144,28
4145,28
4148,28
4149,28
4150,28
4151,28
4152,28
4153,28
4154,28
4156,28
4158,28
4162,28
4168,28
4169,28
4170,28
4173,28
4174,28
4175,28
4178,28
4179,28
4180,28
4182,28
4212,28
4213,28
4218,28
4219,28
4222,28
4223,28
4224,28
4225,28
4226,28
4265,28
4266,28
4293,28
8399,28
4313,28
4314,28
4315,28
4316,28
4317,28
4323,28
4324,28
4332,28
4337,28
4338,28
4339,28
4347,28
4349,28
4351,28
4353,28
4354,28
4355,28
4359,28
3716,28
3717,28
4394,28
4396,28
4397,28
4399,28
4401,28
4402,28
4404,28
4407,28
4415,28
4538,28
4539,28
4540,28
4543,28
4554,28
3557,28
3558,28
3561,28
3563,28
3564,28
3565,28
3566,28
3571,28
3572,28
