,0
2061,8
2576,8
2620,8
2621,8
4710,8
4712,8
4713,8
4714,8
4715,8
4722,8
4723,8
4724,8
4725,8
4726,8
6304,8
1194,8
1195,8
1196,8
1198,8
1201,8
1202,8
1210,8
1211,8
1212,8
1213,8
1214,8
1215,8
1216,8
1217,8
5309,8
1218,8
1219,8
1220,8
1221,8
1222,8
1224,8
1223,8
5849,8
5851,8
2268,8
2269,8
2270,8
2271,8
5856,8
5857,8
2276,8
2277,8
2278,8
4839,8
2279,8
2280,8
2281,8
2282,8
2283,8
2285,8
2284,8
2287,8
2294,8
2295,8
2296,8
2297,8
2298,8
2299,8
2300,8
2301,8
2302,8
2303,8
2304,8
5889,8
5890,8
5891,8
2308,8
2309,8
2310,8
2311,8
5893,8
5892,8
2312,8
2313,8
2314,8
2315,8
2316,8
2317,8
5897,8
5903,8
5904,8
2319,8
2320,8
5907,8
2321,8
2322,8
2323,8
2324,8
2325,8
2331,8
2326,8
2327,8
2328,8
2329,8
2330,8
2332,8
2333,8
2334,8
2335,8
2339,8
5924,8
5925,8
5926,8
5927,8
2344,8
5928,8
5929,8
818,8
819,8
2365,8
2366,8
2367,8
5950,8
5951,8
5952,8
5953,8
836,8
837,8
5954,8
5956,8
5958,8
5959,8
842,8
843,8
844,8
845,8
846,8
847,8
848,8
849,8
5964,8
5965,8
5966,8
853,8
5967,8
854,8
5968,8
5969,8
857,8
5970,8
5971,8
5973,8
5974,8
862,8
863,8
864,8
5982,8
5983,8
5984,8
5985,8
5986,8
5987,8
5988,8
5989,8
5990,8
5991,8
5992,8
5993,8
878,8
5994,8
5975,8
4971,8
4972,8
877,8
4974,8
879,8
880,8
4977,8
4976,8
881,8
4978,8
4979,8
4980,8
4981,8
4982,8
4983,8
4984,8
4985,8
4986,8
4988,8
4989,8
4990,8
4991,8
4992,8
4993,8
4994,8
4995,8
4996,8
4998,8
904,8
905,8
906,8
907,8
908,8
909,8
917,8
1302,8
865,8
851,8
5036,8
5043,8
5960,8
5046,8
5047,8
950,8
5049,8
5050,8
5051,8
852,8
4973,8
5052,8
5053,8
5054,8
5055,8
5056,8
5057,8
5058,8
5059,8
5060,8
4975,8
5061,8
5062,8
5063,8
5064,8
5065,8
5073,8
5087,8
5088,8
5089,8
5090,8
5898,8
5899,8
5902,8
3586,31
3599,31
3600,31
3601,31
3602,31
3603,31
3604,31
3605,31
3606,31
3607,31
3608,31
3609,31
3610,31
3611,31
