,0
1063,8
1069,8
1074,8
1077,8
1079,8
1080,8
1081,8
1082,8
1083,8
1084,8
1085,8
1086,8
1087,8
1093,8
1096,8
1240,8
1154,8
1155,8
1156,8
1158,8
1159,8
1160,8
1161,8
1162,8
1193,8
696,8
697,8
698,8
699,8
700,8
703,8
704,8
705,8
706,8
710,8
711,8
712,8
1225,8
714,8
715,8
1226,8
1227,8
1228,8
1231,8
717,8
718,8
719,8
1229,8
1230,8
1233,8
1235,8
1232,8
1236,8
1234,8
1237,8
1238,8
1242,8
1245,8
1246,8
1239,8
1244,8
1243,8
1241,8
1247,8
1248,8
738,8
1249,8
1250,8
1251,8
1253,8
1252,8
1254,8
1270,8
763,8
764,8
767,8
1288,8
1289,8
1290,8
1291,8
1292,8
1293,8
1294,8
1295,8
1296,8
1303,8
1304,8
1305,8
827,8
828,8
829,8
832,8
833,8
834,8
835,8
838,8
839,8
840,8
841,8
846,8
847,8
848,8
849,8
850,8
851,8
852,8
853,8
854,8
855,8
856,8
857,8
858,8
859,8
860,8
861,8
862,8
864,8
865,8
882,8
883,8
884,8
885,8
886,8
887,8
888,8
889,8
890,8
891,8
892,8
893,8
894,8
895,8
896,8
897,8
898,8
899,8
900,8
901,8
902,8
903,8
910,8
911,8
938,8
939,8
940,8
941,8
942,8
943,8
944,8
945,8
946,8
947,8
948,8
949,8
950,8
951,8
952,8
953,8
954,8
955,8
956,8
957,8
958,8
959,8
960,8
961,8
962,8
963,8
964,8
965,8
966,8
967,8
968,8
969,8
970,8
971,8
972,8
973,8
974,8
975,8
976,8
977,8
978,8
979,8
981,8
984,8
990,8
6146,31
6160,31
6161,31
4379,31
6231,31
3427,31
3428,31
3429,31
3430,31
3431,31
3432,31
3433,31
3434,31
3435,31
3436,31
3437,31
3438,31
3439,31
3440,31
3441,31
6265,31
6266,31
6267,31
3451,31
3452,31
3453,31
3454,31
3455,31
3456,31
3457,31
3458,31
3459,31
3460,31
3461,31
3462,31
3463,31
3464,31
3465,31
3466,31
3467,31
3468,31
3469,31
3470,31
3471,31
3472,31
3494,31
3495,31
3496,31
3497,31
3498,31
3499,31
3500,31
3501,31
3502,31
3503,31
3504,31
3505,31
6066,31
6067,31
6068,31
6069,31
6070,31
6071,31
3506,31
3510,31
6072,31
6075,31
3515,31
3516,31
3517,31
6079,31
6073,31
6074,31
6076,31
6077,31
3524,31
6078,31
6080,31
6081,31
6355,31
6356,31
6357,31
6358,31
6359,31
6360,31
6361,31
6362,31
6363,31
6364,31
6365,31
6366,31
6367,31
6368,31
6369,31
6370,31
6371,31
6372,31
6373,31
6394,31
3836,31
3837,31
509,19
518,19
5577,19
2956,19
2957,19
5578,19
505,19
508,19
1913,19
2961,19
2962,19
2963,19
2964,19
5579,19
2629,19
2630,19
2965,19
2632,19
2635,19
2966,19
2637,19
2638,19
2639,19
2640,19
2967,19
2642,19
2643,19
2644,19
2645,19
2646,19
2647,19
2648,19
2649,19
2650,19
2651,19
2652,19
2969,19
2658,19
2659,19
504,19
2972,19
2973,19
2978,19
2983,19
2984,19
506,19
2985,19
2986,19
5811,19
5812,19
2987,19
2988,19
2989,19
2990,19
2991,19
2992,19
2993,19
2994,19
2995,19
224,19
225,19
226,19
227,19
2996,19
3301,19
3302,19
3303,19
2997,19
2998,19
5586,19
247,19
249,19
3001,19
3002,19
3004,19
5587,19
1808,19
1809,19
802,19
5588,19
500,19
507,19
330,19
1873,19
347,19
349,19
350,19
351,19
2921,19
2922,19
2923,19
2924,19
2925,19
2927,19
2928,19
2929,19
2930,19
1907,19
2931,19
2932,19
1910,19
2933,19
2934,19
2935,19
2936,19
2937,19
2938,19
2939,19
2940,19
2941,19
2942,19
2943,19
2944,19
2945,19
2946,19
2947,19
2948,19
2949,19
2950,19
5513,19
2951,19
2952,19
2953,19
2954,19
5518,19
5519,19
5520,19
5521,19
5522,19
2955,19
5524,19
5525,19
5526,19
2958,19
2959,19
2960,19
5530,19
5531,19
5532,19
5533,19
5534,19
5535,19
5536,19
2968,19
5538,19
2970,19
2971,19
5541,19
5542,19
2974,19
2975,19
2976,19
2977,19
5547,19
2979,19
2980,19
2981,19
2982,19
5552,19
5553,19
5554,19
5555,19
5556,19
5557,19
5558,19
5559,19
5560,19
5561,19
5562,19
5563,19
5564,19
5565,19
5566,19
5567,19
2999,19
3000,19
5570,19
5571,19
3003,19
5573,19
3005,19
3006,19
3007,19
3008,19
3009,19
3010,19
3011,19
3012,19
3013,19
3014,19
3015,19
3016,19
3017,19
3018,19
3019,19
3020,19
462,19
5591,19
463,19
5593,19
5594,19
5595,19
5596,19
5597,19
5598,19
5589,19
5590,19
503,19
5606,19
5607,19
5608,19
5609,19
5572,19
5610,19
491,19
5611,19
5612,19
494,19
5613,19
5614,19
5618,19
5619,19
5620,19
5621,19
5622,19
5623,19
5624,19
5625,19
5626,19
5627,19
5628,19
5629,19
501,19
502,19
6493,11
6268,11
6269,11
6270,11
6271,11
6272,11
6273,11
6274,11
6275,11
6276,11
6277,11
6278,11
6279,11
6280,11
6281,11
6282,11
6283,11
6284,11
6285,11
6286,11
6289,11
6290,11
6291,11
6292,11
6293,11
6294,11
6295,11
6808,11
6296,11
6810,11
6297,11
6298,11
6299,11
6300,11
6301,11
6302,11
6303,11
6304,11
6312,11
6313,11
6321,11
6322,11
6323,11
6324,11
6325,11
6326,11
6328,11
6329,11
6330,11
6331,11
6332,11
6333,11
6334,11
6335,11
6336,11
6337,11
6338,11
6339,11
6340,11
6341,11
6342,11
6343,11
6344,11
6345,11
1362,11
6349,11
6350,11
6351,11
6352,11
6353,11
1365,11
2272,11
2273,11
2274,11
6377,11
6378,11
6379,11
6380,11
6381,11
6382,11
6383,11
2288,11
2289,11
6384,11
6385,11
6388,11
2292,11
6389,11
6391,11
6392,11
6393,11
6387,11
2293,11
6390,11
2290,11
2306,11
2291,11
2318,11
6414,11
6415,11
6416,11
1306,11
1307,11
1308,11
1309,11
2336,11
6433,11
6434,11
6435,11
2340,11
2341,11
2342,11
2338,11
2339,11
2337,11
5927,11
2351,11
2352,11
2353,11
2354,11
2355,11
2356,11
2357,11
2358,11
2359,11
2360,11
2361,11
1337,11
1338,11
2364,11
6464,11
6466,11
1347,11
1348,11
6467,11
6468,11
6469,11
6470,11
6471,11
6472,11
6473,11
6476,11
6477,11
6474,11
6475,11
1358,11
6481,11
6479,11
6478,11
1364,11
6480,11
1360,11
1363,11
6482,11
6483,11
1361,11
1366,11
6485,11
1368,11
1367,11
1369,11
1370,11
1371,11
1372,11
1373,11
1374,11
1378,11
1375,11
1376,11
1377,11
1379,11
1380,11
1381,11
1382,11
1384,11
1385,11
1383,11
6484,11
5974,11
6518,11
6519,11
6520,11
6521,11
6522,11
6523,11
1399,11
1400,11
1401,11
6486,11
1402,11
6524,11
6525,11
6526,11
6487,11
6528,11
6529,11
6530,11
1409,11
1408,11
6531,11
1411,11
6532,11
6533,11
6534,11
1420,11
6489,11
6490,11
1425,11
6386,11
1403,11
6549,11
6488,11
6491,11
6546,11
6547,11
6492,11
1404,11
6548,11
1434,11
1435,11
1436,11
1437,11
1438,11
1439,11
1440,11
1405,11
1406,11
6494,11
6495,11
1407,11
6058,11
6059,11
6496,11
6550,11
6497,11
1410,11
6500,11
1412,11
6807,11
1418,11
1323,2
1324,2
1325,2
1326,2
1433,2
1113,2
1114,2
1115,2
1116,2
1117,2
1123,2
1124,2
1175,2
1176,2
1177,2
1178,2
1179,2
1180,2
1181,2
1182,2
1183,2
1184,2
1185,2
1186,2
1187,2
1188,2
1190,2
1191,2
1194,2
1195,2
1196,2
1198,2
1201,2
1202,2
1210,2
1211,2
1212,2
5309,2
1213,2
5310,2
1214,2
1215,2
1217,2
1218,2
1219,2
1220,2
1221,2
1222,2
1223,2
1224,2
2268,2
2269,2
2270,2
2275,2
2276,2
2284,2
2286,2
2287,2
2294,2
2295,2
2296,2
2297,2
2298,2
2299,2
2300,2
2301,2
2302,2
2303,2
2304,2
2307,2
2308,2
2309,2
2310,2
2311,2
2312,2
1800,2
2317,2
2319,2
2320,2
2321,2
2322,2
2323,2
2324,2
2325,2
1302,2
2326,2
2328,2
2329,2
2327,2
2331,2
2332,2
2333,2
2334,2
2335,2
2330,2
1310,2
1311,2
1312,2
1313,2
1314,2
1315,2
2343,2
2344,2
1316,2
1317,2
1318,2
1319,2
1320,2
2345,2
2346,2
2347,2
2348,2
818,2
819,2
2349,2
2350,2
1329,2
1330,2
1327,2
1328,2
2362,2
2363,2
1331,2
1332,2
1333,2
1334,2
1335,2
1339,2
1340,2
1343,2
1344,2
837,2
1345,2
1346,2
1349,2
1350,2
842,2
843,2
844,2
845,2
1351,2
1353,2
1355,2
1397,2
1395,2
863,2
1398,2
1394,2
4971,2
4972,2
877,2
878,2
879,2
880,2
881,2
4973,2
4974,2
4975,2
4976,2
4977,2
4978,2
4979,2
4980,2
4981,2
4982,2
4983,2
4984,2
4985,2
4986,2
4988,2
4989,2
4990,2
4991,2
4992,2
4993,2
4994,2
4995,2
4996,2
4997,2
4999,2
904,2
905,2
906,2
907,2
908,2
909,2
1417,2
914,2
915,2
916,2
5013,2
917,2
5014,2
5016,2
5017,2
5015,2
5018,2
5019,2
5020,2
5021,2
5022,2
5023,2
5024,2
5025,2
5033,2
1451,2
1452,2
5037,2
1453,2
5049,2
5050,2
5051,2
5052,2
5053,2
5054,2
5055,2
5056,2
5057,2
5058,2
5059,2
5060,2
5061,2
5062,2
5063,2
5064,2
5065,2
1413,2
1414,2
701,2
702,2
5073,2
5087,2
5088,2
5089,2
5090,2
1216,2
1421,2
1321,2
1396,2
1322,2
4096,18
4097,18
4098,18
4099,18
4102,18
4103,18
4104,18
4105,18
3079,18
3080,18
3081,18
3082,18
5131,18
5129,18
5130,18
5132,18
5134,18
5135,18
5137,18
5138,18
3056,18
5148,18
5149,18
5095,18
3060,18
3061,18
5097,18
3062,18
5099,18
3055,18
3137,18
3138,18
3139,18
3140,18
5103,18
5661,18
3158,18
3159,18
3160,18
3162,18
3163,18
3164,18
3165,18
3168,18
3169,18
3170,18
3171,18
3172,18
3173,18
3174,18
3175,18
3177,18
3178,18
3179,18
3180,18
3181,18
3182,18
3183,18
3184,18
5662,18
5110,18
5111,18
5113,18
2211,18
2212,18
2213,18
2214,18
2217,18
2220,18
3304,18
3305,18
3306,18
3307,18
5404,18
5427,18
5428,18
5437,18
5438,18
5439,18
5637,18
5638,18
5639,18
520,18
5640,18
5641,18
523,18
524,18
5642,18
5643,18
5644,18
5645,18
5646,18
5647,18
5648,18
5649,18
5653,18
534,18
535,18
536,18
5654,18
5655,18
5657,18
5659,18
5660,18
5658,18
5663,18
5664,18
545,18
5666,18
547,18
548,18
5667,18
5668,18
551,18
5669,18
5671,18
5672,18
5673,18
5670,18
5674,18
5675,18
5676,18
563,18
564,18
565,18
566,18
4671,18
4672,18
4675,18
4676,18
4677,18
4678,18
4679,18
4680,18
4681,18
4682,18
4683,18
587,18
4685,18
4686,18
4687,18
4688,18
4684,18
4690,18
