,0
2048,8
2049,8
2050,8
2051,8
2036,8
2027,8
2059,8
2060,8
2061,8
2062,8
2063,8
2064,8
2065,8
2039,8
2069,8
2070,8
2071,8
2072,8
2073,8
2074,8
2075,8
2076,8
2077,8
2078,8
2079,8
2080,8
2081,8
2082,8
2083,8
2084,8
2085,8
2086,8
2087,8
2088,8
2089,8
2090,8
2091,8
2092,8
2093,8
2094,8
2095,8
2096,8
2097,8
2098,8
2100,8
2101,8
2102,8
2103,8
2046,8
2047,8
1118,8
1120,8
2146,8
2147,8
2148,8
2149,8
2150,8
2151,8
2152,8
1122,8
2154,8
1135,8
2166,8
4908,8
2168,8
2169,8
2170,8
2171,8
2172,8
2173,8
2174,8
2175,8
2176,8
2177,8
2178,8
2179,8
2180,8
2181,8
2182,8
2183,8
2184,8
2185,8
2186,8
2187,8
2188,8
2189,8
2190,8
2191,8
2192,8
2193,8
2194,8
2195,8
2196,8
2197,8
2198,8
2199,8
1189,8
1190,8
1192,8
2042,8
1209,8
5307,8
5308,8
1297,8
1301,8
2017,8
1164,8
5736,8
5742,8
5744,8
5745,8
5749,8
5755,8
5756,8
5757,8
5758,8
5760,8
5761,8
5762,8
5763,8
5764,8
5765,8
1146,8
5766,8
5767,8
5768,8
5770,8
1147,8
5771,8
5772,8
2020,8
5775,8
1148,8
5776,8
5777,8
5778,8
5779,8
5780,8
5781,8
5782,8
5783,8
5784,8
5785,8
5786,8
5787,8
5788,8
5789,8
5790,8
5791,8
5792,8
5793,8
5794,8
5795,8
5796,8
5798,8
5799,8
2773,8
2774,8
2775,8
2776,8
2777,8
2778,8
2779,8
2780,8
2781,8
2782,8
2783,8
2784,8
2785,8
2786,8
2787,8
2788,8
2789,8
2790,8
2791,8
2792,8
2793,8
2794,8
2795,8
2796,8
2797,8
1165,8
2807,8
2808,8
2809,8
2810,8
2811,8
2812,8
2813,8
2814,8
2815,8
2816,8
2817,8
2818,8
2819,8
2820,8
2821,8
2822,8
2823,8
2824,8
2825,8
2826,8
2025,8
780,8
781,8
782,8
783,8
784,8
4881,8
785,8
4882,8
786,8
787,8
788,8
4885,8
4886,8
4888,8
4890,8
4889,8
794,8
795,8
4892,8
797,8
4894,8
4895,8
4896,8
4897,8
4898,8
4899,8
4900,8
4903,8
4904,8
4901,8
4902,8
4905,8
4906,8
4907,8
4909,8
814,8
815,8
816,8
4912,8
4913,8
4911,8
820,8
4910,8
817,8
4915,8
4914,8
822,8
4923,8
4920,8
821,8
4918,8
4919,8
824,8
825,8
826,8
4884,8
866,8
867,8
868,8
4965,8
869,8
870,8
871,8
872,8
874,8
2009,8
2030,8
789,8
809,8
790,8
813,8
791,8
792,8
793,8
2031,8
1954,8
1955,8
1956,8
796,8
1957,8
1958,8
1959,8
1960,8
1961,8
1962,8
1963,8
1964,8
1965,8
1966,8
1967,8
1968,8
1969,8
1970,8
1971,8
1972,8
1973,8
1974,8
5048,8
1975,8
1976,8
1977,8
1978,8
1979,8
1980,8
1981,8
1982,8
1983,8
1984,8
1985,8
1986,8
1987,8
1988,8
1989,8
1990,8
1991,8
1992,8
803,8
1996,8
1993,8
1994,8
