,0
2052,8
2053,8
2054,8
2055,8
2056,8
2057,8
2064,8
2065,8
2066,8
2067,8
2068,8
2073,8
2074,8
2076,8
2077,8
2078,8
2079,8
2080,8
2081,8
2082,8
2083,8
2084,8
2085,8
2086,8
2087,8
2092,8
2099,8
2100,8
2101,8
2102,8
1198,8
5310,8
2268,8
2269,8
2270,8
2271,8
2272,8
2273,8
2275,8
2276,8
2277,8
2278,8
2279,8
2280,8
2281,8
2282,8
2283,8
2284,8
2285,8
2286,8
2287,8
2294,8
2295,8
2296,8
2297,8
2298,8
2299,8
2300,8
2301,8
2302,8
2303,8
2304,8
2306,8
2307,8
2308,8
2309,8
2310,8
2311,8
2312,8
2313,8
2314,8
2315,8
2316,8
2317,8
2319,8
2320,8
2321,8
2322,8
2323,8
2324,8
2325,8
2326,8
2327,8
2328,8
2329,8
2330,8
2331,8
2332,8
2333,8
2334,8
2335,8
2340,8
2341,8
2342,8
2343,8
2344,8
2347,8
5860,8
2349,8
2350,8
2351,8
2352,8
2353,8
2354,8
2355,8
2356,8
2357,8
2358,8
2359,8
2360,8
2361,8
2362,8
2363,8
819,8
2365,8
2366,8
2367,8
4924,8
4927,8
4928,8
4929,8
4930,8
4931,8
4932,8
4933,8
4934,8
4935,8
5958,8
842,8
843,8
844,8
845,8
5959,8
4951,8
5982,8
5983,8
5984,8
4961,8
5985,8
4963,8
4964,8
4965,8
4966,8
5986,8
5987,8
5988,8
5989,8
5990,8
5991,8
877,8
878,8
879,8
4975,8
881,8
5993,8
5994,8
6518,8
4987,8
4988,8
4989,8
4990,8
4991,8
4992,8
4993,8
4994,8
4995,8
4996,8
4997,8
4998,8
4999,8
905,8
5015,8
5018,8
5019,8
5020,8
5021,8
5022,8
5023,8
5024,8
5025,8
1435,8
1436,8
1437,8
1438,8
1439,8
1440,8
5033,8
5034,8
5035,8
5036,8
5037,8
5038,8
5039,8
5042,8
5043,8
5046,8
5047,8
5048,8
5049,8
5050,8
5051,8
5052,8
5053,8
5054,8
5055,8
5056,8
5057,8
5058,8
5059,8
5060,8
5061,8
5062,8
5063,8
5064,8
5065,8
5066,8
5067,8
5068,8
5069,8
5070,8
5071,8
5072,8
5073,8
5074,8
5082,8
3328,31
3329,31
3330,31
3331,31
3332,31
3333,31
3334,31
3335,31
3336,31
3337,31
3338,31
6417,31
6418,31
6419,31
6420,31
3348,31
3349,31
6423,31
3350,31
3351,31
3352,31
3353,31
3354,31
3355,31
3356,31
6431,31
3357,31
3358,31
3359,31
3360,31
3361,31
3362,31
3363,31
3364,31
