,0
4612,8
6665,8
6666,8
4107,8
6668,8
4109,8
4110,8
4111,8
4112,8
6667,8
4114,8
4115,8
4116,8
4117,8
4118,8
4119,8
4120,8
4121,8
4122,8
4123,8
4124,8
4125,8
4126,8
4127,8
6621,8
4131,8
4132,8
6691,8
4134,8
4135,8
4136,8
4137,8
4138,8
4139,8
4140,8
4141,8
4142,8
4143,8
4144,8
4145,8
4146,8
4148,8
4149,8
6625,8
6712,8
4153,8
4154,8
4155,8
4156,8
4157,8
4158,8
4159,8
4160,8
4161,8
4162,8
4163,8
4164,8
4165,8
4166,8
4167,8
4168,8
4169,8
4170,8
4171,8
4172,8
4173,8
4174,8
4175,8
4176,8
4177,8
4178,8
4179,8
4180,8
4181,8
4182,8
4183,8
4184,8
4185,8
4189,8
4192,8
4193,8
4194,8
4196,8
4198,8
4199,8
4200,8
4201,8
4202,8
4203,8
4205,8
4206,8
4207,8
6766,8
4209,8
6767,8
4217,8
4218,8
4219,8
4230,8
4231,8
4238,8
4241,8
4243,8
4244,8
4245,8
4246,8
6804,8
4248,8
4249,8
4250,8
4254,8
4255,8
4256,8
4257,8
4258,8
4259,8
4260,8
4261,8
4262,8
4263,8
4264,8
4265,8
4266,8
4267,8
4268,8
4269,8
4270,8
4271,8
4272,8
4273,8
4274,8
4275,8
4276,8
4277,8
4278,8
4279,8
4280,8
4284,8
4307,8
4308,8
4309,8
4315,8
4317,8
3299,8
3308,8
3309,8
3310,8
6627,8
5447,8
5448,8
5449,8
5452,8
5453,8
5455,8
5457,8
5459,8
5460,8
5461,8
5465,8
5469,8
5472,8
5473,8
5474,8
5477,8
5478,8
5483,8
5485,8
5487,8
5488,8
5489,8
5490,8
5491,8
5492,8
5493,8
5494,8
5495,8
5496,8
5497,8
5498,8
5499,8
5500,8
5501,8
5502,8
5503,8
5504,8
5505,8
5506,8
5507,8
5508,8
448,8
449,8
450,8
451,8
452,8
453,8
454,8
4562,8
6614,8
6615,8
473,8
6618,8
475,8
476,8
474,8
6619,8
6623,8
479,8
6620,8
477,8
6622,8
478,8
480,8
481,8
482,8
6626,8
6624,8
487,8
488,8
6634,8
493,8
6632,8
495,8
496,8
497,8
6633,8
499,8
6644,8
6646,8
6651,8
6652,8
6146,31
6154,31
6156,31
6159,31
6160,31
6161,31
6162,31
6163,31
6286,31
6808,31
6810,31
6313,31
6337,31
6338,31
6339,31
6340,31
6341,31
6342,31
6343,31
6344,31
6346,31
6347,31
6348,31
6349,31
6350,31
6351,31
6352,31
6353,31
6354,31
6355,31
6356,31
6357,31
6358,31
6359,31
6360,31
6361,31
6362,31
6363,31
6364,31
6365,31
6366,31
6367,31
6368,31
6369,31
6370,31
6371,31
6374,31
6375,31
6376,31
6377,31
6378,31
6379,31
6380,31
6381,31
6382,31
6383,31
6384,31
6385,31
6386,31
6389,31
6390,31
6391,31
6394,31
4379,31
3427,31
3428,31
3429,31
3430,31
3431,31
3432,31
3433,31
3434,31
3435,31
3436,31
3437,31
3438,31
3440,31
6524,31
6525,31
6526,31
6527,31
6528,31
6529,31
6530,31
6531,31
6532,31
3461,31
6533,31
6534,31
3455,31
3456,31
3458,31
3459,31
3468,31
3463,31
3465,31
3466,31
3467,31
3497,31
3498,31
3499,31
6058,31
3502,31
6065,31
6066,31
6067,31
6068,31
6069,31
6070,31
6071,31
6072,31
6073,31
6074,31
6075,31
6076,31
6077,31
6078,31
6079,31
6080,31
6081,31
6082,31
3452,31
3453,31
3454,31
6120,31
6121,31
6122,31
6123,31
6124,31
6125,31
6126,31
6127,31
6128,31
6129,31
3457,31
6130,31
6133,31
6134,31
6136,31
512,19
513,19
514,19
515,19
516,19
517,19
518,19
519,19
4195,19
4197,19
4239,19
4240,19
4242,19
4247,19
4251,19
4252,19
4253,19
4288,19
4289,19
192,19
193,19
194,19
195,19
196,19
198,19
199,19
200,19
201,19
203,19
204,19
205,19
206,19
202,19
207,19
208,19
209,19
210,19
211,19
212,19
213,19
214,19
215,19
216,19
217,19
218,19
219,19
220,19
4316,19
221,19
4318,19
222,19
223,19
4319,19
4320,19
228,19
229,19
230,19
231,19
232,19
233,19
234,19
235,19
236,19
237,19
238,19
239,19
240,19
241,19
242,19
243,19
244,19
245,19
248,19
249,19
254,19
256,19
258,19
259,19
260,19
261,19
263,19
264,19
266,19
267,19
269,19
270,19
273,19
280,19
801,19
290,19
293,19
306,19
307,19
308,19
309,19
310,19
311,19
331,19
332,19
333,19
334,19
335,19
336,19
337,19
338,19
339,19
340,19
341,19
342,19
343,19
344,19
345,19
346,19
347,19
348,19
359,19
360,19
361,19
2921,19
2926,19
2931,19
374,19
375,19
376,19
377,19
378,19
379,19
2985,19
3000,19
3001,19
3002,19
3003,19
3004,19
456,19
457,19
458,19
459,19
460,19
461,19
463,19
471,19
472,19
197,19
484,19
485,19
486,19
490,19
491,19
492,19
508,19
509,19
510,19
511,19
408,11
5139,11
5140,11
5141,11
5142,11
411,11
5144,11
5146,11
5151,11
5152,11
5153,11
5155,11
5172,11
5173,11
5174,11
418,11
419,11
420,11
421,11
422,11
77,11
78,11
79,11
80,11
423,11
81,11
82,11
83,11
84,11
85,11
86,11
87,11
88,11
90,11
89,11
91,11
92,11
94,11
93,11
95,11
96,11
97,11
98,11
99,11
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
428,11
111,11
112,11
113,11
114,11
115,11
116,11
117,11
118,11
121,11
431,11
123,11
124,11
125,11
122,11
126,11
128,11
129,11
130,11
433,11
131,11
4504,11
132,11
133,11
134,11
135,11
4505,11
136,11
137,11
138,11
142,11
4506,11
139,11
145,11
146,11
140,11
141,11
143,11
144,11
151,11
152,11
153,11
154,11
437,11
438,11
148,11
149,11
150,11
439,11
440,11
441,11
180,11
4514,11
4515,11
4516,11
4517,11
4518,11
4519,11
4526,11
4527,11
4528,11
4529,11
4530,11
5397,11
5400,11
5402,11
5403,11
5405,11
5406,11
5409,11
5410,11
4535,11
5414,11
5415,11
5420,11
5421,11
5423,11
5434,11
4542,11
4543,11
4491,11
4495,11
4496,11
4497,11
4498,11
4499,11
4500,11
4501,11
4502,11
407,11
4503,11
409,11
410,11
4507,11
412,11
413,11
4508,11
415,11
4509,11
417,11
4510,11
4511,11
4512,11
4513,11
414,11
416,11
424,11
425,11
426,11
427,11
4521,11
429,11
4522,11
4523,11
4524,11
4525,11
430,11
435,11
436,11
4531,11
4532,11
4533,11
4534,11
432,11
4538,11
434,11
444,11
445,11
4540,11
4541,11
442,11
4536,11
4537,11
4539,11
443,11
446,11
447,11
4545,11
4546,11
4544,11
4547,11
4548,11
4549,11
4550,11
4551,11
4552,11
4554,11
4555,11
4553,11
4557,11
4556,11
4559,11
4560,11
4561,11
1519,11
1520,11
1523,11
1524,11
1525,11
1528,11
100,11
1531,11
1532,11
1533,11
1534,11
1535,11
1536,11
1537,11
1538,11
1539,11
1544,11
1545,11
1546,11
1547,11
1548,11
1549,11
1550,11
1551,11
1552,11
1553,11
1554,11
1555,11
1556,11
1557,11
1558,11
1559,11
1560,11
1561,11
1562,11
1563,11
1564,11
1565,11
1566,11
1567,11
1568,11
1569,11
1570,11
1571,11
1572,11
1573,11
1574,11
1575,11
1576,11
1577,11
1578,11
1579,11
1580,11
1581,11
1582,11
1588,11
1598,11
1599,11
1617,11
1623,11
1625,11
1626,11
1634,11
1635,11
1639,11
127,11
147,11
5999,11
6000,11
6001,11
6002,11
6003,11
6004,11
6005,11
6006,11
6007,11
6008,11
6009,11
6010,11
6011,11
6012,11
6013,11
6014,11
6015,11
6016,11
6017,11
6018,11
6019,11
6020,11
6021,11
6022,11
6023,11
6024,11
6025,11
6026,11
6027,11
6028,11
6029,11
6030,11
6031,11
6032,11
6033,11
6034,11
6035,11
6036,11
6037,11
6038,11
6039,11
6040,11
6041,11
6042,11
6043,11
6044,11
6045,11
5091,11
5093,11
5094,11
4558,11
5120,2
5121,2
5122,2
5123,2
5124,2
5125,2
5126,2
5127,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,2
532,2
5132,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
5143,2
542,2
543,2
5145,2
541,2
5147,2
5148,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
552,2
553,2
557,2
558,2
559,2
5677,2
5678,2
560,2
554,2
555,2
556,2
1583,2
567,2
1584,2
1585,2
1586,2
563,2
564,2
568,2
569,2
5695,2
570,2
571,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
577,2
586,2
587,2
588,2
589,2
590,2
1612,2
592,2
1613,2
1618,2
1620,2
599,2
600,2
601,2
602,2
603,2
604,2
1624,2
1628,2
605,2
606,2
1629,2
1631,2
1632,2
1638,2
1640,2
1641,2
1642,2
1643,2
1644,2
1645,2
1646,2
1647,2
1648,2
1649,2
1650,2
1651,2
1652,2
1653,2
1654,2
110,2
119,2
120,2
1753,2
1662,2
1663,2
1665,2
1666,2
1667,2
1668,2
1669,2
1670,2
1671,2
1672,2
1673,2
1674,2
1675,2
1676,2
1677,2
1678,2
1679,2
1680,2
1681,2
1682,2
1683,2
1684,2
1685,2
1686,2
1687,2
1688,2
1689,2
1690,2
1691,2
1692,2
1693,2
1694,2
1695,2
1696,2
1697,2
1698,2
1699,2
1700,2
1701,2
1702,2
1703,2
1704,2
1705,2
1706,2
1707,2
1708,2
1709,2
1710,2
1711,2
1712,2
1713,2
1714,2
1715,2
1716,2
1717,2
1718,2
1719,2
1720,2
1721,2
1722,2
1723,2
1724,2
1725,2
1726,2
1727,2
1728,2
1729,2
1730,2
1731,2
1732,2
1733,2
1734,2
1735,2
1736,2
1737,2
5128,2
1740,2
1741,2
1742,2
1746,2
1747,2
1748,2
1749,2
1750,2
1751,2
1752,2
5130,2
1754,2
1755,2
1756,2
1757,2
1758,2
1759,2
1760,2
1761,2
1762,2
1763,2
1764,2
1765,2
1766,2
1767,2
1768,2
5133,2
1770,2
1771,2
1772,2
5136,2
5137,2
1801,2
1802,2
1803,2
1804,2
798,2
799,2
5407,2
800,2
5654,2
1587,2
5426,2
5150,2
5131,2
5436,2
572,2
573,2
574,2
1592,2
5154,2
575,2
1593,2
576,2
1594,2
1595,2
1596,2
1597,2
5669,2
5092,2
5095,2
5096,2
5098,2
5099,2
5100,2
5101,2
5102,2
5104,2
5105,2
5106,2
5107,2
5108,2
5109,2
5112,2
5114,2
5115,2
5116,2
5117,2
5118,2
5119,2
3849,18
3850,18
3852,18
3853,18
3854,18
3855,18
3856,18
6417,18
6418,18
6419,18
6420,18
3858,18
3859,18
6423,18
3352,18
3353,18
3860,18
3861,18
3351,18
3862,18
6436,18
6437,18
3366,18
3367,18
6438,18
