,0
7168,50
6657,50
6402,50
7170,50
6404,50
6405,50
7169,50
6406,50
6667,50
6668,50
6678,50
6679,50
6681,50
6682,50
6683,50
6684,50
6945,50
6690,50
6691,50
6948,50
6700,50
6703,50
6704,50
6963,50
6964,50
6965,50
6966,50
6967,50
6456,50
6714,50
6716,50
6976,50
6465,50
6978,50
6723,50
6979,50
6981,50
6725,50
6980,50
6985,50
6986,50
6987,50
6988,50
6733,50
6995,50
6996,50
6997,50
6998,50
6753,50
6501,50
6762,50
8567,50
7032,50
7035,50
7042,50
7061,50
6553,50
7073,50
7076,50
7077,50
6567,50
8872,50
7086,50
7091,50
6579,50
6581,50
7093,50
8888,50
8889,50
7097,50
6587,50
7103,50
6859,50
7115,50
7120,50
7131,50
7132,50
7133,50
7135,50
6629,50
6375,50
6377,50
6382,50
6386,50
6387,50
6389,50
6390,50
7163,50
6655,50
1792,28
1793,28
7680,28
7681,28
7682,28
7683,28
7685,28
7686,28
7687,28
7688,28
7689,28
7690,28
7691,28
7692,28
7693,28
7694,28
7695,28
7696,28
7697,28
7698,28
7699,28
7700,28
7701,28
7702,28
7703,28
7704,28
7705,28
7706,28
7707,28
7708,28
7709,28
7710,28
7711,28
7712,28
7714,28
7713,28
30,28
7715,28
7719,28
7720,28
7721,28
7722,28
7723,28
7724,28
7725,28
7726,28
7727,28
7728,28
7729,28
7730,28
7731,28
1844,28
7732,28
7733,28
7734,28
7735,28
7736,28
7737,28
7738,28
7739,28
7740,28
7741,28
7742,28
7744,28
7745,28
7746,28
7747,28
7748,28
7749,28
7750,28
7751,28
7752,28
7753,28
7754,28
7755,28
7756,28
7757,28
7758,28
2305,28
1845,28
1884,28
1853,28
4718,28
4719,28
4720,28
1854,28
2320,28
4509,28
4510,28
4511,28
4530,28
4531,28
4810,28
4811,28
4812,28
7628,28
7629,28
7630,28
2331,28
7631,28
7632,28
7633,28
7634,28
7635,28
7636,28
7637,28
7638,28
4825,28
7639,28
7640,28
7641,28
7642,28
7643,28
7644,28
7645,28
1761,28
7646,28
7647,28
7648,28
7649,28
7650,28
1767,28
7651,28
7652,28
1763,28
1765,28
7678,28
7679,28
8724,3
8725,3
8728,3
8729,3
8730,3
8520,3
8521,3
8524,3
8525,3
8532,3
8551,3
8552,3
7785,3
7798,3
7800,3
7802,3
7561,3
8616,3
8617,3
8618,3
8619,3
8620,3
8621,3
8622,3
7343,3
8625,3
2486,3
2487,3
2488,3
2493,3
7614,3
2494,3
7365,3
7366,3
2504,3
2505,3
2506,3
2507,3
7369,3
7372,3
7373,3
7374,3
7375,3
7377,3
2509,3
2512,3
2508,3
7382,3
7383,3
2518,3
2519,3
2520,3
2521,3
2522,3
2523,3
2524,3
2525,3
2528,3
2526,3
7626,3
2527,3
2529,3
2530,3
7627,3
2531,3
2532,3
2533,3
2534,3
2535,3
2536,3
8685,3
2537,3
2538,3
2539,3
8686,3
2542,3
7423,3
5378,49
5379,49
3856,49
3859,49
3861,49
3862,49
3867,49
3868,49
3871,49
8741,49
8742,49
8746,49
8747,49
5707,49
5708,49
5711,49
5712,49
5231,49
5233,49
5234,49
5237,49
5240,49
5755,49
5246,49
126,49
128,49
129,49
130,49
131,49
5764,49
127,49
133,49
5254,49
134,49
136,49
135,49
138,49
137,49
139,49
140,49
5262,49
5265,49
5266,49
5268,49
5269,49
5274,49
5276,49
5277,49
5278,49
5279,49
5280,49
5281,49
5282,49
5284,49
5285,49
5292,49
5293,49
5295,49
5298,49
5299,49
5300,49
5302,49
5305,49
459,49
5327,49
8400,49
