,0
7173,50
1286,50
1291,50
1296,50
1306,50
1567,50
1312,50
1316,50
5670,50
1577,50
1578,50
1579,50
1325,50
1585,50
8754,50
8755,50
1589,50
1078,50
1339,50
1087,50
1089,50
1090,50
1347,50
1092,50
1350,50
1352,50
1097,50
1355,50
1100,50
1105,50
1364,50
1110,50
1370,50
1115,50
1373,50
1375,50
1120,50
5728,50
5727,50
1380,50
1128,50
1130,50
5740,50
1398,50
5751,50
5241,50
1402,50
1145,50
5244,50
1150,50
1407,50
1410,50
5251,50
1415,50
1417,50
5257,50
1165,50
1166,50
1172,50
5270,50
1175,50
1433,50
8858,50
8860,50
8861,50
1184,50
1440,50
1701,50
8869,50
8870,50
1199,50
1459,50
1207,50
1208,50
1214,50
1217,50
1220,50
1224,50
5322,50
1484,50
1486,50
1489,50
1237,50
5334,50
1239,50
1247,50
1250,50
1506,50
1512,50
1257,50
1513,50
1264,50
1524,50
1527,50
1275,50
1283,28
1292,28
1294,28
1563,28
1309,28
8478,28
8479,28
1317,28
1319,28
1583,28
1072,28
1330,28
1075,28
1079,28
8253,28
1342,28
1345,28
1356,28
1102,28
1363,28
1365,28
1109,28
5725,28
8288,28
5732,28
1133,28
8301,28
1389,28
8305,28
1401,28
1146,28
8832,28
8833,28
1408,28
1411,28
1156,28
1159,28
1167,28
1428,28
1429,28
1174,28
1176,28
1434,28
8859,28
1179,28
1441,28
1700,28
1191,28
8361,28
8362,28
1201,28
8371,28
1460,28
8373,28
1206,28
1461,28
1210,28
1211,28
1466,28
1212,28
1471,28
1478,28
1482,28
1483,28
1228,28
1226,28
1230,28
1242,28
1498,28
1244,28
1503,28
1508,28
1509,28
1253,28
1511,28
1516,28
1262,28
1519,28
8176,28
8175,28
8179,28
1530,28
1534,28
2092,3
2093,3
2094,3
2097,3
2395,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
6249,3
107,3
108,3
109,3
6251,3
6252,3
6253,3
113,3
114,3
6254,3
116,3
6255,3
6256,3
6260,3
6261,3
6257,3
6263,3
6258,3
6259,3
6266,3
6262,3
6269,3
125,3
6272,3
6273,3
6274,3
6275,3
6276,3
6278,3
6279,3
6280,3
6281,3
6282,3
6283,3
6284,3
6285,3
6286,3
6287,3
6288,3
6289,3
6290,3
6291,3
6292,3
6293,3
6294,3
6295,3
6296,3
6297,3
6299,3
6303,3
6304,3
6305,3
6307,3
6309,3
6310,3
6311,3
6312,3
6313,3
6314,3
6315,3
6316,3
6317,3
6318,3
6319,3
2475,3
2476,3
6322,3
6323,3
6324,3
6325,3
6326,3
6327,3
6328,3
6329,3
2483,3
2484,3
8650,3
8651,3
10,49
5647,49
5651,49
5652,49
5655,49
5401,49
31,49
32,49
33,49
34,49
38,49
58,49
59,49
60,49
61,49
62,49
63,49
64,49
65,49
66,49
67,49
2628,49
2629,49
2630,49
68,49
69,49
70,49
2634,49
71,49
72,49
2637,49
2638,49
73,49
74,49
75,49
77,49
76,49
2644,49
79,49
80,49
81,49
82,49
83,49
84,49
85,49
86,49
87,49
88,49
89,49
90,49
91,49
92,49
93,49
94,49
5463,49
5464,49
5465,49
5505,49
5507,49
78,49
399,49
402,49
5527,49
5530,49
5532,49
5533,49
8612,49
8613,49
8614,49
8615,49
8119,49
2497,49
2499,49
1738,49
1739,49
1740,49
1741,49
1742,49
1743,49
1744,49
1745,49
1746,49
1749,49
1750,49
1751,49
8411,49
1756,49
1757,49
8412,49
8414,49
8413,49
5438,49
8423,49
2540,49
8041,6
8042,6
6419,6
8043,6
8044,6
8045,6
8047,6
8744,6
7999,6
8000,6
8001,6
8002,6
8003,6
2117,6
4424,6
4425,6
8010,6
589,6
590,6
8016,6
593,6
594,6
595,6
596,6
8017,6
598,6
599,6
600,6
601,6
602,6
4443,6
4444,6
603,6
604,6
605,6
606,6
607,6
609,6
611,6
608,6
610,6
359,6
8040,6
6505,6
6506,6
6507,6
6508,6
363,6
366,6
7023,6
6511,6
364,6
365,6
6771,6
6772,6
6515,6
6516,6
8814,6
367,6
375,6
376,6
377,6
8060,6
1917,6
1918,6
1919,6
8061,6
1921,6
1922,6
6531,6
6532,6
6533,6
1923,6
6535,6
1928,6
8079,6
8080,6
8081,6
8082,6
8083,6
6549,6
1943,6
8093,6
8094,6
6815,6
6816,6
8097,6
8098,6
8103,6
8109,6
8110,6
8896,6
8899,6
8900,6
8904,6
8905,6
8667,6
8707,94
8708,94
8709,94
8710,94
6919,94
6664,94
6922,94
6412,94
6685,94
6692,94
6950,94
6697,94
6699,94
6453,94
6710,94
6968,94
6715,94
6460,94
6718,94
6722,94
6466,94
6726,94
6477,94
6991,94
6739,94
6747,94
6749,94
7006,94
7007,94
6752,94
6756,94
357,94
358,94
360,94
361,94
362,94
368,94
369,94
8572,94
6525,94
6787,94
6788,94
6789,94
7555,94
6793,94
6796,94
6817,94
8871,94
6823,94
6573,94
6830,94
8879,94
8880,94
6833,94
6831,94
8883,94
8884,94
6832,94
7101,94
6854,94
6855,94
7119,94
6878,94
6375,94
6381,94
6384,94
6896,94
6385,94
6900,94
6397,94
7166,94
6912,63
6404,63
6405,63
6920,63
6675,63
6444,63
6703,63
6448,63
6963,63
6964,63
6965,63
6966,63
6967,63
6714,63
6716,63
6976,63
6977,63
6978,63
6979,63
6980,63
6981,63
6724,63
6465,63
6984,63
6730,63
6476,63
6478,63
6479,63
6480,63
6737,63
6481,63
6996,63
6997,63
6741,63
6491,63
6750,63
355,63
6502,63
8558,63
6773,63
7030,63
6526,63
6785,63
6786,63
7042,63
6547,63
6814,63
6565,63
6566,63
6567,63
6569,63
8887,63
8888,63
7097,63
6587,63
6845,63
8897,63
6850,63
8898,63
7108,63
6859,63
6877,63
6631,63
6632,63
6377,63
6633,63
6379,63
6893,63
6382,63
6897,63
6898,63
6643,63
6899,63
6386,63
6901,63
6903,63
6902,63
6387,63
7163,63
6916,23
6927,23
6932,23
6423,23
2081,23
6947,23
559,23
560,23
6447,23
563,23
566,23
8503,23
2104,23
2105,23
2106,23
2107,23
2108,23
2109,23
2110,23
8504,23
8505,23
322,23
326,23
6982,23
2120,23
2121,23
330,23
2124,23
2125,23
333,23
2127,23
2128,23
2130,23
2131,23
2132,23
2133,23
2134,23
2136,23
2137,23
2138,23
6490,23
6492,23
2141,23
2142,23
2143,23
2144,23
6494,23
1913,23
1914,23
1915,23
1916,23
1920,23
1924,23
1925,23
1926,23
1927,23
1929,23
1930,23
1931,23
1932,23
1933,23
1934,23
1935,23
1936,23
1937,23
1938,23
1939,23
1940,23
1941,23
1942,23
6577,23
8122,23
8123,23
6337,23
6867,23
8668,23
7655,23
8425,23
8426,23
8427,23
8428,23
8429,23
8430,23
8431,23
8432,23
8433,23
7664,23
496,23
7153,23
504,23
506,23
8704,26
13,26
14,26
15,26
20,26
21,26
22,26
23,26
24,26
25,26
27,26
28,26
29,26
2082,26
2083,26
2084,26
2085,26
2086,26
2087,26
2088,26
2089,26
7462,26
7463,26
7464,26
7465,26
7467,26
2095,26
2096,26
7468,26
2098,26
2099,26
2100,26
2101,26
2102,26
7472,26
7474,26
7475,26
7479,26
7483,26
7485,26
345,26
346,26
2396,26
2397,26
2398,26
348,26
349,26
350,26
351,26
352,26
4196,26
4197,26
353,26
354,26
4201,26
2452,26
2455,26
2456,26
2457,26
2458,26
2459,26
2460,26
2461,26
8606,26
8607,26
2462,26
2463,26
2468,26
2469,26
2470,26
2471,26
2472,26
2473,26
2474,26
2477,26
2478,26
2479,26
2480,26
2481,26
2482,26
2485,26
8654,26
8655,26
2548,26
8697,26
8698,26
8699,26
8700,26
8703,26
5657,64
5658,64
5659,64
5660,64
5661,64
5662,64
5664,64
5666,64
