,0
2049,50
2052,50
2053,50
7175,50
2055,50
2056,50
2057,50
2058,50
2059,50
2060,50
2061,50
2062,50
2063,50
2064,50
2066,50
2068,50
2069,50
2070,50
2071,50
2072,50
2073,50
2074,50
2075,50
7964,50
2077,50
2078,50
2079,50
7965,50
8605,50
8604,50
2698,50
2705,50
2709,50
2712,50
5455,50
5457,50
5458,50
5459,50
5460,50
5461,50
5462,50
2716,50
1641,50
1642,50
2690,50
5507,50
5508,50
5509,50
5510,50
5511,50
5512,50
5513,50
2694,50
5515,50
5516,50
5514,50
5518,50
2695,50
2696,50
5517,50
2697,50
5519,50
2699,50
2700,50
2701,50
2702,50
2703,50
2704,50
407,50
2715,50
411,50
412,50
408,50
2710,50
1688,50
1689,50
2713,50
1692,50
1693,50
1694,50
1695,50
5522,50
5529,50
5523,50
6346,50
8395,50
6352,50
5521,50
6356,50
5524,50
403,50
240,50
8598,50
5525,50
8597,50
406,50
256,28
8491,28
8492,28
557,28
8493,28
8494,28
7216,28
8495,28
561,28
8496,28
8497,28
8498,28
8499,28
8500,28
8501,28
568,28
7226,28
315,28
8502,28
311,28
8504,28
8503,28
313,28
312,28
318,28
320,28
321,28
322,28
323,28
325,28
326,28
329,28
327,28
2121,28
328,28
331,28
332,28
333,28
1913,28
1915,28
1916,28
1931,28
1932,28
1934,28
1935,28
1937,28
1938,28
250,28
1940,28
1941,28
7666,28
6337,28
6339,28
247,28
8671,28
8672,28
6371,28
249,28
7655,28
7656,28
7657,28
8426,28
7659,28
492,28
8427,28
8428,28
8429,28
7660,28
7661,28
7662,28
7667,28
494,28
242,28
7664,28
7671,28
496,28
7673,28
245,28
246,28
500,28
255,28
2311,3
1802,3
2315,3
1803,3
1805,3
1804,3
1809,3
1810,3
2322,3
1813,3
1814,3
1815,3
1816,3
1817,3
2326,3
1820,3
1821,3
2333,3
1824,3
1825,3
1826,3
1827,3
1828,3
1829,3
1830,3
1831,3
1832,3
1834,3
1835,3
1841,3
1842,3
1843,3
1844,3
1845,3
1846,3
1864,3
1877,3
1883,3
1886,3
1887,3
1888,3
1889,3
1890,3
1891,3
1892,3
1893,3
1894,3
1895,3
1896,3
1897,3
1898,3
1899,3
1900,3
1901,3
4974,3
1903,3
1904,3
1906,3
1909,3
1912,3
1960,3
1961,3
1974,3
1734,3
1735,3
1736,3
1995,3
1758,3
1759,3
1760,3
1761,3
1762,3
2273,3
1764,3
2276,3
1766,3
1770,3
1771,3
1772,3
1773,3
1774,3
1775,3
1776,3
1777,3
1778,3
1779,3
1781,3
1782,3
1784,3
2303,3
261,49
262,49
264,49
2570,49
2412,49
5599,49
5601,49
5618,49
2551,49
5605,49
5606,49
2403,49
2414,49
2404,49
2405,49
5612,49
