,0
5641,50
10,50
5643,50
5644,50
5645,50
5646,50
5647,50
5648,50
5649,50
5650,50
5651,50
5652,50
5653,50
5655,50
8729,50
31,50
32,50
33,50
38,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
68,50
2629,50
69,50
71,50
72,50
73,50
74,50
2630,50
76,50
75,50
78,50
2634,50
77,50
81,50
82,50
79,50
80,50
85,50
83,50
84,50
86,50
87,50
89,50
5464,50
91,50
92,50
93,50
94,50
5465,50
7807,50
7809,50
2691,50
399,50
5532,50
5533,50
8612,50
8613,50
8614,50
8615,50
8119,50
2494,50
2497,50
2499,50
1739,50
1740,50
2511,50
2513,50
2517,50
1750,50
2518,50
8423,50
2536,50
7401,50
2560,28
2561,28
2562,28
2563,28
2564,28
2565,28
2566,28
2567,28
2568,28
2571,28
2572,28
2573,28
2574,28
2575,28
2576,28
2577,28
2578,28
2579,28
2580,28
2581,28
2582,28
2583,28
2584,28
2585,28
2587,28
2591,28
2592,28
2593,28
2594,28
2595,28
2596,28
2597,28
2599,28
2600,28
2601,28
2602,28
2603,28
2604,28
2605,28
2607,28
2608,28
2609,28
2610,28
2611,28
2612,28
2613,28
7854,28
7855,28
7856,28
7861,28
7862,28
7863,28
7864,28
7865,28
7866,28
7867,28
7871,28
7872,28
7873,28
7874,28
7875,28
7876,28
7877,28
7878,28
7879,28
7880,28
7881,28
7882,28
7883,28
7884,28
7885,28
7886,28
7887,28
7888,28
7890,28
7891,28
7892,28
7893,28
7894,28
7895,28
7896,28
7897,28
7898,28
7899,28
7900,28
7901,28
7902,28
7903,28
7904,28
7905,28
7906,28
7907,28
7908,28
7909,28
7910,28
7911,28
7912,28
7913,28
7914,28
7915,28
7916,28
7917,28
7918,28
7919,28
7920,28
7921,28
7922,28
7923,28
7924,28
7492,28
7494,28
7496,28
7502,28
2543,28
2544,28
2545,28
2546,28
2547,28
2549,28
2550,28
2551,28
2552,28
2553,28
2554,28
2555,28
2556,28
2557,28
2558,28
2559,28
2306,3
2307,3
2308,3
2309,3
2310,3
2312,3
2313,3
2314,3
2324,3
2325,3
2328,3
2333,3
4681,3
4682,3
4683,3
4687,3
4688,3
4692,3
4693,3
4704,3
4708,3
4716,3
4717,3
4228,3
4230,3
4231,3
4235,3
4236,3
4238,3
8594,3
8595,3
4504,3
4507,3
4508,3
4253,3
4516,3
4261,3
4519,3
4520,3
4521,3
4522,3
4523,3
4524,3
4525,3
4526,3
4532,3
4533,3
4790,3
4534,3
4535,3
4793,3
4537,3
4794,3
