,0
3850,50
3851,50
3852,50
3853,50
3854,50
3855,50
3856,50
3857,50
3858,50
3859,50
3860,50
3863,50
3864,50
3865,50
3866,50
3867,50
3868,50
3869,50
3870,50
3871,50
3872,50
3873,50
3874,50
3875,50
3876,50
8746,50
44,50
2119,50
1866,50
1868,50
1869,50
1870,50
1871,50
1873,50
1874,50
1875,50
7509,50
7510,50
7511,50
6233,50
6239,50
6243,50
6248,50
3180,50
3185,50
3186,50
3189,50
3190,50
3191,50
3192,50
3193,50
3194,50
3969,50
130,50
137,50
138,50
139,50
140,50
5266,50
5268,50
5269,50
5274,50
5305,50
8633,50
8634,50
8635,50
8636,50
8637,50
452,50
453,50
454,50
455,50
456,50
457,50
458,50
459,50
460,50
461,50
462,50
5327,50
463,50
5329,50
5330,50
5331,50
464,50
465,50
467,50
468,50
5336,50
470,50
471,50
229,50
8694,50
8695,50
8696,50
6149,28
6150,28
6151,28
6152,28
6153,28
8714,28
5899,28
8715,28
6154,28
6157,28
6155,28
6156,28
5905,28
6158,28
6159,28
6160,28
6161,28
6163,28
6165,28
6164,28
6166,28
6162,28
5918,28
5919,28
5921,28
5934,28
5935,28
4911,28
5937,28
4910,28
4912,28
4913,28
5939,28
4914,28
5938,28
4918,28
5942,28
5940,28
5941,28
4925,28
4926,28
4929,28
4930,28
4931,28
4932,28
4933,28
4934,28
4935,28
4936,28
4937,28
4938,28
5195,28
5196,28
5197,28
4939,28
5199,28
5200,28
4940,28
4941,28
4942,28
4945,28
5205,28
5206,28
5207,28
5208,28
4946,28
4957,28
4966,28
4967,28
4968,28
4969,28
4970,28
4971,28
4972,28
6017,28
6034,28
5782,28
5783,28
5784,28
6039,28
5789,28
5790,28
5791,28
6138,28
6051,28
6068,28
6069,28
6070,28
6071,28
6072,28
6074,28
6075,28
6082,28
6083,28
5836,28
5837,28
6104,28
6107,28
6108,28
6131,28
6136,28
6137,28
5901,28
29,3
7463,3
2087,3
7465,3
2094,3
7467,3
7468,3
2092,3
2093,3
2095,3
7472,3
7473,3
7474,3
7475,3
7476,3
2101,3
7477,3
7478,3
7480,3
7481,3
7482,3
7483,3
7484,3
7485,3
7486,3
7487,3
2097,3
2100,3
2649,3
2395,3
2396,3
2397,3
2398,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
6249,3
107,3
108,3
109,3
113,3
114,3
115,3
116,3
6263,3
121,3
6266,3
125,3
6272,3
2456,3
2457,3
2458,3
2459,3
2460,3
2461,3
8606,3
8607,3
2463,3
2462,3
2468,3
2469,3
6309,3
2471,3
2473,3
2474,3
6315,3
2475,3
2477,3
2476,3
2479,3
6318,3
2482,3
6322,3
2483,3
2484,3
6326,3
6327,3
6329,3
6334,3
6335,3
6336,3
8649,3
8650,3
8651,3
8654,3
8655,3
2548,3
8697,3
8698,3
2096,3
6144,49
6145,49
4353,49
4354,49
3843,49
3844,49
4359,49
3595,49
4876,49
3598,49
4110,49
4113,49
4114,49
4627,49
4373,49
4633,49
4380,49
4381,49
6180,49
6181,49
6182,49
4135,49
6183,49
6184,49
6185,49
5163,49
5164,49
5165,49
5166,49
5167,49
5168,49
4136,49
5170,49
5171,49
5933,49
5173,49
5174,49
5175,49
5936,49
5944,49
5945,49
5946,49
5947,49
4924,49
4943,49
4183,49
4960,49
3940,49
4975,49
4976,49
4990,49
3970,49
5779,49
5781,49
5785,49
5786,49
5787,49
4771,49
4265,49
5817,49
5818,49
4283,49
6143,49
4285,49
6077,49
6078,49
6079,49
5825,49
5826,49
5827,49
6080,49
5829,49
6081,49
4546,49
4544,49
4040,49
4041,49
6090,49
6091,49
6092,49
5839,49
5840,49
6098,49
6101,49
6102,49
6103,49
2264,49
6105,49
6115,49
4068,49
6116,49
6117,49
4839,49
6123,49
6124,49
6127,49
6128,49
6129,49
6130,49
4341,49
4092,49
6141,49
6142,49
3839,49
7936,6
7937,6
2050,6
2051,6
2052,6
2053,6
2054,6
2055,6
2056,6
2057,6
2058,6
7940,6
7948,6
7949,6
7941,6
7943,6
7944,6
2065,6
7945,6
2067,6
7950,6
7951,6
7952,6
2071,6
7960,6
7961,6
7938,6
7195,6
2076,6
2077,6
2078,6
8451,6
2080,6
8452,6
7970,6
547,6
7972,6
7969,6
7971,6
7207,6
7967,6
2089,6
7973,6
7946,6
7974,6
6189,6
6190,6
6191,6
7939,6
6192,6
6193,6
6194,6
6195,6
6196,6
6197,6
6198,6
6199,6
6200,6
6201,6
6202,6
6203,6
7956,6
7957,6
4458,6
7959,6
4461,6
4464,6
4466,6
4467,6
4469,6
4471,6
7942,6
7962,6
4475,6
7963,6
4480,6
4481,6
4482,6
4484,6
4485,6
5510,6
4486,6
7964,6
4489,6
7965,6
2064,6
407,6
408,6
1688,6
7968,6
8602,6
8603,6
1692,6
412,6
410,6
1694,6
2068,6
2073,6
195,6
196,6
197,6
198,6
199,6
6347,6
7928,6
7929,6
7947,6
7930,6
4582,6
8442,6
240,6
7925,6
7926,6
7927,6
5112,6
8441,6
4602,6
7932,6
7933,6
7934,6
7935,6
5895,94
1033,94
1037,94
1038,94
1039,94
1040,94
1041,94
1043,94
1044,94
1045,94
1048,94
1049,94
1050,94
1051,94
1052,94
1053,94
1058,94
1060,94
1067,94
1068,94
1069,94
4411,94
8508,94
8509,94
8510,94
8511,94
8512,94
4417,94
8513,94
8514,94
836,94
838,94
840,94
842,94
886,94
888,94
892,94
893,94
6013,94
6014,94
895,94
897,94
899,94
901,94
903,94
905,94
907,94
908,94
909,94
911,94
912,94
913,94
914,94
917,94
919,94
4768,94
962,94
963,94
965,94
966,94
967,94
968,94
969,94
970,94
971,94
972,94
973,94
974,94
975,94
976,94
977,94
978,94
979,94
980,94
981,94
982,94
983,94
984,94
4311,94
8665,94
8666,94
4864,63
4865,63
4866,63
4867,63
4615,63
4616,63
4105,63
4618,63
4619,63
3848,63
3849,63
3599,63
4623,63
3600,63
3601,63
4880,63
4628,63
4629,63
4886,63
4634,63
4635,63
4636,63
4637,63
3613,63
3614,63
4640,63
4641,63
4895,63
