,0
2048,50
1795,50
1797,50
7176,50
1801,50
1599,50
1600,50
1601,50
1857,50
1602,50
1603,50
1605,50
1606,50
1607,50
1861,50
1609,50
1610,50
1863,50
1618,50
1619,50
1620,50
1621,50
1622,50
1623,50
1626,50
1630,50
1631,50
1632,50
1633,50
1634,50
1635,50
1636,50
1968,50
1644,50
1646,50
1658,50
1660,50
1664,50
1675,50
1679,50
1680,50
1681,50
1682,50
1683,50
1946,50
1949,50
1950,50
1951,50
1953,50
1957,50
1958,50
1965,50
1966,50
1967,50
1712,50
1713,50
1970,50
1971,50
1972,50
1973,50
1717,50
1714,50
1976,50
1715,50
1716,50
1718,50
1719,50
1720,50
1721,50
1722,50
1723,50
1724,50
1725,50
1987,50
1726,50
1731,50
1982,50
8647,50
1996,50
1975,50
2018,50
2019,50
2020,50
2021,50
2022,50
2023,50
2024,50
2025,50
2026,50
2032,50
2033,50
2037,50
2038,50
2040,50
6146,28
6147,28
6148,28
8711,28
7446,28
7447,28
6167,28
6168,28
6169,28
6170,28
6171,28
6172,28
6173,28
6174,28
6176,28
6177,28
6178,28
6179,28
5926,28
5927,28
5929,28
5930,28
5932,28
5943,28
5952,28
5953,28
5190,28
5191,28
5958,28
5193,28
5962,28
5963,28
8528,28
5969,28
5970,28
8529,28
5979,28
5990,28
5992,28
5995,28
4973,28
4983,28
7814,28
5777,28
5778,28
6135,28
5780,28
5789,28
5794,28
5798,28
5799,28
7336,28
7337,28
5800,28
5804,28
5805,28
6060,28
6061,28
6064,28
6065,28
5810,28
6066,28
5815,28
6076,28
5821,28
5824,28
6083,28
8909,28
8910,28
8911,28
5842,28
6106,28
6108,28
5853,28
5854,28
5857,28
5858,28
5861,28
5863,28
5864,28
5876,28
6133,28
6132,28
6134,28
6139,28
6140,28
1539,3
1540,3
1541,3
1542,3
1543,3
1544,3
1545,3
1546,3
1547,3
1548,3
1549,3
1550,3
1551,3
1552,3
1553,3
1554,3
1555,3
1556,3
1557,3
1558,3
1559,3
1560,3
1561,3
2446,3
2447,3
2448,3
2449,3
7541,3
7542,3
6206,3
6209,3
6210,3
6211,3
7553,3
6217,3
2445,3
6222,3
6223,3
6226,3
6249,3
6250,3
6251,3
6252,3
6253,3
6254,3
6255,3
6256,3
113,3
114,3
6257,3
6258,3
6259,3
6260,3
6261,3
6262,3
6264,3
6265,3
6267,3
6268,3
7540,3
6270,3
6271,3
7543,3
7545,3
7550,3
6275,3
7551,3
6277,3
7552,3
6279,3
6280,3
6281,3
6282,3
6283,3
6284,3
6285,3
6286,3
6287,3
6288,3
6289,3
6290,3
2442,3
2443,3
2444,3
6294,3
6295,3
6296,3
6297,3
6298,3
2450,3
2451,3
6303,3
6304,3
6305,3
6306,3
6307,3
6308,3
2464,3
6310,3
6311,3
2465,3
2466,3
2467,3
6317,3
6324,3
6325,3
6326,3
6327,3
6334,3
6335,3
6336,3
2440,3
2441,3
4356,49
4357,49
4358,49
4870,49
4360,49
4361,49
4362,49
4363,49
4364,49
4871,49
4872,49
1019,49
4881,49
4882,49
4883,49
4379,49
4896,49
4409,49
847,49
848,49
849,49
855,49
856,49
857,49
858,49
3678,49
3679,49
4203,49
4204,49
4205,49
4206,49
4207,49
4208,49
4209,49
4210,49
4211,49
4214,49
4216,49
3707,49
3708,49
3709,49
3710,49
3711,49
3712,49
3714,49
3715,49
672,49
4267,49
4268,49
4269,49
4270,49
4271,49
4272,49
689,49
4273,49
4274,49
4275,49
4276,49
4294,49
4565,49
4566,49
4567,49
4568,49
1016,49
4570,49
4571,49
4832,49
4833,49
4322,49
4834,49
4835,49
4837,49
4838,49
4070,49
4080,49
4081,49
1015,49
4344,49
1018,49
3579,49
3580,49
1280,6
8195,6
7171,6
8197,6
8198,6
8199,6
8196,6
8202,6
8204,6
8207,6
8209,6
8214,6
1570,6
8228,6
8229,6
1323,6
8235,6
1328,6
1081,6
1082,6
1596,6
1085,6
1343,6
8256,6
8257,6
8260,6
1094,6
1095,6
8263,6
8264,6
1353,6
1099,6
8272,6
1362,6
1366,6
8279,6
8280,6
1374,6
1379,6
1397,6
8824,6
1148,6
1406,6
1154,6
8322,6
8324,6
8325,6
8323,6
8834,6
8835,6
1158,6
1162,6
8331,6
1418,6
1422,6
8848,6
8849,6
8850,6
8851,6
1430,6
8855,6
1180,6
1183,6
8866,6
8867,6
8868,6
8359,6
1448,6
8369,6
8370,6
1465,6
8124,6
1469,6
1225,6
8139,6
8146,6
8157,6
8161,6
1505,6
1507,6
1531,6
8191,6
5384,94
5385,94
5387,94
5388,94
5389,94
5390,94
5391,94
5392,94
5393,94
5394,94
5395,94
5396,94
