,0
14,50
15,50
29,50
7462,50
7463,50
7464,50
7465,50
7466,50
2096,50
7472,50
7473,50
7474,50
2100,50
7476,50
7477,50
7478,50
7479,50
7480,50
7481,50
7482,50
7483,50
7484,50
7485,50
7486,50
7487,50
4424,50
347,50
2395,50
2396,50
2398,50
2397,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
107,50
108,50
109,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
122,50
123,50
124,50
125,50
2452,50
2454,50
7831,50
2455,50
2456,50
2457,50
2458,50
2460,50
2459,50
2461,50
8606,50
8607,50
2462,50
2463,50
2468,50
6309,50
2469,50
2471,50
2470,50
2472,50
2473,50
2474,50
2475,50
2476,50
2477,50
2478,50
2479,50
2480,50
6322,50
2481,50
2482,50
2483,50
2484,50
2485,50
6329,50
8648,50
8649,50
8650,50
8651,50
8654,50
8655,50
2548,50
1548,28
1549,28
1559,28
1560,28
6205,28
6206,28
6207,28
6210,28
6211,28
6212,28
6213,28
6214,28
6215,28
6217,28
6218,28
6221,28
6222,28
6223,28
6226,28
6249,28
6250,28
6251,28
6252,28
6253,28
6254,28
6255,28
6256,28
113,28
6257,28
6258,28
6259,28
6260,28
6261,28
6262,28
6264,28
6265,28
7545,28
6267,28
6268,28
6269,28
6270,28
6271,28
7551,28
6273,28
6274,28
6275,28
6276,28
6277,28
6278,28
6279,28
6280,28
6281,28
6282,28
6283,28
6284,28
6285,28
6286,28
6287,28
6288,28
6289,28
6290,28
2451,28
6293,28
6294,28
6295,28
6296,28
6297,28
6298,28
6299,28
6300,28
6301,28
6302,28
6303,28
6304,28
6305,28
6306,28
6307,28
6308,28
2464,28
6310,28
6311,28
6312,28
6313,28
2467,28
6315,28
6316,28
6317,28
6318,28
6319,28
6323,28
6324,28
6325,28
6326,28
6327,28
6328,28
8434,28
2440,28
2441,28
8704,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
764,3
765,3
13,3
781,3
16,3
17,3
784,3
19,3
785,3
18,3
22,3
23,3
24,3
25,3
20,3
21,3
28,3
789,3
791,3
790,3
792,3
26,3
27,3
805,3
806,3
807,3
808,3
809,3
810,3
813,3
2370,3
2374,3
2382,3
344,3
345,3
346,3
348,3
349,3
350,3
95,3
351,3
353,3
352,3
354,3
767,3
106,3
110,3
111,3
112,3
7837,3
8652,3
8653,3
8658,3
8659,3
724,3
726,3
728,3
729,3
730,3
731,3
732,3
733,3
735,3
736,3
737,3
738,3
739,3
740,3
741,3
742,3
743,3
762,3
745,3
763,3
758,3
759,3
8697,3
8698,3
8699,3
8700,3
8701,3
8702,3
8703,3
5888,49
5889,49
5890,49
5891,49
5892,49
5893,49
5894,49
8712,49
8713,49
1034,49
1035,49
1036,49
1038,49
1046,49
1047,49
1054,49
1062,49
1064,49
5949,49
5950,49
5988,49
5994,49
6003,49
6004,49
6005,49
6006,49
6007,49
6008,49
6009,49
6010,49
6011,49
6018,49
6028,49
6029,49
6030,49
6031,49
6032,49
5792,49
5793,49
5797,49
2489,49
2490,49
2491,49
5819,49
2495,49
2496,49
2498,49
6084,49
2500,49
5830,49
5831,49
2501,49
2502,49
6087,49
2503,49
2510,49
6096,49
2514,49
2515,49
2516,49
5850,49
5851,49
5852,49
986,49
990,49
6112,49
6113,49
6119,49
6120,49
6121,49
2538,49
6122,49
2541,49
5878,49
5882,49
5885,49
5886,49
5887,49
6151,6
6152,6
5895,6
6154,6
5896,6
6156,6
6157,6
5897,6
5898,6
5899,6
5902,6
5908,6
6165,6
4372,6
5909,6
5911,6
5912,6
5910,6
4376,6
6137,6
5917,6
5918,6
6173,6
6174,6
1055,6
1056,6
1057,6
6175,6
5919,6
5920,6
5921,6
5922,6
5923,6
5924,6
6187,6
5934,6
8506,6
8507,6
5999,6
