,0
4736,90
4737,90
4738,90
4739,90
4740,90
4741,90
4742,90
4743,90
4872,90
4873,90
4874,90
7073,90
4780,90
4792,90
4793,90
4795,90
4798,90
4799,90
4800,90
4801,90
4802,90
4803,90
4804,90
4805,90
4806,90
4807,90
4808,90
4809,90
4825,90
4826,90
4827,90
4730,90
4732,90
4733,90
4734,90
4735,90
1536,56
1537,56
1538,56
1539,56
1540,56
1541,56
1542,56
1543,56
1544,56
1545,56
1546,56
1547,56
1548,56
1549,56
1550,56
1551,56
1552,56
1553,56
1554,56
1555,56
1556,56
1557,56
1558,56
1559,56
1560,56
1561,56
1562,56
1563,56
1564,56
1565,56
1566,56
1567,56
1568,56
1569,56
1570,56
1571,56
1572,56
1573,56
1574,56
1575,56
1576,56
1577,56
1578,56
1579,56
1580,56
1581,56
6011,56
6012,56
6013,56
6014,56
6019,56
6020,56
6025,56
6026,56
6027,56
408,56
409,56
411,56
412,56
413,56
414,56
4511,56
416,56
417,56
420,56
421,56
422,56
424,56
425,56
428,56
429,56
430,56
434,56
435,56
436,56
439,56
440,56
441,56
442,56
443,56
444,56
445,56
446,56
1519,56
1520,56
1521,56
1522,56
1525,56
1526,56
1527,56
1528,56
1530,56
1531,56
1532,56
1533,56
1534,56
1535,56
3339,57
3341,57
3470,57
3471,57
3472,57
3473,57
3474,57
3475,57
3478,57
3479,57
3481,57
3482,57
3869,57
3870,57
3871,57
3872,57
3873,57
3874,57
3875,57
3876,57
3877,57
3878,57
3879,57
3880,57
3493,57
3494,57
3495,57
3497,57
3373,57
3374,57
3375,57
3377,57
3378,57
3379,57
3380,57
3383,57
3384,57
3385,57
3386,57
3797,57
3545,57
3445,57
3446,57
3447,57
3448,57
3451,57
6912,14
6913,14
6914,14
6915,14
6916,14
6917,14
6918,14
6919,14
6920,14
6921,14
6922,14
6923,14
6924,14
6925,14
6896,14
6928,14
6929,14
6932,14
1819,14
7077,14
6903,14
1866,14
1867,14
6910,14
6869,14
6870,14
6882,14
6883,14
6756,14
6757,14
6758,14
6759,14
6760,14
6761,14
6888,14
6889,14
6764,14
6762,14
6763,14
6890,14
6765,14
6891,14
6892,14
6768,14
6769,14
6770,14
6902,14
6894,14
6895,14
6893,14
6897,14
6898,14
6899,14
6900,14
6901,14
6911,14
4357,54
4358,54
4363,54
3340,54
4364,54
3342,54
3343,54
3344,54
3345,54
3346,54
3347,54
4365,54
4373,54
4367,54
4375,54
4376,54
4371,54
4372,54
4381,54
4382,54
4383,54
4384,54
4385,54
4386,54
4387,54
4388,54
4389,54
4390,54
4391,54
4392,54
4394,54
3376,54
3381,54
3382,54
3771,54
3772,54
3773,54
3319,54
4415,54
4416,54
4417,54
4366,54
4321,54
3430,54
4335,54
3311,54
3312,54
3313,54
3314,54
3315,54
3316,54
4340,54
3318,54
3444,54
3317,54
3322,54
3323,54
4096,1
4097,1
4098,1
4099,1
4100,1
4101,1
4102,1
4103,1
4104,1
4105,1
2872,1
4087,1
4088,1
4089,1
4046,1
4047,1
5801,1
5802,1
5803,1
5804,1
5805,1
5806,1
5807,1
5814,1
5815,1
5816,1
5817,1
5818,1
5819,1
5820,1
5821,1
5822,1
5823,1
5824,1
5825,1
5826,1
5827,1
5828,1
5829,1
5830,1
5831,1
5832,1
5833,1
5834,1
5835,1
5836,1
4045,1
5838,1
5839,1
4048,1
4049,1
5840,1
5841,1
5842,1
5843,1
5844,1
5845,1
5847,1
4050,1
4051,1
4052,1
4053,1
4056,1
4057,1
4058,1
4059,1
4060,1
4061,1
4062,1
4063,1
4064,1
4070,1
4065,1
4072,1
4066,1
4067,1
4071,1
4073,1
4074,1
4075,1
4076,1
4077,1
4078,1
4079,1
4080,1
4081,1
4082,1
4083,1
4084,1
4085,1
4086,1
4090,1
4091,1
4092,1
4094,1
4095,1
5679,0
5680,0
5681,0
5682,0
5683,0
5684,0
5685,0
5686,0
5687,0
5688,0
5689,0
5690,0
5691,0
5692,0
5694,0
5696,0
5697,0
5698,0
5699,0
5700,0
5701,0
5702,0
5703,0
5704,0
5705,0
5706,0
5707,0
5708,0
5709,0
5713,0
5714,0
5715,0
5716,0
5717,0
5718,0
5722,0
5723,0
5724,0
5725,0
5728,0
5729,0
5730,0
2666,0
2667,0
2668,0
2669,0
2670,0
2671,0
2684,0
380,0
381,0
382,0
383,0
384,0
385,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
2700,0
2701,0
396,0
397,0
2706,0
402,0
404,0
405,0
406,0
2709,0
2713,0
2714,0
2715,0
2721,0
2722,0
2755,0
2247,0
2248,0
2255,0
2264,0
2265,0
2266,0
2267,0
3456,51
3457,51
6146,51
3458,51
3459,51
3460,51
3461,51
6354,51
6355,51
6356,51
6357,51
6358,51
6359,51
6360,51
6361,51
6362,51
6363,51
6364,51
6365,51
6366,51
6367,51
6368,51
6369,51
6370,51
3427,51
3428,51
6371,51
3432,51
3433,51
3434,51
6394,51
43,39
44,39
45,39
46,39
47,39
48,39
49,39
50,39
51,39
52,39
53,39
54,39
55,39
56,39
57,39
58,39
59,39
60,39
61,39
62,39
63,39
64,39
65,39
66,39
67,39
68,39
69,39
70,39
71,39
72,39
73,39
74,39
75,39
76,39
4677,39
4678,39
4679,39
4688,39
4689,39
4691,39
4692,39
4693,39
4694,39
4695,39
4696,39
4697,39
4707,39
2202,39
2203,39
155,39
2205,39
2206,39
2207,39
2208,39
2209,39
156,39
2211,39
2204,39
2213,39
157,39
2215,39
2216,39
2217,39
2218,39
2219,39
170,39
171,39
172,39
173,39
174,39
175,39
178,39
179,39
180,39
181,39
182,39
183,39
184,39
185,39
186,39
187,39
188,39
189,39
190,39
191,39
5837,39
5848,39
5398,39
158,39
5408,39
5409,39
5410,39
5411,39
5412,39
5413,39
5414,39
159,39
5416,39
5417,39
5418,39
5419,39
160,39
161,39
5420,39
301,39
5423,39
162,39
5424,39
5427,39
5428,39
5429,39
163,39
5430,39
5432,39
5433,39
164,39
5435,39
5437,39
5438,39
165,39
5813,39
166,39
167,39
168,39
169,39
2210,39
6003,39
176,39
2212,39
177,39
6015,39
2214,39
6041,39
6042,39
2220,39
4673,39
4674,39
1523,39
1524,39
1529,39
1024,64
1025,64
1026,64
1162,64
1163,64
1041,64
1042,64
1043,64
921,64
922,64
923,64
1053,64
1054,64
1055,64
1056,64
926,64
1058,64
1059,64
1060,64
927,64
928,64
929,64
932,64
1065,64
1066,64
1067,64
937,64
1071,64
1078,64
1090,64
1098,64
1099,64
1103,64
1104,64
1105,64
1106,64
1108,64
1110,64
993,64
994,64
997,64
1003,64
1019,64
1020,64
1023,64
3881,68
3891,68
3892,68
3897,68
3901,68
3902,68
3904,68
3937,68
621,68
2672,68
2673,68
2676,68
2681,68
2682,68
2683,68
2685,68
2686,68
2687,68
2688,68
2689,68
2690,68
2691,68
2692,68
2693,68
2694,68
2695,68
2696,68
2697,68
2698,68
2699,68
2221,68
2222,68
2223,68
2224,68
2225,68
2226,68
2227,68
2737,68
2229,68
2230,68
2738,68
2739,68
2233,68
2231,68
2232,68
2740,68
2741,68
2749,68
2750,68
2752,68
2753,68
2239,68
2751,68
2242,68
2243,68
2756,68
2244,68
2240,68
2754,68
2241,68
2251,68
2252,68
2253,68
2254,68
2256,68
2258,68
2259,68
2260,68
2261,68
2262,68
2263,68
2742,68
2743,68
2235,68
2744,68
2236,68
2806,68
2237,68
2746,68
2238,68
2747,68
1154,40
1155,40
1156,40
1157,40
1158,40
1159,40
1160,40
1161,40
1079,40
910,40
911,40
912,40
913,40
1298,40
1080,40
933,40
1064,40
938,40
939,40
940,40
941,40
942,40
943,40
944,40
945,40
1074,40
946,40
947,40
948,40
949,40
950,40
952,40
1081,40
1082,40
1083,40
828,40
829,40
1084,40
1085,40
953,40
954,40
955,40
957,40
964,40
965,40
960,40
961,40
963,40
966,40
956,40
1107,40
958,40
1109,40
856,40
857,40
959,40
860,40
861,40
863,40
864,40
865,40
1021,40
1022,40
