,0
3713,90
3714,90
3715,90
3717,90
3718,90
3719,90
3720,90
3721,90
3722,90
3723,90
3724,90
3725,90
3726,90
3727,90
3728,90
3729,90
3731,90
3732,90
3733,90
3749,90
3774,90
3775,90
3776,90
3778,90
3779,90
3780,90
3782,90
3783,90
3784,90
3785,90
3661,90
3666,90
3667,90
3668,90
3669,90
3670,90
3671,90
3672,90
3673,90
3674,90
3325,90
3324,90
3709,90
3326,90
4508,56
4529,56
4530,56
409,56
4532,56
411,56
4533,56
412,56
4509,56
4534,56
413,56
415,56
4537,56
5165,56
5166,56
416,56
444,56
420,56
4542,56
4543,56
422,56
77,56
78,56
79,56
4547,56
102,56
103,56
104,56
105,56
118,56
4503,56
433,56
443,56
4491,56
4492,56
4494,56
4495,56
4496,56
4497,56
4498,56
4499,56
4500,56
4501,56
4502,56
407,56
152,56
153,56
410,56
4506,56
4507,56
154,56
414,56
4504,56
4505,56
4513,56
418,56
419,56
4516,56
421,56
4517,56
423,56
4510,56
4511,56
426,56
4523,56
428,56
4524,56
4512,56
431,56
432,56
4527,56
4521,56
4522,56
4525,56
437,56
4526,56
4535,56
4514,56
4528,56
442,56
434,56
4531,56
4515,56
438,56
439,56
441,56
4536,56
4541,56
4538,56
4539,56
4540,56
446,56
447,56
445,56
4544,56
4545,56
4546,56
4518,56
4548,56
4549,56
4551,56
4552,56
4519,56
4553,56
4554,56
4555,56
4556,56
4557,56
4558,56
4559,56
4560,56
4561,56
512,57
513,57
4138,57
310,57
4162,57
4163,57
4164,57
4165,57
4167,57
4168,57
4169,57
336,57
4180,57
4181,57
4182,57
4183,57
4184,57
4185,57
342,57
4195,57
4196,57
4197,57
4198,57
359,57
360,57
361,57
4199,57
4200,57
374,57
375,57
376,57
377,57
378,57
379,57
4230,57
4231,57
4241,57
4242,57
4243,57
4246,57
4247,57
4248,57
4249,57
4250,57
4251,57
4252,57
4253,57
4260,57
4262,57
448,57
450,57
451,57
452,57
4309,57
473,57
474,57
475,57
4316,57
4317,57
476,57
477,57
478,57
479,57
480,57
4320,57
484,57
485,57
4319,57
236,57
493,57
241,57
242,57
245,57
510,57
511,57
6154,14
3339,14
3340,14
3341,14
3342,14
3343,14
6160,14
3344,14
3345,14
3346,14
3347,14
4373,14
4374,14
4375,14
4376,14
3869,14
3870,14
4383,14
3871,14
4385,14
4386,14
4382,14
4387,14
3873,14
3872,14
4388,14
3874,14
4384,14
3876,14
4389,14
4391,14
4392,14
3877,14
4390,14
3375,14
3376,14
3381,14
3878,14
3771,14
3772,14
3773,14
4416,14
6082,14
4418,14
3322,14
4321,14
