,0
1033,90
1034,90
1035,90
1036,90
1037,90
1038,90
1097,90
1102,90
979,90
980,90
981,90
982,90
1111,90
1112,90
985,90
986,90
988,90
993,90
994,90
995,90
996,90
997,90
1128,90
1129,90
1130,90
1131,90
1009,90
1010,90
1139,90
1204,90
1203,90
1015,90
5632,56
515,56
516,56
517,56
518,56
1808,56
1809,56
1814,56
1815,56
1816,56
1864,56
1865,56
1872,56
1873,56
1876,56
1888,56
1889,56
1907,56
1909,56
1910,56
1911,56
1913,56
5513,56
5514,56
5518,56
5519,56
5520,56
5521,56
5522,56
5523,56
5627,56
5540,56
5541,56
5542,56
5543,56
5544,56
5545,56
5546,56
5552,56
5553,56
5554,56
5555,56
5556,56
5557,56
5558,56
5559,56
5560,56
5561,56
5562,56
5563,56
5564,56
5565,56
5566,56
5567,56
5570,56
5573,56
5575,56
5576,56
462,56
463,56
464,56
465,56
466,56
467,56
468,56
469,56
470,56
471,56
472,56
5610,56
5611,56
5612,56
5613,56
5614,56
5615,56
505,56
5619,56
500,56
501,56
502,56
503,56
504,56
5625,56
506,56
507,56
5628,56
5629,56
4864,57
4865,57
4866,57
4867,57
4868,57
4869,57
4870,57
4871,57
6535,57
6540,57
6541,57
6542,57
6543,57
6544,57
6545,57
6420,57
6421,57
3350,57
6422,57
6423,57
6424,57
6425,57
6426,57
6427,57
6428,57
6429,57
6430,57
6431,57
6432,57
3368,57
4782,57
6447,57
4784,57
4785,57
4786,57
4787,57
4788,57
6448,57
6450,57
4791,57
6451,57
6454,57
6456,57
6461,57
5957,57
6226,57
6227,57
6228,57
6229,57
4834,57
4837,57
4838,57
4839,57
4721,57
4855,57
4856,57
4857,57
4858,57
4859,57
4861,57
4862,57
4863,57
5710,14
5711,14
5712,14
5720,14
5721,14
5727,14
1640,14
1641,14
1642,14
1643,14
1644,14
1645,14
1646,14
1647,14
1648,14
625,14
1649,14
1650,14
1651,14
1652,14
1653,14
1654,14
1655,14
1656,14
1657,14
1658,14
1659,14
1660,14
636,14
1661,14
1664,14
1665,14
1662,14
1669,14
1672,14
655,14
1681,14
1682,14
1683,14
1690,14
1691,14
668,14
1692,14
1693,14
1695,14
1696,14
1697,14
1698,14
1699,14
1700,14
1703,14
1704,14
1706,14
1707,14
1711,14
1712,14
1715,14
1716,14
1719,14
1720,14
1721,14
1722,14
1724,14
1727,14
1728,14
1729,14
1730,14
1732,14
1733,14
2246,14
1735,14
1738,14
1739,14
2250,14
1743,14
1745,14
1746,14
1747,14
1748,14
1749,14
1750,14
1760,14
1761,14
1762,14
1763,14
1764,14
1765,14
1766,14
1767,14
1768,14
1769,14
1770,14
1771,14
1772,14
3584,54
3585,54
3586,54
3587,54
3588,54
3589,54
3590,54
3591,54
3592,54
3593,54
3594,54
3595,54
3597,54
3491,54
3624,54
3625,54
3626,54
3627,54
3630,54
3521,54
3522,54
3523,54
3525,54
3527,54
3528,54
3529,54
3530,54
3531,54
3533,54
3816,54
3823,54
3578,54
3579,54
3580,54
3581,54
3582,54
3583,54
5376,1
768,1
5378,1
770,1
5379,1
5377,1
769,1
5380,1
5381,1
5382,1
5383,1
5384,1
5387,1
5385,1
5388,1
5389,1
4893,1
822,1
824,1
825,1
826,1
1118,1
1119,1
1120,1
2145,1
1121,1
2144,1
2146,1
1122,1
2155,1
875,1
876,1
2162,1
2163,1
2164,1
2167,1
2200,1
2201,1
5284,1
5285,1
5286,1
5287,1
5288,1
5289,1
5290,1
5291,1
5292,1
5293,1
5294,1
1199,1
5295,1
1200,1
5296,1
5297,1
5298,1
5299,1
5300,1
5301,1
5302,1
1208,1
5314,1
5315,1
5316,1
5317,1
5320,1
5321,1
5322,1
5323,1
5324,1
5325,1
5326,1
5343,1
5344,1
5345,1
5346,1
5347,1
5348,1
5349,1
5350,1
5351,1
5352,1
5370,1
5371,1
5372,1
5373,1
5374,1
5375,1
3078,0
5639,0
5640,0
5641,0
5646,0
5647,0
5648,0
5649,0
5651,0
5652,0
3093,0
3094,0
5655,0
5656,0
5657,0
5658,0
5659,0
5660,0
5661,0
5662,0
5663,0
5664,0
5665,0
5666,0
5667,0
5668,0
3100,0
5674,0
3118,0
6960,0
6961,0
6962,0
6963,0
6964,0
6965,0
6970,0
3132,0
3133,0
3134,0
3141,0
3142,0
6982,0
3145,0
607,0
608,0
609,0
610,0
611,0
612,0
7008,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
622,0
623,0
624,0
631,0
632,0
633,0
634,0
638,0
639,0
640,0
641,0
7040,0
7042,0
644,0
645,0
646,0
647,0
648,0
649,0
7045,0
7046,0
652,0
653,0
661,0
662,0
663,0
669,0
679,0
680,0
682,0
686,0
7009,0
3021,0
3022,0
3023,0
3024,0
3025,0
3028,0
3095,0
3032,0
3096,0
3034,0
3035,0
3036,0
4573,0
3097,0
3039,0
3040,0
3037,0
3038,0
3043,0
4574,0
4576,0
3048,0
3051,0
3053,0
4589,0
3055,0
4594,0
3060,0
3061,0
3062,0
3064,0
3065,0
4879,51
4756,51
7073,51
4772,51
4773,51
4774,51
4775,51
4776,51
4777,51
4778,51
4779,51
4781,51
4783,51
4789,51
4790,51
4792,51
4793,51
4794,51
4795,51
4796,51
4797,51
4798,51
4808,51
4809,51
4811,51
4812,51
4813,51
4814,51
4815,51
4816,51
4817,51
4818,51
4821,51
4824,51
4828,51
4829,51
4830,51
4832,51
4833,51
2051,39
2058,39
1164,39
1165,39
912,39
913,39
914,39
1299,39
1044,39
1045,39
918,39
919,39
1046,39
2072,39
1175,39
1047,39
1051,39
925,39
2069,39
2070,39
1052,39
1048,39
1176,39
1177,39
1179,39
1180,39
1181,39
1178,39
1183,39
937,39
1185,39
1066,39
1067,39
1188,39
1189,39
1190,39
1191,39
936,39
1202,39
2071,39
820,39
821,39
1182,39
836,39
837,39
1184,39
1095,39
931,39
1186,39
932,39
1187,39
933,39
934,39
5087,39
935,39
1264,39
1266,39
1267,39
5006,64
5007,64
5008,64
5009,64
5029,64
5044,64
5045,64
4925,64
4926,64
4927,64
4928,64
4929,64
4930,64
4931,64
4932,64
4933,64
4934,64
4935,64
4936,64
4937,64
5066,64
5067,64
5068,64
4938,64
4939,64
4940,64
4941,64
4942,64
4943,64
4944,64
5076,64
4945,64
5078,64
4946,64
4947,64
4948,64
4949,64
4950,64
5084,64
5085,64
4951,64
4952,64
4953,64
4961,64
4954,64
4955,64
4956,64
4957,64
4958,64
4959,64
4960,64
5083,64
5077,64
5086,64
3844,68
3846,68
3851,68
3852,68
3853,68
3854,68
3407,68
3855,68
3856,68
3857,68
3858,68
3860,68
3861,68
3862,68
3406,68
6438,68
6439,68
6440,68
6441,68
6442,68
3696,68
3697,68
6449,68
6452,68
6453,68
6455,68
6457,68
6458,68
6459,68
6462,68
6400,40
5889,40
5890,40
5891,40
5892,40
5893,40
6401,40
6402,40
5896,40
5897,40
5898,40
6411,40
6412,40
6413,40
6414,40
6415,40
6416,40
6410,40
5899,40
2336,40
2337,40
2338,40
2339,40
6445,40
6446,40
6463,40
6464,40
6465,40
5964,40
5965,40
5973,40
5975,40
6493,40
6495,40
6536,40
6537,40
6538,40
6539,40
6811,40
6299,40
6300,40
6301,40
6302,40
6304,40
6303,40
6567,40
6321,40
6324,40
6325,40
6326,40
6580,40
6581,40
6592,40
6594,40
6595,40
6598,40
6599,40
6606,40
6607,40
6608,40
6610,40
6611,40
6612,40
5894,40
6403,40
5895,40
6404,40
6405,40
6406,40
6407,40
6408,40
6409,40
6395,40
6396,40
6397,40
6398,40
6399,40
262,66
4237,66
274,66
275,66
276,66
277,66
279,66
281,66
285,66
287,66
288,66
289,66
291,66
292,66
300,66
302,66
304,66
312,66
314,66
315,66
316,66
317,66
318,66
319,66
320,66
321,66
322,66
323,66
324,66
325,66
326,66
327,66
328,66
353,66
366,66
367,66
368,66
371,66
373,66
6659,69
6660,69
6661,69
4612,69
6662,69
6663,69
6664,69
6665,69
6666,69
6667,69
6668,69
3103,69
6687,69
6691,69
6692,69
6712,69
4155,69
4160,69
5441,69
5442,69
5443,69
5440,69
5447,69
5448,69
5449,69
5450,69
5451,69
5452,69
5453,69
5455,69
5456,69
5457,69
5458,69
4179,69
5459,69
5460,69
5461,69
5465,69
5469,69
5470,69
5471,69
352,69
4189,69
354,69
355,69
356,69
357,69
358,69
5479,69
5480,69
5472,69
5473,69
5474,69
5476,69
5477,69
5478,69
372,69
5494,69
5499,69
5501,69
5503,69
5504,69
5509,69
5510,69
5511,69
5512,69
3984,69
3986,69
4280,69
4284,69
4285,69
4286,69
4290,69
4291,69
4292,69
4293,69
4294,69
4295,69
4034,69
4562,69
3029,69
4310,69
4311,69
4312,69
4313,69
4314,69
4315,69
6614,69
3031,69
6615,69
6618,69
6619,69
6620,69
6621,69
6622,69
6623,69
6624,69
6625,69
6626,69
6627,69
3046,69
3047,69
6632,69
6633,69
6634,69
3052,69
6644,69
6645,69
6646,69
6649,69
6651,69
6652,69
6528,13
6529,13
6530,13
6531,13
6532,13
6533,13
6534,13
6808,13
6553,13
6810,13
6556,13
6562,13
6563,13
6079,13
6342,13
6343,13
6346,13
6347,13
6349,13
6350,13
6351,13
6352,13
6354,13
6356,13
6357,13
6358,13
6359,13
6498,13
6499,13
6500,13
6501,13
6502,13
6503,13
6377,13
6378,13
6505,13
6380,13
6381,13
6382,13
6506,13
6508,13
6509,13
6510,13
6511,13
6512,13
6389,13
6513,13
6514,13
6515,13
6516,13
6517,13
6524,13
6525,13
6526,13
6527,13
3718,65
3600,65
3601,65
3602,65
3611,65
3612,65
3614,65
3615,65
3616,65
3617,65
3618,65
3619,65
3620,65
3621,65
3622,65
3747,65
3748,65
3749,65
3666,65
3667,65
3668,65
3669,65
3670,65
3672,65
3673,65
3674,65
3675,65
3677,65
3678,65
3679,65
3568,65
3570,65
6551,46
6552,46
6554,46
6555,46
6557,46
6558,46
6564,46
6566,46
6568,46
6569,46
6570,46
6443,46
6444,46
6571,46
6572,46
6573,46
6574,46
6575,46
6576,46
6577,46
6578,46
6579,46
6460,46
6593,46
6597,46
6609,46
6613,46
6241,46
6242,46
6245,46
6246,46
6248,46
6249,46
6250,46
6255,46
6256,46
6257,46
6258,46
6259,46
6260,46
6261,46
6262,46
6264,46
953,81
950,81
1079,81
1080,81
1081,81
954,81
1083,81
956,81
1085,81
1084,81
1082,81
959,81
827,81
828,81
957,81
958,81
1087,81
960,81
838,81
961,81
962,81
963,81
967,81
968,81
969,81
970,81
971,81
972,81
973,81
1227,81
1228,81
974,81
856,81
857,81
858,81
955,81
860,81
861,81
990,81
991,81
992,81
1249,81
864,81
1254,81
964,81
4608,83
4609,83
4611,83
4618,83
18,83
4629,83
4630,83
31,83
32,83
33,83
34,83
4641,83
4642,83
4643,83
6966,83
6969,83
6971,83
6972,83
6717,83
4670,83
6718,83
6973,83
6721,83
6722,83
6723,83
6974,83
6975,83
6976,83
6977,83
6978,83
6979,83
6980,83
6981,83
6734,83
6741,83
7010,83
7011,83
7012,83
7013,83
7015,83
7016,83
7017,83
7018,83
7019,83
7027,83
7028,83
7029,83
7031,83
7032,83
7033,83
7034,83
7035,83
7036,83
7037,83
7038,83
7039,83
7041,83
7043,83
7044,83
7047,83
7048,83
7049,83
7050,83
7051,83
7052,83
7053,83
7054,83
7055,83
7056,83
7057,83
7058,83
7059,83
7060,83
7061,83
7062,83
7063,83
7064,83
7065,83
7066,83
7067,83
7068,83
7069,83
7070,83
7071,83
3285,83
3294,83
3295,83
4577,83
4578,83
4579,83
4580,83
4592,83
4593,83
4599,83
4603,83
6656,11
6657,11
6658,11
4610,11
4614,11
4615,11
4631,11
4632,11
4633,11
6683,11
4636,11
6685,11
6686,11
6684,11
6688,11
6689,11
6690,11
4644,11
4645,11
6693,11
6694,11
6695,11
6696,11
6697,11
4651,11
4652,11
6698,11
4654,11
6701,11
6702,11
6703,11
6704,11
6705,11
6699,11
6706,11
6708,11
4663,11
4664,11
4665,11
4666,11
6709,11
4662,11
6710,11
6711,11
4667,11
4668,11
4669,11
6716,11
6735,11
6736,11
6743,11
6744,11
6745,11
6747,11
6749,11
6750,11
6752,11
6753,11
6754,11
4600,11
6812,11
6813,11
6700,11
6650,11
6707,11
4563,11
4564,11
4565,11
4566,11
4567,11
4568,11
4569,11
4570,11
4571,11
4572,11
6628,11
6629,11
6630,11
6631,11
4587,11
6635,11
6636,11
6637,11
6638,11
4591,11
6639,11
