,0
3605,90
3608,90
3485,90
3486,90
3875,90
3876,90
3877,90
3878,90
3879,90
3880,90
3373,90
3786,90
3787,90
3788,90
3789,90
3790,90
3791,90
3792,90
3793,90
3794,90
3795,90
3796,90
3797,90
3550,90
3551,90
3552,90
3553,90
3554,90
3555,90
3556,90
3557,90
3558,90
3559,90
3560,90
3561,90
3562,90
3563,90
5890,56
5892,56
5893,56
6406,56
5897,56
2314,56
2315,56
2316,56
6411,56
6412,56
6413,56
6416,56
6414,56
6415,56
2336,56
2337,56
2338,56
2339,56
5924,56
5925,56
5927,56
5928,56
5929,56
2365,56
2366,56
2367,56
6463,56
6465,56
5958,56
5959,56
5968,56
5969,56
5970,56
5971,56
5973,56
5974,56
5975,56
5982,56
5983,56
5984,56
5985,56
5986,56
5987,56
5988,56
5989,56
5990,56
5991,56
5992,56
5993,56
5994,56
4995,56
6809,56
6299,56
6300,56
6301,56
6302,56
6303,56
6304,56
5046,56
5047,56
6327,56
5049,56
5050,56
5051,56
5052,56
5053,56
5054,56
5055,56
5056,56
5057,56
5058,56
5059,56
5060,56
5061,56
5062,56
5063,56
2271,56
2287,56
4800,57
4801,57
4802,57
4803,57
4804,57
4805,57
4806,57
4807,57
4808,57
4809,57
4746,57
4811,57
4812,57
4732,57
4818,57
4819,57
4820,57
4821,57
4822,57
4761,57
7073,57
4792,57
4793,57
4794,57
4795,57
4796,57
4797,57
4798,57
4799,57
525,14
526,14
527,14
528,14
529,14
530,14
531,14
532,14
5136,14
5140,14
5142,14
537,14
538,14
540,14
541,14
5150,14
5152,14
5153,14
544,14
5155,14
546,14
547,14
548,14
549,14
550,14
553,14
554,14
555,14
1583,14
1584,14
1585,14
1586,14
1587,14
568,14
1593,14
1592,14
1595,14
1596,14
1597,14
588,14
590,14
599,14
600,14
601,14
602,14
91,14
92,14
93,14
94,14
605,14
606,14
1631,14
1632,14
1633,14
95,14
96,14
97,14
98,14
99,14
100,14
110,14
111,14
112,14
113,14
119,14
120,14
121,14
122,14
126,14
127,14
128,14
129,14
130,14
131,14
132,14
133,14
134,14
135,14
136,14
137,14
138,14
139,14
140,14
141,14
142,14
143,14
144,14
147,14
148,14
149,14
150,14
151,14
5093,14
5094,14
460,54
801,54
802,54
2928,54
2936,54
2937,54
2938,54
2939,54
2940,54
2941,54
2942,54
2943,54
2947,54
5524,54
5525,54
5526,54
5530,54
5531,54
5532,54
5533,54
2985,54
2987,54
2988,54
2989,54
5547,54
3000,54
3001,54
3002,54
3003,54
3004,54
3005,54
3006,54
3007,54
5572,54
456,54
457,54
458,54
3019,54
459,54
5577,54
5582,54
5583,54
464,54
5579,54
5586,54
5578,54
5581,54
5580,54
461,54
5584,54
5585,54
468,54
5592,54
472,54
5604,54
3301,54
5608,54
5609,54
5610,54
5611,54
490,54
491,54
494,54
5615,54
5616,54
492,54
508,54
500,54
501,54
502,54
503,54
504,54
505,54
506,54
507,54
5628,54
509,54
6149,1
6150,1
6152,1
6153,1
6158,1
6164,1
6165,1
6166,1
6167,1
6168,1
6169,1
6170,1
6171,1
6172,1
6207,1
6216,1
6218,1
6219,1
6220,1
1359,1
6529,1
6534,1
6136,1
6046,1
6047,1
6048,1
6306,1
6307,1
6308,1
6309,1
6051,1
6054,1
6056,1
6057,1
6058,1
6059,1
6084,1
6086,1
6087,1
6088,1
6089,1
6090,1
6091,1
6348,1
6092,1
6093,1
6094,1
6095,1
6353,1
6096,1
6097,1
6098,1
6099,1
6100,1
6101,1
6102,1
6103,1
6104,1
6105,1
6106,1
6107,1
6108,1
6109,1
6112,1
6114,1
6115,1
6116,1
6117,1
6118,1
6119,1
6120,1
6377,1
6121,1
6122,1
6123,1
6124,1
6125,1
6126,1
6384,1
6385,1
6127,1
6128,1
6129,1
6389,1
6130,1
6131,1
6134,1
1544,0
1545,0
5133,0
156,0
5397,0
5398,0
5399,0
6009,0
5405,0
5406,0
6010,0
5408,0
5409,0
5410,0
5411,0
5412,0
5413,0
5414,0
5415,0
5416,0
5417,0
5418,0
5419,0
5420,0
1581,0
5423,0
5424,0
5426,0
6015,0
164,0
5434,0
6037,0
167,0
6041,0
426,0
427,0
104,0
106,0
5999,0
6000,0
6001,0
6002,0
115,0
6003,0
6004,0
6039,0
6007,0
6008,0
118,0
6005,0
6011,0
6012,0
6013,0
6014,0
6006,0
6016,0
6017,0
6018,0
6019,0
6020,0
6021,0
6022,0
6023,0
6024,0
6025,0
6026,0
6027,0
6028,0
6029,0
6030,0
6031,0
6032,0
6033,0
6034,0
6035,0
6036,0
6040,0
6038,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
4511,0
4522,0
428,0
429,0
430,0
431,0
432,0
4523,0
4530,0
434,0
436,0
435,0
433,0
438,0
439,0
440,0
441,0
4538,0
4539,0
444,0
437,0
4535,0
4536,0
4537,0
442,0
443,0
4543,0
446,0
445,0
447,0
6042,0
6043,0
6044,0
4518,0
4558,0
6045,0
4519,0
4561,0
1525,0
4527,0
4875,51
4877,51
4756,51
4757,51
4758,51
4759,51
4760,51
3351,51
4762,51
4763,51
4764,51
4765,51
4766,51
6431,51
4768,51
4767,51
4770,51
4771,51
4772,51
4773,51
4774,51
4775,51
3368,51
6432,51
4776,51
4781,51
4782,51
4783,51
4784,51
4785,51
4786,51
4787,51
4788,51
4790,51
4791,51
4769,51
4813,51
4815,51
4816,51
4823,51
4824,51
4828,51
4829,51
4831,51
4832,51
4833,51
4840,51
4841,51
4842,51
4843,51
4844,51
4845,51
4846,51
4847,51
2048,39
2049,39
2050,39
2052,39
2053,39
2054,39
2055,39
2056,39
2057,39
2058,39
2059,39
2060,39
2061,39
2065,39
2066,39
2067,39
2068,39
2073,39
2074,39
2076,39
2077,39
2078,39
2079,39
2080,39
2081,39
2082,39
2083,39
2085,39
2086,39
2088,39
2089,39
2090,39
2091,39
2092,39
2093,39
2094,39
2095,39
2096,39
2097,39
2099,39
2100,39
2101,39
2102,39
4924,39
836,39
4963,39
4964,39
4965,39
4966,39
4977,39
4978,39
4979,39
4980,39
4981,39
4982,39
4983,39
4984,39
4985,39
4986,39
4987,39
5001,39
5002,39
5003,39
5004,39
5005,39
5031,39
5032,39
5034,39
5035,39
5036,39
5039,39
5048,39
5309,39
5311,39
5068,39
5069,39
5070,39
5071,39
5072,39
5073,39
5080,39
5082,39
5087,39
5088,39
5089,39
5090,39
2047,39
2304,64
2306,64
2307,64
2309,64
2310,64
2311,64
1305,64
2331,64
2345,64
2346,64
2347,64
2348,64
2349,64
2350,64
2351,64
2352,64
2353,64
2362,64
2363,64
1343,64
1344,64
1345,64
1346,64
1347,64
1356,64
1357,64
1358,64
6477,64
1368,64
1113,64
1114,64
1115,64
1116,64
1117,64
1369,64
1373,64
1374,64
1375,64
1376,64
1123,64
1124,64
1377,64
880,64
1394,64
1395,64
1396,64
1397,64
1398,64
1407,64
1409,64
1413,64
1414,64
1417,64
1418,64
1419,64
1420,64
1421,64
1436,64
1438,64
1439,64
1440,64
696,64
697,64
698,64
699,64
700,64
701,64
702,64
703,64
704,64
705,64
6083,64
6085,64
717,64
2269,64
6110,64
6111,64
2272,64
6113,64
2274,64
2275,64
2276,64
2291,64
2293,64
2294,64
2295,64
2296,64
2297,64
2300,64
2301,64
2302,64
2303,64
1152,68
1166,68
1167,68
1168,68
1169,68
1170,68
1171,68
1172,68
1173,68
1174,68
1300,68
1299,68
1049,68
1043,68
1051,68
1052,68
1053,68
1056,68
1057,68
1058,68
1065,68
1066,68
1067,68
1070,68
1071,68
1072,68
1073,68
1075,68
1076,68
1205,68
1206,68
830,68
831,68
1091,68
1095,68
1099,68
1101,68
1256,68
873,68
1257,68
1258,68
1259,68
1260,68
1261,68
1263,68
1262,68
1264,68
1265,68
1267,68
1268,68
1266,68
1150,68
1151,68
6417,40
6418,40
6419,40
3352,40
3367,40
3371,40
3372,40
6443,40
6444,40
6448,40
6450,40
6451,40
6454,40
6456,40
6460,40
6461,40
3396,40
3401,40
3402,40
3403,40
3404,40
3405,40
3407,40
3408,40
3409,40
3410,40
3411,40
3418,40
3419,40
3420,40
3421,40
3422,40
3423,40
3424,40
3425,40
3426,40
3695,40
3701,40
3702,40
3704,40
2565,66
2566,66
2573,66
2603,66
2605,66
2607,66
2444,66
2445,66
2452,66
2456,66
2457,66
2458,66
2460,66
2461,66
2462,66
2463,66
2464,66
2465,66
2466,66
2467,66
2468,66
2470,66
2471,66
2472,66
2474,66
2476,66
2488,66
2489,66
2490,66
2491,66
2492,66
2493,66
2494,66
2495,66
2496,66
2497,66
2498,66
2499,66
2506,66
2511,66
2512,66
2513,66
2514,66
2515,66
2519,66
2520,66
2521,66
2522,66
2524,66
2525,66
2526,66
2527,66
2528,66
2529,66
2530,66
2535,66
2536,66
2537,66
2538,66
2539,66
2541,66
2798,66
2799,66
2800,66
2801,66
2802,66
2803,66
2542,66
2804,66
2543,66
2551,66
2544,66
2545,66
2546,66
2547,66
2549,66
2550,66
5639,69
5640,69
5642,69
5646,69
5647,69
5648,69
5649,69
5655,69
5656,69
5658,69
5659,69
5660,69
5662,69
5664,69
5666,69
5667,69
5668,69
5669,69
5680,69
5681,69
5682,69
5684,69
5685,69
5686,69
5687,69
5688,69
5689,69
3901,69
3902,69
5696,69
3904,69
5698,69
5697,69
5705,69
5709,69
593,69
5713,69
5714,69
596,69
5715,69
5716,69
5717,69
5718,69
594,69
595,69
598,69
5726,69
5728,69
613,69
621,69
623,69
624,69
625,69
631,69
633,69
634,69
635,69
636,69
637,69
638,69
639,69
640,69
641,69
644,69
645,69
654,69
655,69
661,69
662,69
663,69
665,69
666,69
667,69
668,69
672,69
673,69
674,69
675,69
676,69
677,69
678,69
681,69
2221,69
686,69
687,69
688,69
2222,69
2223,69
2224,69
2225,69
2226,69
2227,69
2228,69
2229,69
2230,69
2231,69
2232,69
2235,69
2236,69
2233,69
2239,69
2240,69
2241,69
2242,69
2243,69
2244,69
2237,69
2246,69
2247,69
2248,69
2249,69
1738,69
1739,69
2252,69
2253,69
2254,69
2251,69
2256,69
2255,69
2259,69
2260,69
2261,69
2262,69
2264,69
2265,69
2266,69
2267,69
2238,69
963,13
967,13
969,13
970,13
971,13
1102,13
979,13
980,13
981,13
982,13
983,13
1111,13
985,13
986,13
987,13
988,13
990,13
991,13
992,13
993,13
994,13
995,13
998,13
999,13
1003,13
1009,13
1010,13
1011,13
827,13
5638,65
5129,65
5130,65
5641,65
5644,65
5645,65
5134,65
5135,65
5138,65
5650,65
5651,65
5652,65
5657,65
5661,65
5149,65
5663,65
5665,65
5670,65
5671,65
5672,65
5674,65
43,65
5676,65
53,65
54,65
55,65
56,65
57,65
58,65
59,65
60,65
61,65
62,65
4671,65
64,65
65,65
66,65
67,65
68,65
69,65
70,65
71,65
72,65
4681,65
4682,65
73,65
74,65
75,65
76,65
4687,65
4683,65
4684,65
4689,65
4690,65
4691,65
4685,65
4686,65
4688,65
4694,65
4695,65
4696,65
4697,65
4698,65
4699,65
4700,65
4701,65
4702,65
4703,65
4704,65
4705,65
4706,65
4707,65
622,65
652,65
2202,65
2203,65
2204,65
2205,65
2206,65
2207,65
2208,65
2209,65
2210,65
2211,65
2212,65
2213,65
2214,65
2215,65
2216,65
2217,65
170,65
2219,65
2220,65
2218,65
176,65
179,65
5829,65
5400,65
5401,65
5402,65
5403,65
5404,65
4692,65
5407,65
5421,65
5422,65
5425,65
4693,65
5427,65
2868,65
5428,65
5429,65
5430,65
5432,65
5431,65
5433,65
5435,65
5436,65
5437,65
5438,65
5439,65
2912,65
2919,65
2920,65
2867,65
3023,65
3024,65
4672,65
3028,65
4054,65
4055,65
4673,65
4060,65
4674,65
3039,65
3040,65
4675,65
4676,65
5097,65
4677,65
5103,65
3055,65
4678,65
3056,65
3060,65
4679,65
5111,65
5112,65
5113,65
5110,65
4680,65
3062,65
1667,46
1674,46
1803,46
1676,46
1804,46
1678,46
1679,46
1680,46
1684,46
539,46
798,46
799,46
542,46
1699,46
1702,46
557,46
558,46
559,46
560,46
1709,46
1710,46
1589,46
1717,46
567,46
1718,46
1594,46
1602,46
1603,46
1604,46
1605,46
1606,46
1607,46
1736,46
1608,46
1609,46
584,46
1611,46
1612,46
1613,46
1614,46
1615,46
1616,46
585,46
1610,46
1620,46
1621,46
1622,46
1750,46
1751,46
1752,46
1754,46
603,46
604,46
1628,46
1629,46
1755,46
1756,46
578,46
579,46
580,46
581,46
582,46
583,46
2629,81
2630,81
2922,81
2933,81
2945,81
2946,81
2949,81
2950,81
2951,81
2952,81
2953,81
2954,81
2955,81
2956,81
2957,81
2958,81
2959,81
2960,81
2961,81
2962,81
2963,81
2964,81
2965,81
2966,81
2967,81
2968,81
2969,81
2970,81
2971,81
2972,81
2973,81
2974,81
2975,81
2976,81
2977,81
2978,81
2979,81
2980,81
2981,81
2982,81
2983,81
2984,81
2991,81
2992,81
2993,81
2994,81
2995,81
2996,81
2997,81
2998,81
2999,81
3008,81
3009,81
3010,81
3011,81
3012,81
3013,81
3014,81
3015,81
3016,81
3017,81
3018,81
3020,81
3302,81
3303,81
2305,83
1817,83
1819,83
1820,83
1821,83
1822,83
1823,83
1825,83
1826,83
1827,83
1828,83
1829,83
1830,83
1831,83
1832,83
1833,83
1834,83
1835,83
1836,83
1837,83
1838,83
5546,83
1840,83
1839,83
1841,83
1843,83
1842,83
1845,83
1846,83
1847,83
1848,83
1850,83
1851,83
1852,83
1853,83
1854,83
1855,83
1856,83
1857,83
1858,83
1860,83
1861,83
1863,83
1864,83
1866,83
1867,83
1868,83
1871,83
1877,83
1878,83
1879,83
1880,83
1881,83
1882,83
1883,83
1912,83
4106,11
4108,11
4113,11
4116,11
4126,11
4127,11
4128,11
4129,11
4132,11
4133,11
4147,11
4148,11
4150,11
4151,11
4152,11
6766,11
6767,11
4212,11
4213,11
4215,11
4216,11
6778,11
4220,11
6781,11
6784,11
6785,11
6786,11
6787,11
6788,11
6789,11
6790,11
6792,11
6793,11
6794,11
6795,11
6796,11
6797,11
6798,11
6799,11
6800,11
6801,11
6802,11
6803,11
6804,11
6815,11
6816,11
6817,11
6818,11
6819,11
6820,11
6821,11
6822,11
6823,11
6824,11
6825,11
6826,11
6827,11
6828,11
6829,11
6830,11
6831,11
6832,11
6833,11
6834,11
6835,11
6836,11
6837,11
449,11
451,11
452,11
455,11
1792,50
1793,50
777,50
778,50
779,50
1805,50
767,50
1824,50
1339,50
1349,50
1350,50
1351,50
1352,50
2121,50
2122,50
2123,50
2124,50
2125,50
2126,50
2127,50
2128,50
2129,50
2130,50
2131,50
2132,50
1875,50
2133,50
2134,50
2137,50
2138,50
1919,50
1415,50
1416,50
1353,50
2117,50
1355,50
1451,50
1452,50
695,50
3265,50
3266,50
706,50
707,50
3269,50
710,50
3271,50
3272,50
3273,50
3274,50
3275,50
711,50
3277,50
713,50
3279,50
714,50
715,50
716,50
3276,50
3278,50
719,50
720,50
3280,50
3281,50
3290,50
3291,50
3292,50
3293,50
733,50
734,50
735,50
736,50
738,50
739,50
740,50
741,50
742,50
743,50
744,50
745,50
746,50
747,50
748,50
749,50
750,50
751,50
752,50
753,50
754,50
755,50
756,50
761,50
762,50
763,50
764,50
765,50
766,50
712,50
3844,91
3846,91
3851,91
3853,91
3406,91
