,0
3712,90
3713,90
3714,90
3715,90
3716,90
3731,90
3732,90
3733,90
3734,90
3735,90
3736,90
3737,90
3738,90
3739,90
3740,90
3750,90
3751,90
3644,90
3649,90
3399,90
3400,90
3414,90
3415,90
3416,90
3684,90
3685,90
3686,90
3707,90
3708,90
3709,90
3710,90
3711,90
1307,56
1308,56
6434,56
6435,56
6466,56
6467,56
6468,56
6469,56
6470,56
6471,56
6472,56
6474,56
6475,56
6476,56
6477,56
1356,56
1357,56
6478,56
6479,56
6480,56
6482,56
6483,56
6484,56
6485,56
6486,56
6487,56
6488,56
6489,56
6490,56
6268,56
6269,56
6270,56
1407,56
6280,56
1418,56
6286,56
6306,56
6307,56
6308,56
6312,56
6313,56
6056,56
6058,56
6059,56
6331,56
6333,56
6334,56
6336,56
6337,56
6338,56
6339,56
6340,56
6341,56
6083,56
6085,56
6344,56
6089,56
6090,56
6091,56
6092,56
6093,56
6094,56
6097,56
6098,56
6099,56
6102,56
6103,56
6104,56
6105,56
6106,56
6107,56
6108,56
6110,56
6111,56
6112,56
6113,56
6115,56
6116,56
6383,56
2290,56
6386,56
6387,56
6388,56
6390,56
6392,56
6393,56
3596,57
3597,57
3598,57
3599,57
3600,57
3614,57
3615,57
3744,57
3745,57
3616,57
3617,57
3618,57
3619,57
3620,57
3621,57
3622,57
3623,57
3624,57
3625,57
3626,57
3627,57
3653,57
3532,57
3536,57
3537,57
3538,57
3569,57
3570,57
3571,57
3572,57
3573,57
3574,57
3575,57
3576,57
3577,57
3578,57
3581,57
3333,14
3334,14
4744,14
4745,14
3338,14
3336,14
3337,14
6432,14
3753,14
3754,14
3758,14
3759,14
3761,14
3762,14
4786,14
4787,14
4788,14
3764,14
4791,14
3766,14
3769,14
3765,14
3763,14
3798,14
3799,14
3800,14
3801,14
3802,14
3803,14
3804,14
3805,14
3806,14
3807,14
4830,14
3809,14
4832,14
3808,14
3810,14
4828,14
3811,14
3813,14
4829,14
4831,14
4727,14
4728,14
4731,14
1029,54
1030,54
1031,54
1032,54
1034,54
1040,54
1016,54
1001,54
1004,54
1005,54
1006,54
1007,54
1008,54
1203,54
1204,54
1011,54
1012,54
1013,54
1014,54
1015,54
1018,54
1019,54
1017,54
1803,1
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1669,1
1674,1
1676,1
1677,1
1678,1
1679,1
1681,1
1682,1
1683,1
1689,1
1690,1
1691,1
1692,1
1693,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1706,1
1707,1
1709,1
1710,1
1711,1
1712,1
1715,1
1716,1
1717,1
1719,1
1720,1
1721,1
1722,1
1724,1
1727,1
1728,1
1729,1
1730,1
1732,1
1733,1
1750,1
1751,1
1752,1
1753,1
1755,1
1760,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1145,0
1146,0
903,0
1147,0
1148,0
1301,0
1063,0
1069,0
823,0
1207,0
1209,0
1208,0
1086,0
1096,0
1097,0
841,0
1100,0
976,0
1112,0
986,0
987,0
988,0
989,0
1125,0
1127,0
1129,0
1130,0
1131,0
1132,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
5638,51
5639,51
520,51
521,51
522,51
523,51
524,51
5641,51
5644,51
5645,51
5649,51
5651,51
5652,51
5653,51
533,51
5655,51
535,51
534,51
536,51
5657,51
5658,51
5659,51
5660,51
5661,51
5662,51
5663,51
5664,51
545,51
5667,51
5665,51
5666,51
5670,51
5671,51
5672,51
551,51
5673,51
5674,51
5675,51
5656,51
561,51
562,51
564,51
565,51
566,51
569,51
570,51
572,51
576,51
3145,51
591,51
592,51
593,51
594,51
595,51
596,51
597,51
598,51
607,51
608,51
609,51
610,51
611,51
612,51
614,51
615,51
616,51
617,51
618,51
619,51
620,51
5668,51
622,51
624,51
631,51
632,51
634,51
638,51
639,51
640,51
641,51
644,51
645,51
646,51
647,51
648,51
649,51
652,51
653,51
661,51
662,51
663,51
666,51
667,51
669,51
672,51
673,51
674,51
675,51
676,51
677,51
678,51
679,51
680,51
681,51
682,51
686,51
687,51
688,51
3021,51
3022,51
3028,51
3032,51
3036,51
3039,51
3040,51
3060,51
3061,51
3062,51
525,39
527,39
528,39
529,39
530,39
531,39
537,39
538,39
539,39
540,39
541,39
542,39
543,39
800,39
798,39
799,39
546,39
552,39
553,39
554,39
555,39
556,39
557,39
567,39
571,39
1596,39
573,39
574,39
575,39
1597,39
577,39
578,39
579,39
580,39
581,39
582,39
583,39
584,39
585,39
78,39
80,39
1618,39
599,39
600,39
601,39
1623,39
1625,39
604,39
1626,39
92,39
605,39
606,39
95,39
96,39
97,39
98,39
99,39
1639,39
108,39
109,39
116,39
117,39
123,39
124,39
125,39
126,39
127,39
145,39
147,39
148,39
4500,39
151,39
152,39
153,39
4506,39
4512,39
4513,39
4559,39
4560,39
1754,39
3840,64
3841,64
3842,64
3843,64
3844,64
3845,64
3846,64
3847,64
3857,64
3863,64
3864,64
3865,64
3866,64
3867,64
3868,64
3633,64
3634,64
3635,64
3638,64
3639,64
3640,64
3641,64
3642,64
3643,64
3645,64
3689,64
3818,64
3819,64
3692,64
3824,64
3825,64
3838,64
3839,64
1027,68
1028,68
1095,68
1299,68
1043,68
1044,68
918,68
919,68
920,68
921,68
922,68
923,68
1045,68
1046,68
1047,68
1050,68
1051,68
1052,68
1053,68
1049,68
924,68
925,68
926,68
935,68
936,68
928,68
929,68
931,68
1261,68
1262,68
1263,68
1264,68
1266,68
1048,68
4237,40
281,40
282,40
283,40
284,40
285,40
287,40
288,40
289,40
291,40
293,40
295,40
300,40
302,40
303,40
304,40
305,40
315,40
316,40
317,40
318,40
319,40
320,40
321,40
322,40
323,40
324,40
325,40
326,40
327,40
328,40
206,40
353,40
366,40
367,40
368,40
369,40
370,40
371,40
373,40
1785,66
4024,66
4025,66
4027,66
4028,66
4029,66
4030,66
3222,66
4016,66
3223,66
3224,66
3225,66
1923,66
1924,66
1925,66
1926,66
1927,66
1928,66
3208,66
3203,66
3211,66
3212,66
3213,66
3205,66
3977,66
3978,66
3210,66
3214,66
3215,66
1940,66
3216,66
3217,66
3218,66
3219,66
3220,66
3221,66
1947,66
1948,66
3229,66
3230,66
3231,66
3232,66
3233,66
3234,66
3226,66
3227,66
3228,66
3997,66
4000,66
4001,66
3235,66
3236,66
4011,66
3237,66
3238,66
3239,66
3240,66
3241,66
3242,66
3243,66
3244,66
3245,66
3246,66
3247,66
3255,66
3248,66
3249,66
3250,66
4020,66
4021,66
4022,66
3262,66
3263,66
4023,66
3256,66
4026,66
3258,66
3259,66
3260,66
3261,66
3264,66
4031,66
4032,66
4039,66
4040,66
4017,66
4019,66
4012,66
4018,66
4014,66
4015,66
1774,66
1775,66
1776,66
1777,66
1778,66
1779,66
1780,66
1781,66
1782,66
1783,66
1784,66
3204,66
1786,66
1787,66
1788,66
1789,66
1790,66
1791,66
5376,69
5377,69
5378,69
5379,69
5380,69
768,69
769,69
770,69
866,69
5385,69
867,69
868,69
1297,69
869,69
870,69
871,69
872,69
873,69
874,69
822,69
824,69
825,69
826,69
876,69
1118,69
1119,69
1120,69
2145,69
1122,69
2144,69
1121,69
2146,69
2148,69
2149,69
2151,69
2152,69
2153,69
2155,69
2156,69
2157,69
2158,69
2159,69
2160,69
2161,69
2162,69
2163,69
2164,69
2165,69
2167,69
2168,69
2173,69
2174,69
2175,69
2176,69
2177,69
2181,69
2182,69
2183,69
2184,69
2185,69
2186,69
2187,69
2188,69
2191,69
2195,69
2196,69
2197,69
2199,69
2200,69
2201,69
1199,69
1200,69
709,69
5320,69
5325,69
722,69
723,69
724,69
725,69
726,69
727,69
728,69
729,69
730,69
731,69
732,69
5343,69
5344,69
5346,69
5347,69
5348,69
5349,69
5350,69
1255,69
5351,69
5371,69
5372,69
5373,69
5374,69
5375,69
3328,13
3329,13
3330,13
3331,13
3332,13
3717,13
3718,13
3719,13
3720,13
3721,13
3722,13
3723,13
3724,13
3725,13
3726,13
3727,13
3728,13
3729,13
3730,13
3335,13
3741,13
3742,13
3743,13
3752,13
3774,13
3775,13
3776,13
3777,13
3778,13
3779,13
3780,13
3781,13
3782,13
3783,13
3784,13
3785,13
3668,13
3669,13
3670,13
3671,13
3672,13
3673,13
3812,13
3324,13
3325,13
3326,13
3327,13
1540,65
1541,65
1542,65
