,0
"frozenset({5121, 5122, 5123, 7177, 7179, 7180, 7182, 7184, 7185, 7186, 7187, 7189, 7190, 7193, 7194, 7196, 7198, 2082, 2083, 2084, 2085, 2086, 7202, 7204, 7205, 7206, 2091, 2098, 2099, 6203, 6204, 6207, 6208, 6212, 6213, 6214, 6215, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6225, 6265, 6269, 6272, 6274, 6275, 6276, 6291, 6292, 6293, 6295, 6296, 6297, 6298, 6299, 6300, 6301, 6302, 6306, 6308, 6310, 6312, 6313, 6314, 6320, 6321, 6329, 6330, 6331, 6332, 6333, 8434, 3877, 3878, 8656, 8657, 5100, 5101, 5102, 5103, 5105, 5106, 5108, 5109, 5110, 5113, 5114, 5115, 5116, 5117, 5118, 5119})",0
"frozenset({1547, 1548, 1559, 1560, 2087, 2092, 2093, 2094, 2095, 2096, 2097, 2100, 2102, 6205, 6206, 6209, 6210, 6211, 6217, 6226, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 6249, 107, 108, 6250, 6251, 6252, 6253, 113, 114, 115, 116, 6254, 6255, 6263, 6264, 6256, 6266, 6267, 6268, 121, 6270, 6271, 125, 6273, 6277, 6278, 6279, 6280, 6281, 6282, 6283, 6284, 6285, 6286, 6287, 6288, 6289, 6290, 6294, 6303, 6304, 6305, 6307, 6309, 6311, 6315, 6316, 6317, 6318, 6319, 6322, 6323, 6324, 6325, 6326, 6327, 6328, 6334, 6335, 6336, 709, 6257, 6258, 6259, 6260, 6261, 6262, 7545, 7551, 2440, 2441, 2451, 2464, 2467, 8650, 8651})",0
"frozenset({1539, 1540, 1541, 1542, 1543, 1544, 1545, 1546, 1549, 1550, 1551, 1552, 1553, 1554, 1555, 1556, 1557, 1558, 1561, 7542, 7543, 7544, 6216, 7546, 7547, 7548, 7549, 7550, 7552, 7553, 7554, 7839, 7840, 690, 691, 692, 693, 694, 695, 696, 697, 698, 699, 700, 701, 702, 703, 704, 705, 706, 707, 708, 710, 711, 712, 713, 714, 715, 716, 717, 718, 719, 8398, 8444, 3888, 3890, 3892, 3893, 3896, 3899, 370, 371, 372, 373, 374, 7539, 7540, 7541, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 2443, 2444, 2442, 2445, 2446, 2447, 2448, 2449, 2450, 2465, 2466, 8631, 8632})",0
"frozenset({2049, 2631, 2632, 2639, 2640, 2641, 2642, 2647, 1641, 1642, 646, 656, 657, 658, 664, 1688, 1689, 1692, 1694, 681, 6346, 6347, 749, 751, 755, 757, 7959, 7966, 800, 5455, 5458, 852, 860, 5468, 5471, 5472, 5473, 5474, 5475, 5476, 5477, 5478, 5479, 5480, 5481, 5482, 5483, 5484, 5485, 5486, 5487, 5488, 5489, 5490, 5491, 5492, 5493, 5494, 5495, 5496, 5497, 5499, 5516, 5517, 5520, 916, 5525, 5526, 407, 408, 5528, 5530, 923, 411, 412, 924, 925, 926, 927, 931, 949, 951, 983, 984, 1002, 1021})",1
"frozenset({641, 1025, 643, 644, 1026, 1027, 647, 1029, 1030, 1031, 1032, 908, 1042, 659, 920, 665, 666, 667, 921, 673, 674, 675, 676, 801, 802, 1059, 1000, 937, 938, 939, 686, 688, 950, 1003, 952, 957, 958, 8638, 8639, 8640, 8517, 861, 862, 865, 866, 868, 869, 870, 999, 872, 873, 874, 747, 748, 875, 750, 876, 752, 753, 754, 877, 756, 878, 879, 880, 881, 885, 1020, 1022, 1023})",1
"frozenset({1024, 642, 645, 648, 649, 650, 651, 652, 653, 654, 655, 4361, 660, 661, 662, 663, 922, 928, 929, 930, 803, 677, 678, 679, 680, 684, 685, 940, 687, 941, 942, 943, 945, 946, 947, 948, 953, 954, 955, 956, 959, 8396, 847, 848, 851, 854, 855, 856, 857, 858, 859, 1016, 994, 867, 995, 871, 1001, 746, 4204, 1005, 4205, 4206, 1009, 882, 883, 884, 1010, 1012, 1013, 1014, 1015, 1018, 1019, 4211, 1017})",1
"frozenset({4681, 4682, 4683, 7243, 4685, 4688, 4696, 4698, 4702, 4703, 4705, 4706, 4707, 4708, 4709, 4711, 4712, 4713, 4715, 4227, 4233, 4239, 4250, 4251, 4255, 4260, 4264, 4791, 4792, 4793, 4794, 4795, 4796, 4797, 4798, 4799, 4800, 4801, 4802, 4804, 4805, 4806, 4807, 4813, 4816, 4817, 4818, 4819, 4820, 4822, 4826, 4827, 8594, 4499, 4500, 4501, 4502, 4503, 4504, 4505, 8595, 8596, 4511, 4512, 4515, 4516, 4517, 4518, 4519, 4520, 4522, 4523, 4524, 4525, 4526, 4527, 4532, 4533, 4534, 4535, 4536, 4537})",2
"frozenset({3586, 4104, 4625, 4626, 4630, 4631, 4632, 4692, 4693, 4716, 4215, 4219, 4220, 4221, 4228, 4229, 4230, 4231, 4232, 4234, 4235, 4236, 4237, 4238, 4240, 3737, 3757, 3758, 3759, 3761, 3768, 3769, 3770, 3774, 3779, 4815, 3800, 3801, 3803, 3811, 3812, 2277, 2278, 2279, 3816, 2280, 2281, 4331, 2282, 3821, 2283, 2284, 2285, 2286, 2287, 2288, 2289, 2290, 2291, 3813, 3814, 2296, 2297, 2298, 3815, 2301, 4350, 2304, 2306, 2307, 2308, 2309, 2310, 2312, 2320, 3820, 4903, 4907, 4405, 3900, 8424, 4507, 4513, 4514, 8641, 8642, 4562, 4563, 4564})",2
"frozenset({7680, 7681, 7682, 7683, 7684, 7685, 7686, 7687, 7688, 7689, 7690, 7691, 7692, 7693, 7694, 7695, 7696, 7697, 7698, 7699, 7700, 7701, 7702, 7703, 7704, 7705, 7706, 7707, 7708, 7709, 30, 7710, 7711, 7712, 7714, 7715, 7719, 7720, 7721, 7722, 7723, 7724, 7726, 7727, 7728, 7729, 7730, 7731, 7732, 7733, 7734, 7735, 7736, 7737, 7738, 7739, 7740, 7741, 7742, 7743, 7744, 7745, 7746, 7747, 7748, 7749, 7750, 7751, 7752, 7753, 7754, 7755, 7756, 7757, 7758, 4718, 4719, 4720, 4808, 4809, 4810, 4811, 4812, 4825, 1793, 2305, 2331, 1822, 1854, 4509, 4510, 4528, 4529, 4530, 4531, 7628, 7629, 7630, 7631, 7632, 7633, 7634, 7635, 7636, 7638, 7639, 7640, 7641, 7642, 7643, 7644, 7645, 7646, 7647, 7648, 7649, 7650, 7651, 7652, 7678, 7679})",2
"frozenset({5672, 5678, 5679, 5680, 8753, 8754, 8755, 8758, 8759, 8760, 5692, 5693, 5696, 5697, 5698, 5702, 8774, 8775, 8776, 8777, 5707, 1100, 5708, 8778, 5711, 5712, 1105, 8781, 5724, 1120, 5729, 5740, 5741, 5742, 5232, 5745, 5746, 5749, 5751, 5239, 5241, 5755, 5756, 5759, 5760, 5764, 5771, 141, 142, 143, 144, 145, 146, 8852, 8853, 5270, 8854, 5282, 8869, 5291, 1200, 5311, 5312, 5313, 8400, 1237, 5334, 5345, 5348, 5375, 5382, 1350, 7505, 7514, 7515, 7522, 7523, 7524, 7525, 7526, 1407, 1410, 8581, 8583, 1518})",3
