,0
"frozenset({1539, 1540, 1541, 1542, 1543, 1544, 1545, 1546, 1548, 1549, 1550, 1551, 1552, 1553, 1554, 1555, 1556, 1557, 1558, 1559, 1560, 1561, 6204, 6205, 6206, 6207, 6208, 6209, 6210, 6211, 6212, 6213, 6214, 6215, 6216, 6217, 6218, 6219, 6220, 6221, 6222, 6223, 6224, 6226, 6250, 6254, 6255, 6258, 6259, 6262, 6264, 6265, 6267, 6268, 6270, 6271, 6277, 7818, 6298, 6301, 6302, 7839, 7840, 6306, 691, 692, 693, 694, 695, 696, 697, 698, 699, 700, 701, 703, 704, 705, 709, 710, 8398, 8434, 7539, 7540, 7541, 7542, 7543, 7544, 7545, 7546, 7547, 7548, 7549, 7550, 7551, 7552, 7553, 7554, 2440, 2441, 2442, 2443, 2444, 2445, 2446, 2447, 2448, 2449, 2450, 2451, 2464, 2465, 2466, 2467, 8632})",0
"frozenset({538, 159, 160, 176, 690, 702, 706, 707, 708, 711, 712, 713, 714, 715, 716, 717, 718, 719, 8443, 8458, 8459, 8461, 8462, 8463, 8464, 8465, 8466, 3877, 3878, 3879, 3880, 3881, 3882, 3883, 3884, 3885, 3886, 3887, 3888, 3889, 3890, 3891, 3892, 3893, 3894, 3895, 3896, 3897, 3898, 381, 3899, 379, 380, 2906, 374, 378, 370, 371, 372, 373, 2422, 2423, 2424, 2425, 2426, 2427, 2428, 2429, 2430, 2431, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 2438, 2439, 2419, 2420, 382, 2421, 383, 8631, 2432, 2433, 2434, 2435, 2437})",0
"frozenset({5120, 5121, 5123, 5124, 520, 7177, 7178, 7179, 511, 7182, 7184, 7185, 7188, 7189, 7190, 7191, 7194, 7196, 7197, 542, 7199, 7200, 2082, 7202, 7203, 7206, 7209, 2091, 2092, 2093, 2094, 2097, 2102, 6225, 107, 108, 6253, 6263, 6266, 6269, 125, 6272, 6273, 6274, 6275, 6276, 6278, 6279, 6280, 6283, 6284, 6285, 6286, 6287, 6288, 6289, 6290, 6291, 6292, 6293, 6294, 6295, 6296, 6297, 154, 6299, 6300, 6303, 6304, 6307, 6308, 6309, 6310, 6311, 6312, 6313, 6314, 174, 6320, 6321, 6329, 6330, 6331, 6332, 6333, 8444, 8445, 8446, 8448, 8449, 8450, 5102, 5103, 5110, 5113, 5114, 5118, 5119})",0
"frozenset({2720, 2721, 2724, 2725, 2729, 2730, 2733, 2734, 2735, 2737, 2743, 2748, 2762, 2763, 2764, 2768, 2773, 2775, 2776, 2778, 2779, 2780, 2781, 2782, 2783, 2784, 2785, 2786, 2787, 2788, 2789, 2817, 2818, 2822, 2823, 8457, 2828, 2829, 2830, 8460, 2833, 8467, 8468, 8469, 8470, 8471, 2844, 2850, 2855, 2863, 2865, 2866, 2867, 2872, 2875, 2876, 2886, 2895, 2898, 2901, 2909, 2912, 2913, 2915, 2916, 2917, 2918, 2919, 2920, 2921, 2922, 2923, 2925, 2933, 2436, 2990, 2996, 2997, 2998, 2999, 3001, 3002, 3003, 3007, 3008, 3011, 3013, 3014, 3016})",1
"frozenset({512, 514, 515, 516, 6, 7, 8, 9, 519, 522, 524, 525, 527, 532, 534, 535, 537, 543, 548, 550, 551, 552, 553, 555, 556, 147, 148, 151, 152, 155, 156, 158, 2718, 161, 162, 2723, 163, 2722, 2726, 2727, 167, 169, 170, 173, 175, 177, 178, 179, 2738, 2739, 2800, 2807, 2808, 2827, 2835, 2842, 2845, 2851, 2852, 2853, 2854, 2856, 2857, 2858, 2859, 2862, 2864, 2870, 2871, 2907, 2942, 2960, 2961, 2969, 2970, 2987, 3009, 3010, 3018, 3022, 3023, 3025, 507, 509})",1
"frozenset({2719, 2728, 2732, 2740, 2741, 2745, 2747, 2759, 2761, 2769, 2770, 2771, 2772, 2774, 2790, 2791, 2792, 2793, 2794, 2795, 2805, 2819, 2824, 2825, 2826, 2834, 2840, 2841, 2847, 2848, 2849, 2868, 2869, 2873, 2874, 2881, 2882, 2883, 2884, 2885, 2896, 2897, 2899, 2900, 2902, 2903, 2904, 2905, 2908, 2910, 2911, 2914, 2926, 2928, 2940, 2941, 2944, 2953, 2954, 2955, 2956, 2957, 2958, 2964, 2965, 2966, 2967, 2972, 2974, 2979, 2984, 2985, 3004, 3015, 3020, 3021, 3026, 3028})",1
"frozenset({2564, 2565, 2566, 2569, 2570, 2572, 2573, 2576, 2578, 2579, 2580, 2581, 2582, 2585, 2586, 2587, 2588, 2589, 2590, 2591, 2598, 2599, 2600, 2601, 2602, 2603, 2604, 2605, 2612, 613, 2153, 2155, 627, 630, 631, 632, 633, 5623, 189, 6357, 6358, 6364, 6366, 261, 262, 335, 337, 340, 341, 343, 2402, 2403, 2404, 2405, 2406, 2407, 2408, 2409, 2410, 2411, 2412, 2413, 2414, 2415, 2417, 2418, 7609, 450, 5578, 5580, 5581, 5582, 5583, 5584, 5585, 5586, 5587, 5588, 5589, 5590, 5591, 5592, 5593, 5594, 5595, 476, 5596, 5597, 5598, 5599, 5600, 5601, 5602, 5603, 5604, 5605, 5606, 5607, 5608, 5609, 5610, 5611, 5612, 5613, 5614, 5615, 5616, 5617, 5618, 5619, 5620, 5621, 5622, 5625, 5626})",2
"frozenset({2560, 2561, 2562, 2563, 2567, 2568, 2571, 2574, 2575, 2577, 2583, 2584, 2592, 2593, 2594, 2595, 2596, 2597, 2606, 2607, 2608, 2609, 2610, 2611, 2613, 7854, 7855, 7856, 7863, 7864, 7865, 7866, 7867, 7869, 7893, 7908, 7909, 7910, 7911, 7913, 7914, 7915, 7922, 7923, 2343, 2345, 2354, 7488, 7489, 7490, 7491, 7492, 7493, 7494, 7495, 7496, 7497, 7498, 7499, 7500, 7501, 7502, 7503, 2416, 7562, 7563, 7564, 7565, 7566, 7567, 7568, 7569, 7570, 7571, 7572, 7573, 7574, 7575, 7576, 7577, 7578, 7579, 7580, 7581, 7582, 7583, 7584, 7592, 7593, 7594, 7596, 7601, 7604, 7605, 7606, 7607, 7618, 7619, 7623, 7624, 7625, 7626, 8673, 8677, 8678, 8679, 8680, 8681, 8685, 2543, 2544, 2545, 2546, 2547, 2549, 2550, 2551, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559})",2
"frozenset({2145, 2146, 7299, 7857, 7858, 7859, 7860, 7861, 7862, 7868, 7870, 7871, 7872, 7873, 7874, 7875, 7876, 7877, 7878, 7879, 7880, 7881, 7882, 7883, 7884, 7885, 7886, 7887, 7888, 7889, 7890, 7891, 7892, 7894, 7895, 7896, 7897, 7898, 7899, 7900, 7901, 7902, 7903, 7904, 7905, 7906, 7907, 7912, 7916, 7917, 7918, 7919, 7920, 7921, 7924, 7424, 2334, 2335, 2336, 2337, 2338, 2339, 2340, 2341, 2342, 2344, 2346, 2347, 2348, 2349, 2350, 2351, 2352, 2353, 8526, 8527, 3439, 3440, 3441, 3442, 3443, 3444, 3445, 3457, 3465, 3466, 3467, 3468, 3469, 3470, 3471, 3487, 3488, 3489, 3490, 3491, 3492, 3498, 3499, 3500, 3501, 3502, 3504, 3511, 3512, 3513, 3514, 3515, 3516})",2
"frozenset({3089, 3110, 8743, 8745, 3162, 3163, 3164, 3165, 3166, 3195, 3197, 3200, 3202, 3203, 3204, 3205, 3207, 3208, 3209, 3210, 3222, 3235, 3245, 3256, 3257, 3258, 3269, 3270, 3271, 3272, 3273, 3294, 3335, 3364, 7975, 3368, 3369, 7976, 3371, 3372, 7977, 7979, 7980, 7981, 7982, 7983, 7984, 7985, 7986, 7987, 7988, 7989, 7990, 7991, 7992, 7993, 7994, 7995, 7996, 7997, 8004, 3397, 3398, 3399, 3400, 8005, 8007, 8008, 8009, 8006, 8024, 8032, 8050, 8051, 8052, 8053, 8054, 8062, 8063, 8064, 8068, 8069, 8070, 8071, 8072, 8073, 8074, 8075, 8076, 8077, 8114, 8117, 3038, 3039})",3
