,0
"frozenset({4096, 4097, 4098, 4608, 4100, 4612, 4102, 4103, 4137, 4143, 4144, 4145, 4146, 4148, 4152, 4153, 4154, 4093, 4725, 4213, 4215, 4218, 4219, 4220, 4221, 4225, 4738, 4737, 4739, 4740, 4741, 4742, 4745, 4746, 4747, 3759, 3761, 3770, 2267, 3816, 4857, 4858, 4859, 4350, 2302, 4862, 4863, 2316, 2317, 2318, 2319, 4877, 4878, 2323, 2327, 2328, 2329, 2330, 4889, 2332, 4394, 4907, 3951, 3981, 3983, 3986, 4010, 4538, 4539, 4540, 4541, 4542, 4543, 4037, 4042, 4051, 4052, 4053, 3557, 3565, 3566, 3573, 4089, 4090, 4603, 4604, 4605, 4606})",0
"frozenset({3585, 4106, 4107, 4108, 4109, 3606, 3607, 3608, 3609, 3610, 3611, 4121, 4122, 4125, 4638, 3618, 3624, 3625, 3626, 3627, 3638, 3639, 4155, 4157, 4159, 4160, 4161, 3654, 3657, 3658, 3659, 4171, 4172, 4176, 3667, 3668, 4181, 3670, 4184, 3689, 3690, 3691, 3692, 3700, 3702, 3703, 3704, 3705, 4726, 4727, 4728, 4729, 4736, 4743, 4744, 3723, 3724, 3725, 3731, 3734, 4777, 4778, 3756, 4781, 3762, 3776, 4306, 4307, 3799, 4316, 4317, 4847, 4848, 4849, 4850, 4856, 4346, 4860, 4861, 3840, 4880, 4371, 4888, 4890, 4891, 4897, 4899, 4402, 4407, 4410, 4416, 4419, 3923, 3924, 3925, 3927, 3937, 3943, 3945, 3976, 3977, 3978, 4030, 4031, 4032, 4044, 4045, 4048, 4061, 4062, 4063, 4066, 3567, 3568, 3570, 3574})",0
"frozenset({3586, 4104, 4625, 4626, 4630, 4631, 4632, 4140, 4147, 3637, 3644, 3645, 3646, 3655, 3660, 3664, 4689, 4691, 4693, 4694, 3672, 3673, 3674, 4697, 3676, 3677, 4700, 4704, 4710, 4241, 4242, 4243, 4245, 4246, 4247, 4248, 3737, 4252, 4253, 4259, 3757, 3758, 3760, 3768, 3769, 3774, 3779, 4310, 3800, 3801, 3802, 3803, 3804, 4824, 4321, 3811, 3812, 3813, 3814, 3815, 4331, 3820, 3821, 2289, 4894, 4902, 4903, 4395, 4908, 4405, 3900, 3903, 3952, 3954, 3956, 3957, 3984, 3987, 3988, 8643, 8644, 4050, 4562, 4563, 4564, 3578})",0
"frozenset({10, 5643, 5644, 5645, 5646, 5648, 5138, 5650, 5651, 5652, 33, 34, 35, 36, 37, 38, 4650, 4651, 58, 59, 60, 61, 62, 63, 65, 66, 67, 68, 70, 71, 73, 74, 75, 76, 77, 78, 80, 81, 82, 83, 84, 85, 88, 90, 91, 92, 93, 2693, 1738, 1739, 1740, 1741, 1742, 1743, 1744, 1745, 1746, 1748, 1749, 1750, 1751, 1752, 1753, 8411, 8412, 1756, 1757, 8413, 8414, 8423, 5401, 5407, 5433, 5437, 5438, 8612, 8613, 8614, 8615, 8118, 8119, 5060, 5094})",1
"frozenset({7174, 11, 12, 6337, 6338, 6339, 6340, 6341, 6342, 6860, 6370, 8495, 246, 247, 249, 8497, 6414, 8500, 8501, 8502, 8503, 8485, 8487, 8489, 5418, 8490, 8492, 8493, 8494, 5423, 8496, 5424, 8498, 8499, 6960, 5426, 6962, 5428, 310, 312, 313, 314, 6457, 316, 5436, 318, 320, 323, 324, 325, 327, 328, 331, 334, 7009, 7015, 7031, 8669, 8670, 7654, 7143, 7655, 7656, 7658, 492, 7660, 494, 495, 7662, 7663, 498, 499, 500, 7665, 7666, 7667, 7668, 7669, 7674, 7675, 7676, 7677, 7670})",1
"frozenset({6401, 7041, 7043, 7556, 5386, 6413, 6798, 6799, 7060, 6808, 6425, 5403, 5404, 5405, 5406, 5410, 6435, 5414, 5415, 5417, 6954, 5419, 5420, 5421, 5422, 6956, 5427, 5430, 5434, 5435, 6459, 6844, 8893, 7106, 6468, 8901, 8902, 5447, 5448, 5065, 5449, 5450, 5451, 5452, 5453, 6471, 8903, 8907, 6743, 6616, 6617, 6618, 6619, 6874, 6751, 6624, 6880, 7139, 6885, 5353, 6635, 7147, 7148, 7151, 8562, 5363, 5364, 5365, 5366, 6647, 5369, 5370, 8571, 7036, 8574})",1
"frozenset({3087, 3088, 3089, 3090, 3096, 3098, 3099, 3102, 3103, 3106, 3110, 3196, 3197, 3203, 3206, 3244, 3245, 3246, 3247, 3292, 3305, 3311, 3312, 3316, 3321, 3327, 3330, 3334, 3335, 3363, 3364, 7975, 7976, 3370, 3371, 7979, 3373, 7980, 7981, 7982, 7983, 7985, 7986, 7987, 7988, 7990, 3383, 7991, 3385, 7992, 7993, 3388, 7994, 7995, 7996, 7997, 8004, 8005, 8006, 8007, 8008, 8009, 8050, 8051, 8052, 8053, 8054, 8068, 8069, 8070, 8071, 8072, 8073, 8074, 8114, 3038, 3041, 3068, 3069})",2
"frozenset({8744, 3162, 3163, 3164, 3165, 3166, 3173, 3178, 3195, 3199, 3200, 3202, 3204, 3205, 3207, 3208, 3209, 3210, 3270, 3271, 3280, 3290, 3294, 3362, 3366, 3367, 3368, 3369, 7978, 3372, 7984, 7989, 7998, 7999, 8000, 8001, 8002, 8003, 3398, 3400, 8010, 8011, 8012, 8017, 8018, 8040, 8041, 8042, 8043, 8044, 8045, 8046, 8047, 8055, 8056, 8057, 8058, 8059, 8060, 8061, 8064, 8065, 8066, 8067, 8075, 8076, 8077, 8079, 8080, 8081, 8082, 8083, 8084, 8085, 8086, 8087, 8088, 8090, 8091, 8092, 8093, 8094, 8095, 8096, 8097, 8098, 8099, 8100, 8101, 8102, 8103, 8109, 8110, 8111, 8115, 8116, 8117, 3039})",2
"frozenset({3079, 3082, 3083, 3084, 3085, 3086, 3091, 3093, 3095, 3101, 3117, 3118, 3119, 3120, 3121, 3124, 3125, 3128, 3129, 3135, 3137, 3138, 3139, 3148, 3149, 3153, 3243, 3281, 3282, 723, 3284, 3285, 725, 727, 3283, 3286, 733, 734, 736, 737, 744, 3304, 3307, 3309, 3310, 3313, 3314, 3319, 775, 776, 777, 778, 779, 780, 3337, 3339, 3343, 3345, 786, 788, 3348, 793, 795, 796, 797, 799, 804, 811, 812, 814, 815, 816, 817, 3384, 3386, 3387, 3030, 3032, 3033, 3034, 3036, 3044, 3045, 3048, 3049, 3051, 3064})",2
"frozenset({39, 40, 42, 43, 44, 45, 46, 48, 49, 51, 52, 565, 53, 54, 55, 2103, 2123, 2126, 6227, 6228, 6229, 6230, 6231, 6232, 6233, 6234, 6235, 6236, 6237, 6239, 6240, 6241, 6242, 2148, 6244, 6245, 6246, 6247, 618, 3186, 3187, 8375, 8376, 8378, 8380, 8381, 8382, 8383, 8384, 8385, 8387, 8388, 8389, 8390, 8391, 8392, 8393, 8394, 226, 229, 231, 232, 234, 235, 239, 266, 267, 268, 270, 271, 272, 273, 274, 276, 277, 281, 282, 283, 284, 285, 286, 288, 290, 293, 297, 299, 301, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 8633, 8634})",3
"frozenset({41, 47, 2248, 50, 2249, 56, 57, 2250, 2251, 2252, 2253, 2254, 2255, 2256, 2257, 2151, 2156, 2157, 2158, 2159, 2168, 2174, 2175, 2176, 2177, 2178, 2179, 2180, 2181, 2182, 2183, 2184, 2185, 2186, 2187, 2188, 2189, 2190, 2191, 2192, 2193, 2194, 2195, 2196, 2197, 2198, 2199, 2200, 2201, 2202, 2203, 2204, 2205, 2206, 2207, 2208, 2209, 2210, 2211, 2212, 2213, 2214, 2215, 2216, 2217, 2218, 2219, 2220, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2228, 2229, 2230, 2231, 2232, 2233, 2234, 2235, 2236, 2237, 2238, 2239, 2240, 2241, 2242, 2243, 2244, 2245, 2246, 2247, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 227, 228, 230, 233, 236, 237, 238, 269, 275, 278, 279, 280, 287, 289, 291, 292, 294, 295, 296, 298, 300, 302, 303, 304, 305, 306, 308, 309})",3
"frozenset({6658, 557, 561, 2121, 6742, 6758, 6759, 6761, 6809, 6810, 8890, 8891, 8386, 6371, 8425, 8426, 8427, 8428, 8429, 8430, 8431, 8432, 8433, 245, 255, 8484, 8486, 8488, 8491, 8504, 8505, 317, 319, 322, 326, 330, 333, 6503, 1913, 7034, 1914, 1915, 1916, 6528, 6529, 1924, 7557, 1926, 1927, 7559, 7050, 1931, 1932, 1933, 1934, 1935, 7051, 1937, 1938, 7052, 7054, 1941, 7057, 6551, 6559, 6586, 7105, 7138, 504, 493, 496, 497, 7154, 7155, 7664, 6645, 6646, 7672, 7162})",3
"frozenset({3072, 3073, 3074, 3075, 3076, 3077, 3078, 3080, 3081, 3092, 3094, 3097, 3100, 3104, 3105, 3107, 3108, 3109, 3111, 3112, 3113, 3114, 3115, 3136, 3140, 3141, 3142, 3143, 3144, 3156, 3172, 3174, 3175, 3198, 3201, 3239, 3251, 3252, 3253, 3254, 8906, 3277, 3278, 3279, 3295, 3296, 3297, 3298, 3299, 3300, 3301, 3302, 3303, 3306, 3308, 3315, 3317, 3320, 3322, 3323, 3324, 3325, 3326, 3328, 3329, 3331, 3332, 3333, 3336, 3338, 3340, 3341, 3342, 3356, 3365, 3390, 3392, 3393, 3394, 3395, 3396, 3046, 3047, 3050, 3062, 3063, 3070, 3071})",4
"frozenset({15, 16, 17, 18, 19, 26, 7267, 7271, 7825, 7826, 7827, 7841, 7842, 7850, 7851, 726, 728, 729, 730, 731, 732, 735, 738, 739, 740, 741, 742, 743, 745, 758, 759, 762, 763, 764, 765, 767, 768, 769, 770, 771, 772, 773, 781, 782, 783, 784, 785, 789, 790, 791, 792, 805, 806, 807, 808, 809, 810, 813, 2355, 2356, 2357, 2358, 2359, 2360, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 2377, 2378, 2379, 2380, 2381, 2383, 2384, 2385, 2386, 2387, 2388, 2389, 2390, 2391, 344, 2392, 2393, 2394, 2399, 2401, 8658, 8659})",4
