,0
"frozenset({1281, 1157, 8477, 1164, 8856, 1295, 8857, 1427, 1301, 1431, 8472, 1177, 8474, 8475, 1308, 1564, 1438, 1566, 1312, 1440, 1314, 1571, 8476, 1189, 1573, 1321, 1452, 1453, 1070, 1071, 1584, 1202, 1076, 1206, 1079, 1208, 1335, 1338, 1083, 1339, 1213, 1086, 1340, 1344, 1481, 1227, 1231, 1104, 1359, 1236, 1110, 1238, 1367, 1494, 1496, 1502, 1123, 1254, 1255, 1383, 1512, 1515, 1260, 1261, 1520, 1267, 1396, 1399, 1528, 1530, 1275, 1278, 1279})",0
"frozenset({1565, 1568, 1575, 1581, 1073, 1586, 1595, 1093, 1096, 1103, 1112, 1121, 1125, 1131, 1138, 5243, 1149, 5253, 5255, 1160, 5264, 1170, 1171, 1173, 1181, 1182, 1185, 1186, 1187, 1192, 1195, 1197, 1205, 5307, 5320, 1234, 1240, 5338, 1245, 1246, 1249, 1252, 1268, 1273, 1284, 1285, 1287, 1288, 1289, 1290, 1303, 8473, 1310, 1311, 1318, 1331, 1333, 1369, 1381, 1387, 1395, 1412, 1424, 1435, 1443, 1449, 1450, 1454, 1456, 1457, 1458, 1473, 1477, 1490, 1492, 1495, 1499, 1504, 1517, 1521, 1522})",0
"frozenset({7173, 1569, 5672, 1577, 1578, 5678, 1585, 1587, 1589, 1078, 1087, 1089, 1090, 1097, 1101, 1105, 1115, 1128, 5235, 1144, 5244, 5247, 5248, 5250, 5256, 5258, 5260, 5263, 1172, 1175, 5271, 5272, 5273, 8860, 8861, 1184, 5283, 1701, 5285, 5287, 8870, 1705, 5290, 1199, 1200, 5300, 5301, 5303, 5304, 5309, 5314, 5315, 1221, 5317, 5319, 5322, 5323, 5324, 5326, 5332, 1237, 5333, 1239, 5337, 1247, 1251, 5352, 1264, 1269, 5376, 1296, 1316, 1325, 1347, 1350, 1352, 1355, 1364, 1373, 1398, 1402, 1404, 1407, 1410, 1414, 1415, 8582, 1417, 8583, 1433, 1486, 1488, 1491, 1510, 1518, 1524, 1527})",0
"frozenset({6144, 6145, 8714, 8715, 4110, 4111, 4112, 4114, 6166, 6180, 6182, 6183, 6185, 5163, 5164, 5165, 5166, 5167, 5168, 5169, 5170, 5171, 5172, 5173, 5174, 5175, 4162, 4165, 4170, 5197, 5199, 5200, 5785, 5787, 4771, 5817, 5818, 5825, 5826, 5840, 2262, 2263, 2264, 2265, 2268, 2269, 4839, 5933, 5935, 5936, 5937, 5938, 5939, 5940, 5941, 5942, 4921, 5945, 5946, 5947, 4933, 4942, 4954, 4955, 4956, 4957, 4961, 4962, 4965, 4972, 4976, 4981, 4982, 4987, 4988, 4989, 6072, 6073, 6074, 6075, 6079, 6081, 6098, 6105, 6123, 6124, 6141, 6142})",1
"frozenset({6149, 6150, 6151, 6152, 6153, 6154, 6155, 6156, 6157, 6158, 6159, 6160, 6161, 6162, 4627, 6163, 4117, 6164, 6165, 6167, 6168, 6169, 6173, 6174, 6175, 6176, 6177, 6178, 6181, 6184, 4168, 5195, 4183, 5779, 5781, 5782, 5783, 5784, 5786, 5789, 5790, 5791, 4282, 4284, 5827, 5829, 5836, 5837, 5839, 5899, 4876, 5900, 5901, 5905, 5906, 4376, 4380, 5918, 4384, 5934, 5944, 4929, 4930, 4931, 4932, 4935, 4938, 3940, 4966, 4969, 4970, 4971, 6016, 6017, 6039, 6041, 6055, 6068, 6069, 6070, 6071, 6077, 6078, 6080, 6082, 6083, 6090, 6091, 6092, 6101, 6102, 6103, 6104, 6107, 6108, 6115, 6116, 6117, 6125, 6126, 6127, 6128, 6129, 6130, 6131, 6136, 6137, 6138, 6139, 6143})",1
"frozenset({3584, 4609, 3842, 4610, 4373, 4375, 3992, 4377, 3995, 3996, 3997, 3999, 4004, 4006, 4007, 4008, 4135, 4136, 4014, 4015, 4016, 4017, 4018, 4408, 4025, 4026, 4027, 4028, 4029, 4413, 4287, 4414, 4544, 4545, 4291, 4546, 4038, 4039, 4040, 4041, 4295, 4299, 3832, 4309, 4055, 4312, 4057, 3930, 4058, 4059, 4060, 4572, 4573, 3936, 4574, 3938, 4575, 4068, 4577, 3559, 3560, 3837, 4840, 4075, 4092, 4841, 3838, 4723, 4341, 4342, 3960, 4345, 3835, 3964, 3965, 3966})",1
"frozenset({7176, 1602, 1608, 1609, 1610, 1611, 1612, 1613, 1614, 1615, 1617, 1618, 1621, 1622, 1623, 1624, 1626, 1627, 1628, 1629, 1636, 1637, 1638, 1639, 1640, 1647, 1648, 1649, 1650, 1651, 1657, 1658, 1659, 1670, 1672, 1673, 1675, 1676, 1677, 1678, 1679, 1680, 1681, 1682, 1683, 1708, 1710, 1711, 1718, 1726, 1728, 1729, 1731, 1834, 1906, 1909, 3447, 3450, 3451, 3452, 3453, 3455, 1945, 1952, 1953, 1954, 1955, 1957, 1958, 3493, 3496, 1965, 1966, 1968, 1969, 1973, 1975, 1977, 1978, 1979, 1980, 1987, 1988, 8647, 1994, 2003, 2004, 2006, 2021, 2022, 2029, 2030, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2046})",2
"frozenset({2048, 1599, 1600, 1601, 1603, 1604, 1605, 1606, 1607, 1616, 1619, 1620, 1625, 1630, 1631, 1632, 1633, 1634, 1635, 1643, 1652, 1653, 1654, 1655, 1656, 1666, 1667, 1668, 1671, 1706, 1707, 1709, 1712, 1713, 1714, 1715, 1716, 1717, 1719, 1720, 1721, 1722, 1723, 1724, 1725, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1795, 1796, 1797, 1798, 1800, 1801, 1848, 1849, 1850, 1851, 1852, 1855, 1857, 1858, 1860, 1861, 1862, 1863, 1962, 1963, 1964, 1981, 1982, 1983, 1984, 1985, 1986, 1989, 1990, 1997, 1998, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2023, 2024, 2025, 2028, 2032, 2041, 2042, 2043, 2044, 2045, 2047})",2
"frozenset({7775, 2145, 2146, 7795, 1663, 7299, 7301, 7862, 1727, 7398, 7422, 7424, 7426, 2334, 2335, 2336, 2337, 2338, 2339, 2340, 2341, 2344, 2347, 2348, 2349, 2350, 2353, 8526, 8527, 3431, 3432, 3433, 3434, 3435, 3436, 3437, 3438, 3439, 3440, 3441, 3442, 3443, 3444, 3445, 3446, 3448, 3449, 3454, 3456, 3457, 3458, 3459, 3460, 3463, 3464, 3465, 3466, 3467, 3468, 3469, 3470, 3471, 3472, 3473, 3474, 3475, 3476, 3477, 3478, 3479, 3480, 3481, 3482, 3483, 3484, 3485, 3486, 3487, 3488, 3489, 3490, 3491, 3492, 3494, 3495, 3497, 3498, 3499, 3500, 3501, 3502, 3503, 3504, 3505, 3506, 3507, 3508, 3509, 3510, 3512, 3513, 3514, 3515, 3516, 3517})",2
"frozenset({8220, 1583, 1075, 1592, 8252, 8253, 1102, 1109, 8295, 5224, 8296, 8297, 8299, 1133, 8301, 8304, 8305, 8310, 8311, 8313, 1146, 8315, 8827, 8828, 8829, 8832, 8833, 1159, 8336, 8337, 1174, 1176, 1178, 1700, 1702, 1191, 8362, 8363, 8364, 8365, 8366, 1201, 8371, 8373, 1210, 1211, 1230, 1232, 1244, 1253, 1283, 1292, 1294, 1302, 1309, 1317, 1330, 1342, 1345, 1365, 1375, 1401, 1411, 1428, 1441, 1460, 1466, 1476, 1478, 1482, 1505, 1508, 1509, 1511, 1516, 8176, 8177, 8180, 8181, 8185, 8186, 8187, 8188, 8189, 1534})",3
