,0
"frozenset({525, 531, 532, 5156, 5157, 5158, 5159, 5160, 5161, 5162, 5163, 5164, 5167, 5168, 5169, 5170, 1588, 5172, 1590, 1591, 5173, 5174, 5175, 5176, 5177, 5178, 1598, 1599, 1600, 1601, 5179, 5180, 5181, 588, 1618, 1623, 1625, 1627, 1630, 1631, 1634, 1637, 1638, 1639, 108, 109, 110, 5229, 5233, 5234, 116, 119, 120, 5244, 127, 5261, 5262, 145, 5281, 5282, 5283, 4420, 4421, 4422, 4423, 4424, 4425, 4426, 4427, 4428, 4429, 4430, 4431, 4432, 4433, 4434, 4435, 4436, 4437, 4442, 4443, 4444, 4446, 4447, 4448, 4449, 4450, 4451, 4452, 4453, 4454, 4455, 4456, 4460, 4480, 4481, 386, 4482, 4483, 4484, 4485, 4486, 4487, 4489, 4490, 395, 397})",0
"frozenset({3072, 3073, 3074, 3075, 3076, 3077, 3078, 3089, 3090, 3091, 3092, 3093, 3094, 3095, 3096, 3097, 3098, 3100, 3101, 3102, 3104, 3106, 3119, 3120, 3121, 3122, 3123, 3132, 3133, 3134, 3135, 3136, 3141, 3142, 3145, 627, 3202, 670, 2846, 2850, 2854, 6961, 6964, 6965, 5444, 5445, 6983, 6985, 5450, 6986, 6987, 6988, 6989, 6990, 6991, 6993, 6994, 6995, 6996, 6997, 6998, 6999, 7000, 7003, 7004, 7005, 7006, 7007, 3032, 3034, 3035, 3037, 3042, 3043, 3044, 3048, 3049, 3050, 3057, 3058, 3059, 3066, 3067, 3068, 3069, 3070, 3071})",0
"frozenset({5120, 5121, 5122, 5123, 5124, 5125, 5126, 5127, 5128, 5129, 5130, 523, 524, 5131, 526, 5132, 5133, 5134, 5135, 5136, 5137, 533, 534, 535, 536, 5138, 5139, 5140, 5141, 5142, 5143, 5144, 544, 545, 5145, 547, 548, 549, 550, 551, 5151, 5152, 5153, 5154, 5669, 5673, 5675, 561, 562, 563, 564, 565, 566, 586, 587, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 612, 613, 619, 623, 624, 631, 632, 633, 634, 635, 636, 638, 639, 640, 641, 644, 645, 646, 647, 648, 649, 654, 661, 662, 663, 666, 667, 669, 672, 673, 674, 675, 676, 677, 678, 679, 680, 681, 682, 684, 685, 686, 687, 688, 690, 5637, 1744, 5640, 5642, 5643, 1773, 5646, 5648, 5649, 5650, 5653, 5407, 5654, 5146, 5655, 5147, 5148, 5149, 5150, 5436, 5091, 5092, 5093, 5094, 5095, 5096, 5097, 5098, 5099, 5100, 5101, 5102, 5103, 5104, 5105, 5106, 5107, 5108, 5109, 5110, 5111, 5112, 5113, 5114, 5115, 5116, 5117, 5118, 5119})",0
"frozenset({3586, 3587, 3589, 3468, 3470, 3472, 3494, 3495, 3496, 3497, 3498, 3521, 3522, 3523, 3524, 3525, 3527, 3528, 3529, 3530, 3531, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3577, 3578, 3579, 3580, 3582})",1
"frozenset({3601, 3602, 3603, 3605, 3606, 3786, 3543, 3546, 3547, 3548, 3549, 3550, 3551, 3552, 3553, 3554, 3561, 3562, 3563, 3564, 3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3581})",1
"frozenset({3473, 3476, 3477, 3480, 3481, 3482, 3483, 3484, 3485, 3486, 3487, 3488, 3489, 3490, 3491, 3492, 3493, 3869, 3870, 3871, 3872, 3873, 3874, 3875, 3373, 3374, 3876, 3879, 3880, 3379, 3877, 3878, 3526, 3787, 3790, 3791, 3792, 3793, 3794, 3795, 3796, 3797, 3544, 3545})",1
"frozenset({10, 11, 12, 13, 14, 16, 17, 19, 21, 22, 23, 24, 27, 28, 29, 36, 37, 5808, 41, 42, 5809, 5284, 5285, 5286, 5287, 5288, 5289, 5290, 5291, 5292, 5293, 5294, 5295, 5296, 5297, 5298, 5299, 5300, 693, 694, 5301, 5304, 5305, 5306, 5312, 3265, 5313, 5314, 708, 709, 3268, 3269, 5315, 5316, 5317, 5318, 5319, 5323, 5324, 5325, 3280, 721, 5326, 5329, 5330, 5331, 5332, 3287, 3288, 3289, 3290, 3291, 5333, 5334, 5335, 5336, 5342, 737, 5344, 5345, 5351, 5370, 5371, 5372, 5373, 5374, 771, 772, 773, 774, 775, 776, 5382, 5384, 5388, 5389, 5390, 5393, 5394, 5395, 2387, 2389, 2397, 2398, 2399, 2400, 2401, 2427})",2
"frozenset({5731, 5732, 5733, 5734, 2663, 5735, 5736, 5738, 5739, 5740, 5741, 5742, 5744, 5745, 2674, 2675, 5746, 5747, 5748, 5751, 5752, 5750, 2680, 5753, 5754, 5762, 5763, 5764, 5765, 5766, 5770, 5773, 5774, 5779, 5780, 5781, 5782, 5783, 5784, 2713, 5785, 2715, 2716, 5786, 5787, 2719, 2720, 2721, 2722, 2723, 2724, 2725, 2726, 2727, 2728, 5793, 5794, 5795, 2732, 5796, 5797, 5798, 5799, 2758, 2759, 2760, 2761, 2763, 2764, 780, 782, 783, 784, 785, 786, 4880, 788, 789, 790, 791, 792, 793, 795, 811, 812, 813, 814, 4918, 4919, 5788, 5789, 5790, 5791})",2
"frozenset({2144, 2145, 2146, 2147, 5743, 5749, 5755, 5756, 5757, 5758, 5759, 5760, 5761, 5767, 5768, 5772, 5775, 5776, 5777, 5778, 5792, 5810, 5302, 5303, 5307, 5308, 5320, 5321, 5322, 5327, 5328, 5337, 5338, 5339, 5340, 5341, 5343, 5346, 5347, 5348, 5349, 5350, 5352, 5353, 5354, 5355, 5356, 5357, 5358, 5359, 5360, 5361, 5362, 5363, 5364, 5365, 5366, 5367, 5368, 5369, 768, 769, 770, 5377, 5378, 5380, 5381, 5383, 5385, 5386, 5387, 5391, 5392, 4881, 4882, 4883, 4884, 4885, 4886, 4887, 4888, 5396, 4890, 4891, 4892, 4893, 4894, 4895, 4896, 4897, 4898, 4899, 4900, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 3890, 4915, 4916, 4917, 3895, 4920, 4921, 4922, 4923, 2373, 2374, 2375, 2376, 2377, 2378, 2379, 2391, 2404, 2422, 2423, 2424, 2425, 2426, 2428, 2429, 2430, 3967})",2
"frozenset({1152, 1153, 1280, 1281, 1282, 1273, 1284, 1285, 1286, 1274, 1122, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1275, 1276, 1297, 1301, 1278, 1065, 1197, 1199, 1200, 1205, 822, 823, 824, 825, 826, 1078, 1207, 1208, 830, 831, 1209, 1101, 1118, 1119, 1120, 1121, 866, 867, 868, 869, 870, 871, 872, 873, 874, 875, 876, 1255, 1271, 1136, 1138, 1139, 1140, 1141, 1142, 1269, 1272, 1145, 1146, 1147, 1148, 1277, 1150, 5375})",3
